1359491.exe,   15.27, ,   0.34, ,  1290
1359491.exe,   15.25, ,   0.31, ,  1232
1359491.exe,   15.13, ,   0.31, ,  1232
1359491.exe,   15.09, ,   0.31, ,  1235
1359491.exe,   15.09, ,   0.31, ,  1234
1359491.exe,   15.07, ,   0.31, ,  1232
1359491.exe,   15.17, ,   0.31, ,  1232
1359491.exe,   15.17, ,   0.31, ,  1232
1359491.exe,   15.07, ,   0.31, ,  1229
1359491.exe,   15.40, ,   0.31, ,  1234
1820307.exe,   19.01, ,   0.41, ,  1661
1820307.exe,   18.97, ,   0.40, ,  1663
1820307.exe,   19.01, ,   0.40, ,  1661
1820307.exe,   18.91, ,   0.40, ,  1662
1820307.exe,   19.09, ,   0.41, ,  1658
1820307.exe,   18.99, ,   0.40, ,  1663
1820307.exe,   18.74, ,   0.39, ,  1632
1820307.exe,   19.02, ,   0.41, ,  1662
1820307.exe,   18.98, ,   0.40, ,  1667
1820307.exe,   18.96, ,   0.41, ,  1663
2021894.exe,   15.88, ,   0.37, ,  1361
2021894.exe,   15.88, ,   0.37, ,  1365
2021894.exe,   15.92, ,   0.38, ,  1361
2021894.exe,   15.92, ,   0.37, ,  1359
2021894.exe,   16.03, ,   0.38, ,  1357
2021894.exe,   16.01, ,   0.38, ,  1360
2021894.exe,   15.90, ,   0.38, ,  1373
2021894.exe,   15.85, ,   0.37, ,  1355
2021894.exe,   15.79, ,   0.37, ,  1355
2021894.exe,   15.93, ,   0.37, ,  1357
2799712.exe,   23.12, ,   0.52, ,  1922
2799712.exe,   22.95, ,   0.51, ,  1917
2799712.exe,   23.00, ,   0.51, ,  1917
2799712.exe,   23.10, ,   0.51, ,  1921
2799712.exe,   23.19, ,   0.51, ,  1921
2799712.exe,   23.21, ,   0.51, ,  1922
2799712.exe,   23.17, ,   0.51, ,  1922
2799712.exe,   23.21, ,   0.51, ,  1919
2799712.exe,   23.10, ,   0.51, ,  1920
2799712.exe,   23.12, ,   0.51, ,  1919
3051090.exe,   38.35, ,   0.81, ,  3179
3051090.exe,   38.53, ,   0.82, ,  3182
3051090.exe,   38.28, ,   0.82, ,  3177
3051090.exe,   38.32, ,   0.82, ,  3181
3051090.exe,   38.42, ,   0.81, ,  3184
3051090.exe,   38.45, ,   0.81, ,  3182
3051090.exe,   38.42, ,   0.82, ,  3200
3051090.exe,   38.39, ,   0.82, ,  3193
3051090.exe,   38.49, ,   0.83, ,  3181
3051090.exe,   38.40, ,   0.81, ,  3182
3371941.exe,   25.43, ,   0.57, ,  2062
3371941.exe,   25.54, ,   0.56, ,  2067
3371941.exe,   25.48, ,   0.54, ,  2065
3371941.exe,   25.71, ,   0.56, ,  2068
3371941.exe,   25.64, ,   0.55, ,  2068
3371941.exe,   25.56, ,   0.55, ,  2063
3371941.exe,   25.62, ,   0.57, ,  2063
3371941.exe,   25.55, ,   0.55, ,  2065
3371941.exe,   25.45, ,   0.56, ,  2065
3371941.exe,   25.55, ,   0.56, ,  2068
3536231.exe,   34.32, ,   0.74, ,  2927
3536231.exe,   34.32, ,   0.74, ,  2923
3536231.exe,   34.56, ,   0.74, ,  2928
3536231.exe,   34.62, ,   0.75, ,  2926
3536231.exe,   34.34, ,   0.74, ,  2919
3536231.exe,   34.27, ,   0.74, ,  2924
3536231.exe,   34.21, ,   0.74, ,  2920
3536231.exe,   34.45, ,   0.74, ,  2925
3536231.exe,   34.40, ,   0.74, ,  2923
3536231.exe,   34.40, ,   0.74, ,  2928
3598512.exe,   15.61, ,   0.33, ,  1266
3598512.exe,   15.73, ,   0.33, ,  1267
3598512.exe,   15.77, ,   0.32, ,  1265
3598512.exe,   15.70, ,   0.33, ,  1264
3598512.exe,   15.72, ,   0.32, ,  1265
3598512.exe,   15.66, ,   0.33, ,  1268
3598512.exe,   15.70, ,   0.34, ,  1268
