file,pkg,cores,ram,gpu,psys,duration_time,user_time,system_time,perf_time
1943931.exe ,  3.06,  2.97,  0.13,  0.00,  7.38,  262800384,  260475000,    1995000,  275205458
2520984.exe , 12.29, 11.89,  0.57,  0.00, 30.55, 1114509734, 1114484000,          0, 1129948719
2636614.exe , 19.46, 18.85,  0.88,  0.00, 47.88, 1725091419, 1723062000,    2000000, 1737297856
2695910.exe ,  1.95,  1.90,  0.08,  0.00,  4.71,  163748807,  162681000,     998000,  175959174
3048609.exe ,  4.99,  4.84,  0.21,  0.00, 12.90,  418457771,  418438000,          0,  430764108
3457019.exe ,  2.34,  2.26,  0.10,  0.00,  5.58,  188348095,  188309000,          0,  200465502
363509.exe  ,  8.43,  8.16,  0.38,  0.00, 20.86,  741831586,  741814000,          0,  753884458
3666543.exe ,  0.06,  0.06,  0.00,  0.00,  0.15,    5401089,    3600000,    1800000,   17559963
4046853.exe ,  4.76,  4.62,  0.21,  0.00, 11.67,  410891849,  409790000,     999000,  423100219
5075663.exe ,  5.13,  4.98,  0.22,  0.00, 12.52,  440418369,  438407000,    1997000,  452634504
5104802.exe ,  1.98,  1.93,  0.09,  0.00,  4.81,  165191328,  165178000,          0,  177828192
5409465.exe ,  4.50,  4.37,  0.20,  0.00, 10.98,  384477013,  383468000,     998000,  396635925
5878214.exe , 13.60, 13.14,  0.79,  0.00, 34.38, 1226930899, 1059908000,  166985000, 1239066498
5920970.exe ,  3.31,  3.22,  0.15,  0.00,  8.19,  290417535,  289320000,     997000,  302543541
6123694.exe ,  4.77,  4.63,  0.21,  0.00, 11.56,  406129307,  405133000,     997000,  418762560
6227368.exe ,  3.51,  3.41,  0.15,  0.00,  8.52,  299050982,  298037000,    1000000,  311230711
786190.exe  , 11.72, 11.34,  0.54,  0.00, 29.14, 1059826352, 1056619000,    2996000, 1071941083
787752.exe  ,  8.20,  7.95,  0.35,  0.00, 19.67,  695309419,  693150000,    1997000,  707516527
8000029.exe , 24.91, 24.15,  1.09,  0.00, 60.68, 2149562608, 2146270000,    2998000, 2161852833
8557275.exe ,  6.81,  6.60,  0.30,  0.00, 16.61,  587737595,  585618000,    1998000,  599883069
