file,pkg,cores,ram,gpu,psys,duration_time,user_time,system_time,perf_time
1578565.exe ,  1.62,  1.57,  0.07,  0.00,  3.88,  131462363,  125922000,    4957000,  143975071
2649544.exe ,  4.23,  4.11,  0.19,  0.00, 10.27,  365797540,  364789000,     999000,  378124066
2700229.exe ,  2.59,  2.52,  0.11,  0.00,  6.22,  209488012,  207472000,    1994000,  221590577
2882080.exe ,  1.25,  1.21,  0.06,  0.00,  3.03,  106070670,  104047000,    2000000,  119753016
2892760.exe ,  1.05,  1.02,  0.05,  0.00,  2.60,   89108877,   86991000,    1999000,  101367264
2952391.exe ,  2.64,  2.56,  0.11,  0.00,  6.37,  211921014,  209879000,    2008000,  224099505
3052100.exe ,  2.57,  2.49,  0.11,  0.00,  6.23,  207600905,  202640000,    4991000,  219896539
3432659.exe ,  1.64,  1.59,  0.07,  0.00,  4.13,  143178982,  141155000,    2002000,  155853985
3513191.exe ,  3.52,  3.42,  0.17,  0.00,  8.33,  283389076,  278291000,    5005000,  295510768
3686555.exe ,  1.54,  1.49,  0.07,  0.00,  3.72,  129072488,  126011000,    3000000,  142815540
3754416.exe ,  1.52,  1.46,  0.07,  0.00,  3.74,  129452148,  128467000,     995000,  141847463
4878682.exe ,  1.69,  1.65,  0.07,  0.00,  4.07,  140557931,  134426000,    5974000,  152714502
5266960.exe ,  2.78,  2.70,  0.12,  0.00,  6.73,  222870489,  217843000,    4996000,  235112130
5400133.exe ,  1.52,  1.47,  0.07,  0.00,  3.73,  128578038,  124615000,    3987000,  141021841
5755609.exe ,  1.57,  1.52,  0.07,  0.00,  3.89,  134899115,  131879000,    2997000,  147170232
5794115.exe ,  3.91,  3.78,  0.19,  0.00,  9.85,  358704549,  354572000,    3995000,  371058105
596008.exe  ,  1.22,  1.19,  0.05,  0.00,  3.02,  105704072,  102693000,    2991000,  117894909
5976780.exe ,  1.56,  1.50,  0.07,  0.00,  3.93,  134110420,  132093000,    2001000,  146285722
6521284.exe ,  1.20,  1.16,  0.06,  0.00,  2.98,  104141606,  103019000,    1000000,  116484502
8519892.exe ,  3.62,  3.51,  0.17,  0.00,  9.13,  331824817,  327804000,    3997000,  344209534
