file,pkg,cores,ram,gpu,psys,duration_time,user_time,system_time,perf_time
1051839.exe ,  0.73,  0.71,  0.04,  0.00,  1.83,   59064126,   53772000,    4978000,   71744562
1252905.exe ,  0.80,  0.77,  0.06,  0.00,  2.06,   69141866,   64000000,    5000000,   83639086
1764918.exe ,  0.77,  0.75,  0.05,  0.00,  2.02,   64310947,   57261000,    7032000,   76441343
2418910.exe ,  0.76,  0.73,  0.04,  0.00,  1.86,   60777348,   54766000,    5974000,   73012343
286469.exe  ,  0.77,  0.75,  0.05,  0.00,  1.94,   64753058,   60604000,    4040000,   76969618
3097002.exe ,  0.79,  0.77,  0.05,  0.00,  2.09,   67957544,   63773000,    3985000,   80317165
384742.exe  ,  0.80,  0.78,  0.04,  0.00,  1.95,   63963628,   57943000,    5994000,   76214068
4119306.exe ,  0.62,  0.60,  0.05,  0.00,  1.84,   68190567,   63154000,    5012000,   83079078
4982865.exe ,  0.79,  0.77,  0.05,  0.00,  2.10,   69442069,   65304000,    4018000,   81821343
5251261.exe ,  0.72,  0.70,  0.04,  0.00,  1.89,   60214477,   52122000,    8018000,   73653929
5546172.exe ,  0.74,  0.71,  0.04,  0.00,  1.94,   61482747,   57428000,    4030000,   73626793
5717238.exe ,  0.72,  0.69,  0.05,  0.00,  1.96,   65527961,   61526000,    3969000,   78250568
5804700.exe ,  0.74,  0.71,  0.05,  0.00,  1.95,   61426099,   55362000,    6039000,   73521643
6399800.exe ,  1.45,  1.41,  0.07,  0.00,  3.74,  117293711,  112251000,    5011000,  129742347
6676911.exe ,  0.73,  0.71,  0.04,  0.00,  1.86,   62512260,   55434000,    7055000,   74836713
6962765.exe ,  0.73,  0.70,  0.04,  0.00,  1.91,   61324419,   55256000,    6027000,   73590843
778856.exe  ,  0.72,  0.70,  0.04,  0.00,  1.85,   61745118,   54739000,    6966000,   74004864
7873464.exe ,  1.53,  1.48,  0.08,  0.00,  3.99,  124524615,  117557000,    6973000,  136717252
8420004.exe ,  1.42,  1.38,  0.07,  0.00,  3.70,  117418063,  111402000,    6021000,  132874116
885892.exe  ,  0.76,  0.73,  0.06,  0.00,  2.20,   76424612,   63313000,   13064000,   89912632
