file,pkg,cores,ram,gpu,psys,duration_time,user_time,system_time
1499617.exe ,  1.81,  1.73,  0.17,  0.00,  5.50,  189641300,  174345000,   15029000
193506.exe  ,  3.14,  3.03,  0.21,  0.00,  7.98,  284053460,  218020000,   66006000
202900.exe  ,  0.99,  0.96,  0.07,  0.00,  2.63,   86635187,   76654000,    9955000
2387311.exe ,  1.64,  1.58,  0.13,  0.00,  4.33,  142226338,  130187000,   12017000
2897120.exe ,  1.51,  1.45,  0.11,  0.00,  4.04,  129098710,  121071000,    8004000
3647296.exe ,  1.38,  1.33,  0.12,  0.00,  3.63,  115226810,  106176000,    9015000
4154710.exe ,  1.76,  1.68,  0.15,  0.00,  4.66,  149274372,  136234000,   13022000
481529.exe  ,  1.68,  1.62,  0.12,  0.00,  4.75,  163385137,  154361000,    9021000
5183347.exe ,  4.88,  4.70,  0.32,  0.00, 12.80,  409012775,  329131000,   79789000
6322295.exe ,  1.61,  1.55,  0.11,  0.00,  4.31,  145932173,  135913000,    9993000
6322717.exe ,  2.71,  2.60,  0.19,  0.00,  6.89,  238312379,  186223000,   52062000
6623355.exe ,  2.37,  2.28,  0.16,  0.00,  6.32,  208864558,  197935000,   10941000
6645661.exe ,  1.44,  1.38,  0.10,  0.00,  3.64,  120869521,  114803000,    5989000
7298136.exe ,  3.41,  3.28,  0.27,  0.00,  9.65,  327210860,  248134000,   79042000
7372279.exe ,  1.45,  1.39,  0.10,  0.00,  3.73,  123527855,  112545000,   10955000
7372799.exe ,  2.10,  2.03,  0.12,  0.00,  5.58,  180766256,  174743000,    5991000
7629352.exe ,  2.46,  2.37,  0.18,  0.00,  6.59,  211907107,  192890000,   18989000
8183565.exe ,  4.83,  4.68,  0.28,  0.00, 12.75,  416291818,  343219000,   73046000
8335978.exe ,  4.35,  4.20,  0.23,  0.00, 11.52,  375280540,  313211000,   62041000
904018.exe  ,  1.41,  1.36,  0.10,  0.00,  3.88,  126340164,  114385000,   11935000
