file,pkg,cores,ram,gpu,psys,duration_time,user_time,system_time
1141254.exe ,  0.12,  0.13,  0.01,  0.00,  0.31,   10794871,    8367000,    2091000
1192925.exe ,  0.30,  0.30,  0.01,  0.00,  0.74,   23310591,   21179000,    2017000
166404.exe  ,  0.28,  0.27,  0.01,  0.00,  0.67,   22158179,   22123000,          0
1840297.exe ,  0.11,  0.12,  0.01,  0.00,  0.30,   10512246,    8563000,    1902000
2025154.exe ,  0.13,  0.13,  0.01,  0.00,  0.34,   10454834,    9412000,    1045000
2320041.exe ,  0.29,  0.29,  0.01,  0.00,  0.71,   23113510,   21063000,    2006000
2607963.exe ,  0.12,  0.12,  0.01,  0.00,  0.31,    9987138,    8974000,     997000
4061439.exe ,  0.30,  0.29,  0.01,  0.00,  0.77,   23283878,   21246000,    2023000
4091019.exe ,  0.14,  0.13,  0.01,  0.00,  0.35,   10389855,    9467000,     946000
4457827.exe ,  0.10,  0.10,  0.01,  0.00,  0.25,    9804775,    8828000,     980000
4624508.exe ,  0.30,  0.29,  0.01,  0.00,  0.74,   22949643,   21841000,    1040000
4806011.exe ,  0.12,  0.12,  0.01,  0.00,  0.31,   10389602,    8503000,    1889000
4823473.exe ,  0.22,  0.21,  0.02,  0.00,  0.74,   29452110,   25374000,    4059000
4823855.exe ,  0.14,  0.12,  0.01,  0.00,  0.34,   10476636,    8347000,    2086000
5137967.exe ,  0.29,  0.28,  0.01,  0.00,  0.72,   23239086,   22222000,    1010000
5606913.exe ,  0.12,  0.13,  0.01,  0.00,  0.30,   10469994,    9424000,    1047000
5784842.exe ,  0.16,  0.15,  0.01,  0.00,  0.40,   12402111,    9507000,    2852000
788876.exe  ,  0.31,  0.29,  0.01,  0.00,  0.77,   23203144,   21157000,    2015000
8124566.exe ,  0.13,  0.12,  0.01,  0.00,  0.33,   10624129,    7750000,    2906000
950066.exe  ,  0.13,  0.12,  0.01,  0.00,  0.34,   10333934,    8263000,    2065000
