file,pkg,cores,ram,gpu,psys,duration_time,user_time,system_time
1519241.exe ,  6.01,  5.84,  0.25,  0.00, 13.99,  484821000,  483550000,    1001000
1599310.exe ,  1.23,  1.20,  0.05,  0.00,  3.00,  104143757,  103129000,    1001000
1831963.exe ,  1.79,  1.73,  0.09,  0.00,  4.60,  169044355,  168040000,    1000000
2167115.exe ,  2.25,  2.19,  0.11,  0.00,  5.61,  194280947,  192274000,    1992000
2512213.exe ,  1.24,  1.17,  0.11,  0.00,  3.83,  143822559,    3757000,    2504000
3221292.exe ,  0.25,  0.24,  0.01,  0.00,  0.67,   22906225,   16911000,    5968000
3316605.exe ,  3.18,  3.07,  0.15,  0.00,  8.04,  295026403,  294013000,     996000
3562925.exe ,  2.00,  1.94,  0.09,  0.00,  5.06,  180288700,  178283000,    1991000
4443566.exe ,  1.83,  1.77,  0.09,  0.00,  4.76,  176076737,  171120000,    4974000
4977530.exe ,  2.02,  1.96,  0.09,  0.00,  5.08,  181921433,  180909000,     999000
5009868.exe ,  1.19,  1.15,  0.06,  0.00,  3.10,  113028402,  112020000,    1000000
5207650.exe ,  5.92,  5.73,  0.26,  0.00, 14.52,  516661037,  515465000,     998000
5312206.exe ,  3.82,  3.69,  0.18,  0.00,  9.82,  353908691,  352829000,     999000
5569369.exe ,  1.81,  1.74,  0.09,  0.00,  4.72,  173447832,  172431000,    1002000
5610334.exe ,  2.35,  2.28,  0.10,  0.00,  5.64,  195362879,  195359000,          0
5654000.exe ,  2.35,  2.28,  0.10,  0.00,  5.57,  191495344,  190493000,    1002000
6121982.exe ,  2.67,  2.58,  0.12,  0.00,  6.63,  237253871,  236256000,    1001000
6277159.exe ,  2.37,  2.30,  0.10,  0.00,  5.67,  195823282,  194824000,     999000
6366782.exe ,  0.10,  0.10,  0.01,  0.00,  0.29,    9739418,    8684000,     964000
7568135.exe ,  0.59,  0.58,  0.03,  0.00,  1.51,   52013506,   51035000,    1000000
