file,L1-dcache-loads,L1-dcache-load-misses,branch-instructions,branch-load-misses,branch-loads,branch-misses,cache-misses,cache-references,cpu-cycles,dTLB-load-misses,dTLB-loads,iTLB-loads,iTLB-load-misses,instructions,page-faults,power/energy-pkg/,power/energy-ram/,duration_time,user_time,system_time,perf_time
1358987.exe,318151181,3127025,202670739,1288073,201243338,1265712,2021106,10188029,471716140,132108,305632814,35295,15336,947124147,2468,1.55,0.1,143353107,135869000,6993000,199609641
2432135.exe,115062861,3417949,78564044,736897,72589288,787873,1884680,9251588,248467803,120107,111600379,13378,6179,398987930,3597,0.81,0.05,67145948,61756000,4980000,81570057
3260092.exe,305642114,2980729,192305950,1089174,195842676,1001813,811290,8642494,428503038,53190,312615313,19484,9028,916621406,1865,1.5,0.07,115635878,109317000,6017000,129761569
3609782.exe,99494555,2686749,72023722,715440,75846729,655705,1131780,7709138,219117733,36918,108315148,7046,6823,352502947,2028,0.69,0.04,60182263,56871000,3046000,74380447
3645649.exe,105556412,3223196,72662111,745580,75132036,766139,1792452,8150296,254082324,110055,111850335,34455,17369,374927694,2565,0.81,0.06,68729621,63424000,5033000,82960780
4263023.exe,102886724,2866049,72780470,777715,75332223,704295,1178975,7664245,237245610,45103,109264645,12679,5987,367831171,2109,0.76,0.05,63986856,57658000,5964000,78314932
5372036.exe,117104471,3461736,86447211,602961,85498777,690245,1841838,9715080,266792753,54597,108309470,27967,33667,403541736,7126,0.86,0.05,72096593,63827000,7978000,86436720
5633224.exe,147430492,10251029,106310636,5776970,108535969,5896945,1839948,20435815,564055341,176462,150791221,16358,8816,490127074,3118,1.67,0.1,152471650,143183000,9011000,166631079
5940692.exe,308896519,2712219,188143832,1150026,191524550,1083976,1303675,9057570,435460110,41292,319486828,19666,7891,938172109,2034,1.49,0.07,118072715,113790000,3992000,132083156
6225030.exe,313921631,2825422,196985270,1045508,196450050,1036121,1279400,9859600,466483277,73822,311049839,22401,102939,933493283,2050,1.5,0.08,128747548,120495000,7966000,143221849
6620990.exe,99919856,3265146,73304908,652809,75833548,617930,1171898,8228367,219207154,51817,105879100,8478,8842,342302201,2067,0.7,0.04,59460453,53164000,6018000,73790549
6742873.exe,317733199,3366012,196023691,1180250,193853470,1247185,2260561,11623933,473105256,161396,319776682,23031,15965,958428521,2563,1.6,0.09,127824110,120657000,6980000,141791845
6908878.exe,111910162,3124684,77180003,708909,76941582,722330,1625203,8000269,250778471,112061,115987436,12361,8553,393997736,2406,0.79,0.05,67794369,65362000,2011000,81918334
7442336.exe,107259676,3220900,73226493,718870,74808430,767810,2047963,8344432,256358220,112682,113153348,10681,13256,379826833,2606,0.79,0.06,69164813,60900000,7986000,83218159
7738068.exe,313930978,3091377,194488241,1171339,194312509,1120087,1261544,8357734,456291014,48716,316634030,21682,12172,952957260,2557,1.53,0.08,121653075,114304000,7018000,135765937
8036932.exe,100385195,3192574,71348674,679049,74870481,622733,1085780,7948002,230666232,49634,110276133,11532,7171,355422031,2094,0.74,0.04,62395570,55038000,7004000,76614263
8122852.exe,101113727,3198663,73451493,665274,76333923,582074,997738,7630804,210713855,39382,103816393,8384,5958,342130557,1936,0.69,0.04,57433700,51120000,6014000,71613207
8193334.exe,108790970,2929867,73446290,760936,73759488,672889,1077637,7562760,234412587,42126,111121950,10901,8234,381760514,1959,0.75,0.05,63847109,57370000,6038000,78116350
8322422.exe,113429527,3335331,79066478,778665,74650715,874292,1857608,10295696,235132305,130143,107314331,9912,6877,389552797,2511,0.68,0.05,67739771,62426000,5034000,82041667
8430040.exe,317156580,3457398,195891019,1217364,190078237,1192504,1225091,9208810,446556143,54357,314718150,25624,15845,951011218,2605,1.52,0.08,121057576,113753000,6984000,135474463
