file,L1-dcache-loads,L1-dcache-load-misses,branch-instructions,branch-load-misses,branch-loads,branch-misses,cache-misses,cache-references,cpu-cycles,dTLB-load-misses,dTLB-loads,iTLB-loads,iTLB-load-misses,instructions,page-faults,power/energy-psys/,power/energy-pkg/,power/energy-cores/,power/energy-ram/,power/energy-gpu/,duration_time,user_time,system_time,perf_time
1033658.exe,1925256610,9093969,768512984,9368685,768929955,9324146,5281320,29734240,2943982442,102062,1923702386,61648,29917,5493265445,6386,24.81,9.89,9.59,0.48,0.0,824561937,793259000,29972000,872345865
1161783.exe,803458694,5592309,291552419,6801736,291230574,6823970,3346281,16799385,1133387487,50924,804565580,34588,12773,2160589354,4427,9.64,3.98,3.86,0.19,0.0,306655996,299088000,7002000,320869924
1200749.exe,891353832,8604991,330273060,7688236,329623695,7605821,4647614,23206289,1280811557,71456,895971917,72711,22866,2402870763,6323,10.72,4.39,4.26,0.22,0.0,342949062,337373000,5005000,367174308
1325505.exe,547309312,9082188,244138345,6535874,248097527,6521904,6150585,24713145,1490795031,2027656,555270250,310588,359319,1710945579,5658,12.16,4.92,4.78,0.26,0.0,399357565,339587000,60104000,413619871
1335271.exe,614205316,8370961,241954683,5985032,244758084,5890661,5136408,20853115,1011084551,56024,613033391,32410,14929,1655491528,6777,8.63,3.51,3.4,0.19,0.0,270786649,261887000,11079000,284828302
1499617.exe,546367458,10760324,224578702,5830189,227527163,5842144,11738907,30651261,1035175902,825328,552592251,45355,19490,1397486201,8143,8.85,3.49,3.38,0.23,0.0,277007540,265864000,13091000,291040116
1505641.exe,2047283927,7665373,824622056,6900596,825274882,6904242,3856217,26025223,3068241430,99268,2040311443,56438,27983,5941016128,3458,25.91,10.31,10.02,0.47,0.0,820653729,816593000,8045000,835243147
1542189.exe,1293006200,17930315,627388812,7666705,622810379,7683734,9931572,43028112,2303257201,308507,1285806165,301790,228088,3760150369,6778,19.36,7.87,7.64,0.4,0.0,609981806,503293000,107489000,624208082
1631151.exe,502715762,17160817,220455972,5696100,223297196,5644732,10458088,40935979,912092447,78326,506669754,38126,14383,1551287763,4628,8.11,3.26,3.16,0.21,0.0,244609147,235448000,10061000,258805741
1856669.exe,1700303727,26613778,874317831,8238084,871057053,8228195,19223014,57203686,3512858788,1517784,1699091919,520731,132018,5630643234,90618,29.78,11.77,11.4,0.66,0.0,944063582,792573000,153498000,958247761
193506.exe,673555457,18404035,282048153,7796784,286697088,7695933,9920396,44660336,1674988973,365017,682241259,224201,410289,2133502823,4819,14.02,5.53,5.36,0.31,0.0,439096357,393974000,44109000,453275733
1963015.exe,1260357593,7788647,513946395,7093353,516391279,7110946,4981468,24777169,1956536253,75127,1273521387,86414,21726,3729629446,6583,16.81,6.79,6.59,0.32,0.0,526342358,510276000,17042000,540457423
198113.exe,701951739,7527381,352548346,4159580,351998200,4153828,4013366,16910826,1054513273,59051,701921294,44005,42067,2140953361,6388,9.03,3.64,3.53,0.19,0.0,284390839,268565000,16033000,298475968
1981694.exe,1016402041,8215041,429991888,7193824,432014024,7178758,5045589,25442581,1725240202,95143,1023525213,18566,17150,2983442010,4622,14.28,5.93,5.75,0.29,0.0,466839058,458388000,9007000,481007570
202900.exe,352156445,5573740,158868840,5795369,158771343,5768547,3269872,15218342,688172788,42703,358413975,18016,10430,1027986800,4429,5.84,2.33,2.27,0.13,0.0,185948887,176909000,8995000,200249515
2124644.exe,1039179324,8055458,533283012,5639239,528962551,5673216,4476816,22472485,1918537994,304055,1034175414,52074,221111,2966685216,6380,16.41,6.48,6.28,0.31,0.0,517379511,453660000,64093000,531634530
2145027.exe,4999455504,6494105,2376805495,10531754,2376613666,10538554,3098066,41053281,9333629540,248329,5006017661,204344,71729,15105310522,3276,76.36,31.09,30.19,1.31,0.0,2505034391,2503386000,2001000,2519263904
2184330.exe,891460559,8923674,343292890,6364481,346760727,6352139,4511823,23460297,1488876729,216069,892798738,34247,34621,2511976202,4627,12.58,4.97,4.82,0.25,0.0,403752064,397594000,5007000,418055412
2362734.exe,537210441,7470526,207751217,5929477,211741857,5931738,3822346,19373102,922938528,187677,543290244,20587,13675,1440416018,4623,7.86,3.13,3.04,0.16,0.0,247943651,241867000,5996000,262285144
2387311.exe,1307692220,10710157,479200508,6078098,479967095,6079592,8009751,32270418,1791652198,81099,1311245874,45042,24667,3371284498,5997,15.36,6.22,6.03,0.32,0.0,483472552,475507000,8008000,497739246
