file,L1-dcache-loads,L1-dcache-load-misses,branch-instructions,branch-load-misses,branch-loads,branch-misses,cache-misses,cache-references,cpu-cycles,dTLB-load-misses,dTLB-loads,iTLB-loads,iTLB-load-misses,instructions,page-faults,power/energy-psys/,power/energy-pkg/,power/energy-cores/,power/energy-ram/,power/energy-gpu/,duration_time,user_time,system_time,perf_time
2946862.exe,66832718,421159,46019856,1803651,48788893,1630075,149382,1230572,122923365,5314,71963857,2502,2815,239084668,525,1.02,0.38,0.37,0.02,0.0,33699758,33420000,0,48040044
2951063.exe,69676621,798889,46137003,1649610,44326766,1481677,223458,1601163,131985882,8005,71669664,1958,1749,255185581,916,1.09,0.42,0.4,0.02,0.0,35978562,34612000,988000,50115557
2961600.exe,78175506,661556,46711488,2043061,43468556,2098946,224308,1897116,124338303,7624,83056296,3795,1732,284193652,916,0.99,0.38,0.37,0.02,0.0,34031440,30705000,2971000,48629614
3025699.exe,204774484,1036943,128307916,1431453,128752047,1424778,417864,2809742,264358539,11429,208949596,9259,2286,638250807,1300,2.21,0.88,0.86,0.04,0.0,71885952,66627000,4972000,86214087
3098869.exe,196638875,727145,121956472,1408142,121169224,1540056,251852,2138632,246842126,13952,194732516,4895,2427,589718003,908,2.11,0.83,0.81,0.04,0.0,66847582,63578000,2980000,81338535
3122929.exe,194851614,488407,121236957,1461591,120684847,1451148,205673,1838018,251896821,9445,193657522,14625,5475,588457636,1004,2.14,0.85,0.83,0.04,0.0,68117591,66813000,1012000,82208329
336539.exe,196734418,444445,119756662,1423970,119576090,1534689,248401,1692762,244375030,8356,193987082,12460,2841,591246077,520,2.08,0.83,0.8,0.04,0.0,66265996,64775000,1012000,80772577
338328.exe,193589628,452115,121834224,1406161,122389011,1507976,180187,1689088,245991668,9602,193864127,15430,2597,584558744,519,2.1,0.81,0.78,0.04,0.0,67218888,63857000,2993000,81422846
3457445.exe,80657275,458876,53216710,1550405,51077070,1676366,166254,1200789,140802207,6151,87670861,1883,2285,277679483,527,1.18,0.45,0.44,0.02,0.0,37791969,36509000,1014000,52084790
3461403.exe,193292386,497715,122538107,1419834,122762553,1621107,231412,1683624,246470240,7820,191763356,12217,3660,580107714,521,2.06,0.82,0.8,0.03,0.0,66037805,62608000,2981000,80391257
3515653.exe,196456305,406283,121982057,1422072,121863842,1554430,167266,1649081,243561349,11218,193233534,12169,2437,584889664,518,2.06,0.83,0.81,0.04,0.0,66167201,64736000,1011000,80472577
3605312.exe,209119858,456669,128253673,1529658,128509603,1604437,185648,1862418,261271623,8492,197861120,10613,3980,593553739,522,2.17,0.88,0.86,0.04,0.0,71200433,66874000,3992000,85324064
3632999.exe,193240381,453009,119084139,1451203,119482863,1436358,209615,1773172,253749248,8193,195976069,12925,2376,590686750,520,2.14,0.85,0.82,0.04,0.0,68654553,66244000,2007000,83011596
3698143.exe,67229110,470359,43175709,1707751,46096612,1559331,160149,1344823,128647877,6611,72942935,1734,3090,245907171,526,1.04,0.41,0.4,0.02,0.0,35007410,32678000,1980000,49181549
3703754.exe,321030530,650758,226978101,2143403,228480204,2129973,193370,2467743,463828563,12722,331994869,15489,5558,1241504965,541,3.96,1.54,1.5,0.07,0.0,124279519,124640000,0,138735170
3837785.exe,193424314,508694,121915816,1454429,121373869,1466074,212483,1949044,253865617,10387,192907628,15342,6055,591585493,1002,2.1,0.83,0.81,0.04,0.0,68065776,62064000,6006000,82292260
3893727.exe,117655413,6836875,83245416,1738923,86855169,1470717,1263564,7517176,331291139,101058,133371258,16237,10458,396536556,2871,2.63,0.99,0.95,0.06,0.0,89111650,84131000,5068000,103554083
3997375.exe,193246652,417494,121008132,1470330,120551282,1456306,196429,1633811,250935215,11125,196524041,13989,2611,582200553,519,2.12,0.84,0.82,0.04,0.0,67858036,66869000,998000,81997362
4005226.exe,68097699,775890,45790785,1774945,47858122,1517963,249955,1799196,124968726,11403,75295702,1466,1673,251419608,915,1.01,0.39,0.38,0.02,0.0,33938604,31592000,2038000,48207311
4027093.exe,64675039,451774,46289573,1800771,48718703,1572682,156241,1269229,125665807,5123,72072534,2688,2854,239640969,525,1.03,0.4,0.39,0.02,0.0,33716458,29608000,3947000,47930498
4261206.exe,70367302,745845,46529184,1785018,47793564,1611735,245232,1739240,126120309,12667,73970334,1756,1610,249260349,915,1.03,0.4,0.38,0.02,0.0,34270690,30020000,4002000,48381602
4306462.exe,69260390,851485,43347713,1663190,44940145,1503694,229295,1789000,129598505,7670,73145056,1490,1760,251228326,917,1.06,0.42,0.41,0.02,0.0,35167461,32897000,1993000,49446711
4307955.exe,192251643,446901,120944720,1475733,121036673,1448285,189499,1837430,254602860,11366,197810333,12867,2237,584361967,516,2.14,0.84,0.81,0.04,0.0,69159535,67118000,2003000,83424611
4312536.exe,197183975,873722,132222689,1766812,132425458,1758084,234072,2413652,265744159,9148,207089459,12308,4989,615130987,952,2.24,0.9,0.87,0.04,0.0,71833946,67771000,3986000,86167290
4320720.exe,192016800,450693,120491502,1464987,120449584,1441987,186077,1789196,257226505,10913,196990429,14124,3263,583704840,518,2.21,0.87,0.84,0.04,0.0,69117122,66988000,1999000,83342240
4419376.exe,65036080,502007,47249487,1581993,49667746,1448829,145435,1147304,133346687,5258,70656264,3044,2898,234980584,524,1.09,0.42,0.41,0.02,0.0,35888859,30635000,4941000,50053110
