file,L1-dcache-loads,L1-dcache-load-misses,branch-instructions,branch-load-misses,branch-loads,branch-misses,cache-misses,cache-references,cpu-cycles,dTLB-load-misses,dTLB-loads,iTLB-loads,iTLB-load-misses,instructions,page-faults,power/energy-psys/,power/energy-pkg/,power/energy-cores/,power/energy-ram/,power/energy-gpu/,duration_time,user_time,system_time,perf_time
1149166.exe,45739690,406215,31759847,96320,26172214,92272,161356,1240874,53051942,6071,45719729,4251,1773,144642825,525,0.81,0.1,0.08,0.02,0.0,40054214,35578000,3953000,92361477
1659823.exe,1359438,72797,973094,27525,972892,27623,54329,292731,5760694,1052,190842,468,401,829718,136,0.06,0.02,0.02,0.0,0.0,1631062,1439000,0,15815141
1716934.exe,1536266,84931,976498,29520,1019813,29458,61400,323260,6217143,2377,1275723,<not counted>,<not counted>,<not counted>,134,0.06,0.02,0.02,0.0,0.0,1810553,1452000,0,16244754
1793587.exe,1322531,78808,993662,29076,993293,29014,56626,319417,6502966,3016,185322,<not counted>,<not counted>,<not counted>,135,0.06,0.03,0.03,0.0,0.0,1783125,1475000,0,16202304
1950459.exe,94368943,471892,66534317,120478,66476942,122780,212405,1259333,113809012,6207,103088842,5113,807,287423004,519,0.94,0.38,0.37,0.02,0.0,30192074,28937000,997000,44262253
1995279.exe,34144418,480819,20580741,64825,20069216,65861,229304,1066084,54346628,4572,42559625,539,409,136224686,917,0.43,0.16,0.15,0.01,0.0,14699263,12412000,2068000,29028926
2012602.exe,97301031,482269,69744565,111325,67256394,113430,158549,1315850,112816825,6843,95035117,10592,1894,288881262,1034,0.96,0.39,0.38,0.02,0.0,30776795,29504000,1017000,45144378
2099466.exe,79868170,341931,50837939,84508,50900980,80316,164491,935019,100081285,5941,90237498,5562,756,252528164,520,0.84,0.34,0.33,0.02,0.0,27120872,25888000,995000,41196496
2230190.exe,74489764,3846978,48265497,402230,46846309,406053,305371,1658719,195258146,11021,76385123,19218,4221,256608510,2480,1.6,0.56,0.54,0.03,0.0,52702060,46304000,6039000,67336961
232374.exe,45902348,470206,39134341,96046,40438216,100452,138810,1079107,66317692,5863,44389719,8931,3126,153127667,1042,0.55,0.21,0.21,0.01,0.0,17775503,16468000,1029000,31973804
2353585.exe,33345944,173375,16749297,58299,16682844,58362,168946,638458,42777104,5194,37087265,629,903,107278076,525,0.33,0.13,0.14,0.01,0.0,11455454,8115000,3043000,25568428
2430690.exe,628946,78966,974780,28089,974158,28027,54469,302267,5952583,2320,<not counted>,<not counted>,<not counted>,<not counted>,129,0.06,0.02,0.02,0.0,0.0,1705815,1432000,0,15818585
2545079.exe,37722038,334746,28459988,124813,29744231,126797,331151,1172614,65753563,8202,44056796,4842,1839,134251938,785,0.45,0.18,0.18,0.01,0.0,16700769,11968000,2992000,31062391
2745668.exe,99760122,817063,68666177,98879,68734429,114854,248408,2105944,120731486,8099,93074439,15580,3697,293289026,1939,1.06,0.42,0.4,0.02,0.0,33123138,28776000,3969000,47227520
2764661.exe,94014300,471708,66584071,111481,66355616,110564,167461,1196652,110680973,5501,101770210,5391,923,286975033,521,0.92,0.37,0.36,0.02,0.0,29716962,29401000,0,43880087
279056.exe,44790570,504306,35351987,93151,35346773,92145,137371,819860,52371024,2413,39032424,2393,1208,143834991,524,0.42,0.17,0.16,0.01,0.0,13988988,11753000,1958000,28216025
2939537.exe,30773556,310997,24378997,75156,24461623,76665,139410,834387,52742179,2249,39635315,3048,912,124141091,523,0.42,0.17,0.16,0.01,0.0,14000592,11734000,1955000,28216961
3043260.exe,796481,75762,1000411,29100,999789,29037,58402,319826,7303647,3443,<not counted>,<not counted>,<not counted>,<not counted>,130,0.06,0.02,0.02,0.0,0.0,1823526,745000,745000,16065263
3147371.exe,29019193,202277,17171272,59929,17724958,62294,129309,636881,44091977,2619,33031881,2764,2387,102966174,588,0.34,0.14,0.14,0.01,0.0,11610600,10186000,1018000,25895783
3162106.exe,85927237,300430,51683814,74043,50149909,75008,151926,1177688,100111530,6302,88106894,11204,1848,267320511,995,0.85,0.35,0.34,0.01,0.0,27693562,25397000,2031000,41815428
