file,L1-dcache-loads,L1-dcache-load-misses,branch-instructions,branch-load-misses,branch-loads,branch-misses,cache-misses,cache-references,cpu-cycles,dTLB-load-misses,dTLB-loads,iTLB-loads,iTLB-load-misses,instructions,page-faults,power/energy-psys/,power/energy-pkg/,power/energy-cores/,power/energy-ram/,power/energy-gpu/,duration_time,user_time,system_time,perf_time
1055487.exe,307738752,2333461,192506891,889834,190910919,903159,820380,6999190,402971591,34040,306272308,28241,12056,924587895,2067,3.69,1.3,1.25,0.08,0.0,123541583,115976000,6998000,170827268
1085914.exe,306849577,2220949,192155336,900407,192813518,897460,618665,7106363,393771946,29101,304342495,20206,8028,914928456,1867,3.41,1.39,1.36,0.06,0.0,106539723,103245000,3007000,120897071
1102079.exe,305942526,2183732,191143392,899918,192212513,895184,633071,7236129,393755942,28814,306147669,20742,8629,916795151,1846,3.41,1.38,1.34,0.06,0.0,106648926,105292000,1002000,121145679
1192664.exe,306214972,2164997,192085752,903616,192766032,897071,715574,7372815,393594645,30415,304943804,21347,5794,914227809,1901,3.45,1.39,1.35,0.06,0.0,106235329,101947000,3997000,120524135
1300054.exe,103438177,2150424,72856530,494094,70794069,489771,763177,5947271,188326627,26251,101066082,9301,5838,355586136,1948,1.62,0.64,0.62,0.04,0.0,51346118,47858000,2991000,65635967
1307935.exe,101207024,2166250,71308836,485563,71030806,474572,640861,6013358,188053655,28357,103614573,10520,3270,351606808,1854,1.58,0.58,0.57,0.03,0.0,51768960,47533000,3961000,66288049
1580081.exe,104791194,2573588,73342230,537383,71357863,520299,1390218,6807129,211775223,58493,106759798,16765,4884,362900563,2900,1.8,0.68,0.67,0.04,0.0,56577626,49138000,7019000,70849849
1623988.exe,102303933,2061817,71466578,490260,71280210,471796,723372,6362395,185104104,22182,101680760,11905,3851,351177132,1895,1.57,0.62,0.6,0.03,0.0,49946881,47623000,2026000,64102352
1701757.exe,307466669,2247814,192417729,897057,191795176,902436,719658,6684302,398727943,32084,304165745,26650,5717,917416084,2043,3.52,1.39,1.35,0.07,0.0,107550887,102143000,5007000,121954046
1735981.exe,320432896,3340933,198769187,1067499,196631751,1204138,1728187,11276429,463555813,71965,327856708,30826,6520,977122013,2832,4.02,1.56,1.51,0.08,0.0,125221547,119790000,5033000,139534021
1755402.exe,311511158,2454091,191239133,1136037,189424980,1133205,1433237,8330393,428154268,61185,314332651,22982,8858,939739336,2448,3.74,1.46,1.42,0.07,0.0,115152879,108885000,5993000,129349309
1878441.exe,102785108,2505254,71556701,504597,70877740,489226,1154225,6384062,202071578,61637,104308495,13985,4669,351996288,2472,1.68,0.66,0.64,0.04,0.0,54784460,49461000,5047000,68996896
1969973.exe,128083192,5315356,94626246,1053078,94174901,1043605,6677898,13558135,523729909,910707,129981560,30583,10157,456597846,6219,4.13,1.49,1.44,0.14,0.0,141628032,130286000,11024000,156024432
2244564.exe,312018141,3091064,193232008,1150245,193807913,1229800,1514620,10217265,449831369,64731,313236925,24401,9200,943021397,3148,3.88,1.5,1.46,0.08,0.0,121188246,112927000,7994000,135716766
2248126.exe,101719331,2549459,70848403,510501,71744193,498173,1025856,6419216,199160746,60593,103833212,10851,4629,348753934,2307,1.7,0.65,0.63,0.04,0.0,54119878,52702000,1013000,68354764
2307748.exe,100803875,2139477,70848783,489700,71842653,479356,843713,6195363,190059432,23260,102714955,12759,3127,347920081,1902,1.58,0.62,0.61,0.04,0.0,51034717,47775000,2985000,65535929
2408959.exe,305469154,2280009,192079713,894069,192325388,894879,665921,6839122,397460468,28952,303987307,25015,8630,911986881,2041,3.42,1.37,1.34,0.06,0.0,107446123,102108000,5005000,121707997
243923.exe,92806445,2196337,84911014,476211,86403130,479707,626888,5917491,195479160,23316,94377864,13568,4049,403732960,2042,1.67,0.65,0.64,0.03,0.0,52672382,47447000,4942000,67119825
2530802.exe,108165638,2659928,75066521,512974,72252345,501651,1528018,7333274,214725001,57329,105350884,21420,5050,366610582,3620,1.81,0.7,0.67,0.05,0.0,58598620,53201000,5019000,72881278
2545155.exe,102766113,2500203,71433610,503421,71202196,495183,1017853,6367752,199293455,61731,103849523,13331,4627,351722587,2473,1.65,0.64,0.63,0.04,0.0,54162680,52847000,1016000,68694542
