file,L1-dcache-loads,L1-dcache-load-misses,branch-instructions,branch-load-misses,branch-loads,branch-misses,cache-misses,cache-references,cpu-cycles,dTLB-load-misses,dTLB-loads,iTLB-loads,iTLB-load-misses,instructions,page-faults,power/energy-pkg/,power/energy-ram/,duration_time,user_time,system_time,perf_time
1536382.exe,299453440,6946413,188941686,3955406,191395798,3897262,4312322,15397403,597743574,248716,294788912,46814,16035,1061987576,6777,1.85,0.13,175686099,153198000,21744000,220541053
1605758.exe,313444948,5207226,189048641,5314662,190959731,5326102,3332205,12931582,621698003,210937,313417128,43656,14860,1078286993,6778,2.0,0.12,167738987,154479000,12956000,181937386
1627487.exe,849565753,8958992,387828166,7173413,388038547,7175712,4378862,21796481,1297055297,485973,851560949,50364,39270,2837207474,6780,4.28,0.23,350455898,340044000,10001000,364710439
1734547.exe,886080368,14523558,477365124,5868997,474704449,5899676,3299583,28930557,1434237253,499882,896922324,48516,116098,2618467266,4040,4.77,0.24,387690715,353324000,34031000,401876069
2002873.exe,882943911,14477704,476027412,5959653,475185860,5995202,3329445,29673001,1440266071,498722,896768357,55493,113651,2611555524,4038,4.81,0.24,388193226,343771000,43970000,402390775
2049538.exe,369911994,5177242,198438458,3789955,197590488,3726279,3468921,13530217,664883298,218355,363693788,33073,22337,1159027611,5213,2.12,0.12,181095644,170721000,9983000,195264337
2134592.exe,235357707,6494754,150890582,3371039,154390102,3386757,1432633,11751730,465354932,134431,239500305,21542,19610,836933064,2579,1.52,0.08,125756035,117411000,8028000,139766730
2365914.exe,220601846,4052853,201789629,3755867,195321872,3695561,1965209,10007483,477495626,93459,209962691,17779,8859,1009561178,2377,1.56,0.08,129958223,124533000,5021000,144277518
2505532.exe,728496519,5057126,442030910,4590738,443892003,4602669,1394680,11927745,1201966027,190749,737173651,154403,443731,2275113658,2574,3.92,0.18,325307290,296004000,29000000,339339884
2527896.exe,254925481,6997343,180695509,6566258,185367946,6581583,2306844,14107893,613380122,165928,264754032,21449,14633,1003084255,4043,1.97,0.11,165618143,159364000,6013000,179870959
2640086.exe,249004984,4316421,157992554,3553660,157213322,3577949,1485350,9587652,487882245,78287,253300878,18627,10547,914232291,4777,1.56,0.08,132449365,123216000,8943000,146544828
3014683.exe,243300061,4029893,214608272,4252734,211054495,4202385,1759593,9987429,517619661,92826,238147904,18793,6104,1142360872,2378,1.68,0.09,140429425,136088000,4002000,154648716
3018918.exe,400701388,12777953,195995285,3838075,198500841,3853208,12741453,35310879,882168174,999258,410298903,63665,16004,1143228548,6775,2.83,0.21,238208423,224905000,12994000,252386442
3047601.exe,302066563,4662886,196181884,4346021,195493777,4340979,1978296,11012244,550083808,111433,291616682,32397,9779,1102911879,3652,1.77,0.1,148977236,143596000,5020000,163056638
3113504.exe,425531111,18041452,199024809,4915235,202473154,4939190,3191398,26270600,756236016,368865,434457377,18244,12568,1312406520,4048,2.56,0.14,204130887,195896000,7995000,218326437
3149650.exe,240787290,4240203,159675537,3835955,163538592,3850371,1491289,9264391,474936076,106555,247997456,31973,9269,885286315,2573,1.5,0.08,128190365,122922000,4996000,142512578
3242376.exe,276556731,4674101,181042477,4300384,181130876,4307403,1693044,10300342,511710989,114259,279652821,55415,14168,1024613860,4611,1.63,0.09,138048458,132634000,4986000,152244879
3324029.exe,222495083,6076353,150177673,3613425,150157215,3655535,1415436,11809173,444337560,126280,224554040,20608,7217,807133706,2186,1.42,0.08,120733816,111409000,9033000,134949110
3583821.exe,281648786,4843527,181591419,3990306,185675255,3997233,1220064,10658015,744216056,182163,290725339,36093,108815,1029843050,2572,2.3,0.12,201245519,160955000,39988000,215126642
3645873.exe,332061850,11431924,223243417,6116577,226580752,6101972,2686080,22958117,693515509,336217,338377038,24699,11551,1257672913,3504,2.29,0.13,187135208,180796000,5993000,201480453
3660770.exe,224996706,3839795,148816734,3488824,153282931,3551253,976882,8192581,448662860,89644,231051326,36720,11110,816292820,2381,1.45,0.07,120916628,115713000,4987000,135069421
3722205.exe,813808129,13718816,497446561,6078836,500577829,6051188,11734506,34528254,1579482452,829085,825055592,70214,118680,2513550486,7159,5.13,0.3,426065794,388770000,36978000,440350566
3806326.exe,221984745,13746936,197496337,2639348,197415635,2635611,4584886,25416585,572552515,1270957,222363217,26516,10576,987318099,3405,1.89,0.12,154705430,148344000,5973000,168906197
3843447.exe,328704347,6807863,199539509,4827899,202527176,4855855,1734800,15980044,645053342,203818,335094809,27879,12576,1282860668,2964,2.11,0.11,175033288,171616000,3010000,189201913
3950897.exe,410529662,7440565,240995530,5870612,241001817,5863140,1908437,16015495,719271931,178661,399906438,32245,14799,1478155173,4624,2.35,0.12,194617861,189510000,5013000,208808789
4006798.exe,219066278,4188644,150340175,3906310,155257242,3973631,1039865,8705852,451628207,71954,224625070,28275,10218,787770483,2575,1.44,0.08,121172332,114996000,5999000,135201676
4176362.exe,287886051,5988842,188812521,3757162,188659249,3734425,2753747,12315064,799497993,229163,292728780,356772,122439,1038825495,11861,2.43,0.14,215248921,175122000,40028000,229561300
4239983.exe,808873475,8246911,471646924,5255315,465637867,5206387,4617247,19314239,1348280543,395006,813921111,67088,114605,2493811170,6619,4.41,0.23,363772117,331632000,32061000,377885065
4267993.exe,353674459,4402327,217872782,4408217,217582478,4343043,1634396,10359585,614266884,109769,345308989,26944,10959,1249824283,4042,2.0,0.1,165878135,159624000,5985000,180216517
4558965.exe,371196055,13393709,216719882,5161452,220026561,5183634,2690516,24442499,908386889,411379,380263058,27891,111052,1316523325,3849,2.84,0.16,244834981,215767000,28968000,259132994
4561699.exe,374737546,28097542,176187109,4454912,178337754,4446813,10285714,46776759,831489998,2042570,386274273,25175,13839,1145821138,5607,2.7,0.21,224932893,215900000,8995000,238956292
4577882.exe,402165294,5764910,210220819,4042960,214029527,4061052,2833381,13721885,907974052,332265,410668703,45995,148685,1286783344,4621,2.81,0.15,245220292,215101000,30014000,259590180
4619221.exe,211965351,4253132,137463506,2062756,134951205,1986422,1163024,8815266,360898473,42951,206537785,16599,9202,750398971,2966,1.18,0.06,97213983,90997000,5999000,111511863
4649754.exe,246322467,3393443,166126830,4383170,163383877,4335430,1070891,8072072,504400494,40274,241779042,15520,11943,949955699,2185,1.62,0.08,136170880,133823000,2012000,150526114
4698440.exe,687281795,6019656,417550875,3400198,413802010,3409640,1490000,13174101,1071377263,177811,676496084,51528,108734,2029751356,1693,3.55,0.16,288537048,268234000,20017000,302688398
4776943.exe,248551081,6793910,164405423,3984366,168309563,4010277,2017288,13254050,732846856,247227,257866160,26994,123504,891747957,4042,2.25,0.12,197051672,183887000,13063000,211151962
4811930.exe,240766264,4451029,156682002,3458768,159411401,3438543,1626948,9752427,477618820,74411,245590999,22173,21552,866306299,3652,1.53,0.08,130198798,125006000,5000000,144358811
5053992.exe,268949897,5487633,172607277,3915766,176314181,3931862,2449700,11735827,531803849,180929,277275037,23783,11403,950741865,3601,1.73,0.1,143447425,139250000,4007000,157473412
5071471.exe,229877290,3733719,150697115,3406333,155554088,3446668,848882,7632440,447023698,41193,232298387,19590,9521,837079493,2382,1.44,0.07,120736472,114509000,5974000,134923116
