file,L1-dcache-loads,L1-dcache-load-misses,branch-instructions,branch-load-misses,branch-loads,branch-misses,cache-misses,cache-references,cpu-cycles,dTLB-load-misses,dTLB-loads,iTLB-loads,iTLB-load-misses,instructions,page-faults,power/energy-pkg/,power/energy-ram/,duration_time,user_time,system_time,perf_time
174258.exe,130263022,2720931,184051113,18271589,179040253,18490248,461429,5861647,660503698,27278,123445814,26344,26506,842001854,4205,1.92,0.1,196450502,190052000,6001000,265836455
1787832.exe,129398291,9602054,214476191,18300620,221132796,18069078,2274706,15541628,753742615,48071,131482136,56528,14669,909858304,8302,2.3,0.13,203475341,193146000,10007000,217746455
1821852.exe,90161937,236223,125343849,13281254,125537435,13350009,143810,2415233,603179072,17201,90073464,2761,4859,533414106,136,1.73,0.08,162774497,162574000,0,176683199
1898852.exe,31901931,113168,13919400,124066,13937539,122683,92561,651757,59851824,3559,33375405,206,406,100187474,135,0.2,0.01,16042286,14784000,985000,30030113
2048785.exe,88665463,276932,132113590,13239549,132132219,13277940,115973,2413102,596020435,17348,88120207,2780,5338,570996893,133,1.67,0.08,162353163,161089000,1000000,176534123
2110174.exe,96299573,16843141,181644299,17158346,181375301,16981740,1687651,15795760,708518810,36602,93431393,31523,11752,834927051,6284,2.12,0.11,191699723,181326000,10018000,205932761
2271051.exe,86445624,272342,125119756,12970401,125499406,13014291,118711,2509728,623539130,16116,86901791,2231,4135,494321452,136,1.77,0.09,168759156,167540000,997000,182604872
2381283.exe,155911677,17499773,261478554,17850563,259961417,18337098,2481503,10268593,838293670,48063,143974456,40254,26118,1081772042,8304,2.49,0.14,226092425,211746000,13983000,240378340
2447635.exe,119226064,12152733,186487044,16527761,183124759,16382063,1887113,13906604,676190260,42941,117835236,46395,13571,931195700,8298,2.03,0.11,182587830,162219000,20027000,196617016
2460677.exe,86249101,263763,124496200,12860354,124432635,12886275,120824,2561571,615070064,17721,85807533,2233,4491,491888195,136,1.69,0.09,170037613,168771000,998000,184209468
2671073.exe,86756184,3099893,170472585,4163861,166258764,4266119,521747,3641867,326763097,22920,90085500,14002,8343,673827192,2183,1.03,0.05,88306806,83909000,3995000,102359565
2671088.exe,86472578,3760427,164014138,3894316,165142956,3766910,1336446,4910866,330396150,24798,81556477,26166,7189,622531267,4230,1.03,0.06,89327930,79946000,8993000,103474501
2675921.exe,127007109,13675224,242501522,17945510,245122841,17427273,2359090,10920886,753451614,66459,134283771,42797,17729,993287677,8304,2.25,0.12,203476662,192129000,11007000,217565496
2675933.exe,126810960,13725623,243210489,17961043,245117458,17364653,2302762,10870957,750756638,65858,134542142,42766,15951,990904172,8302,2.25,0.12,202976100,189661000,13045000,217091399
2844052.exe,62577564,1594196,25664879,145168,25095856,144144,1634234,2246965,159432956,23411,67955100,34274,24319,190720887,8519,0.49,0.03,43063801,27770000,14876000,57440345
2942024.exe,88700292,2847990,101154419,2905956,94301717,2975274,1242190,5381978,258998555,23740,86184455,30833,8583,510450275,7148,0.79,0.05,70072114,55614000,14156000,84164346
2942175.exe,235739619,20628407,298152640,6357521,288412918,6471706,4057192,14189193,625148651,69482,215011341,55428,18597,1398545540,10350,1.99,0.12,169357420,150972000,17996000,183592037
3010849.exe,93031173,12752207,196317645,16535009,193095803,15798938,1867719,11629653,636848472,51848,102309900,44502,11328,781161944,8297,1.9,0.1,172257171,157953000,13995000,186498524
3080883.exe,70496056,1485588,162942702,16371391,160539682,16414611,384657,3984101,550005387,19208,71878254,8317,6527,549844287,1604,1.56,0.08,148657713,143397000,5013000,162686267
3266282.exe,136937897,19286495,228060200,16731077,228101097,17117021,1531770,15379456,796331583,49614,139780975,50762,20159,905574553,8305,2.42,0.12,215328904,204050000,11002000,229620025
3454388.exe,234092354,24416651,287371580,6650842,287964421,6398908,4062527,12360469,645152543,67685,229262868,51463,15353,1395132429,10351,2.01,0.13,173805071,160630000,12970000,187851501
3666316.exe,102516556,20619286,252468263,17814921,248504528,18049293,992413,17143931,742630733,41926,102282219,20425,9649,948633506,4229,2.22,0.12,200361983,191070000,9003000,214430336
3916769.exe,16434627,699487,22465024,59264,19711629,60752,572345,2134032,46231330,7461,16615465,12170,2571,105845310,2307,0.14,0.01,12318938,8055000,4027000,26417392
4034922.exe,29379643,676946,15883239,98625,15065439,100075,742825,1831102,110967445,11597,27343794,8987,1449,107914337,2182,0.33,0.02,29822753,25604000,3939000,44087769
4083399.exe,100503556,23549979,207728326,14988289,206129605,14623286,979388,14906120,723815542,41343,103440808,10891,5914,885718242,2184,2.15,0.11,195949347,190639000,4990000,209972508
4088261.exe,110121691,1606189,220582130,15910275,224609710,15551841,746687,5013597,647151129,24806,109962988,18756,9533,862225600,3628,1.88,0.1,174257919,167144000,7006000,188334445
4207131.exe,73549311,1555489,134115963,2451785,138292220,2407314,381639,2690421,232756029,16701,74790627,17577,6392,490216691,3347,0.71,0.04,62990528,56717000,5970000,76875671
4230847.exe,57370558,1609606,30482195,316950,31599590,319591,1029673,2962623,174861373,21654,60904498,24603,25434,196390891,8303,0.55,0.03,47553862,33218000,14092000,61726082
4358293.exe,156204080,13354684,170122423,4862477,171644231,4672633,2630122,10093229,433396109,56735,146019581,59376,21732,809588261,8302,1.37,0.08,117083867,105813000,10980000,131091085
