file,L1-dcache-loads,L1-dcache-load-misses,branch-instructions,branch-load-misses,branch-loads,branch-misses,cache-misses,cache-references,cpu-cycles,dTLB-load-misses,dTLB-loads,iTLB-loads,iTLB-load-misses,instructions,page-faults,power/energy-pkg/,power/energy-ram/,duration_time,user_time,system_time,perf_time
1070657.exe,206240254,12957699,203901040,136627,203714977,144923,8223682,30431073,547343765,208235,205293431,8330,7790,1818718070,2083,1.69,0.19,176248080,162759000,13060000,242673588
1096416.exe,209281122,13024439,204536549,135740,200619287,134860,7502428,28934292,547738084,221423,210666958,18635,6853,1879275393,2086,1.8,0.17,148206646,141903000,5995000,162511180
1293444.exe,203234104,6472068,198953571,126118,200091364,123787,312524,15475618,473598225,17382,205275966,1854,3442,1829945891,1106,1.54,0.07,127997751,123771000,3992000,142245858
1402105.exe,507618650,21048501,554384220,662288,555278791,671414,28106040,44361008,2257919009,785900,512455887,497223,254763,5307683746,98763,7.49,0.57,607235258,421438000,187640000,621374023
1458177.exe,209908398,12934890,102845566,142103,102204357,146545,8094168,28477059,518550239,210243,210900801,10741,4808,1466142199,2089,1.7,0.17,140685654,136729000,4021000,154743012
1562200.exe,208027120,12956362,103504820,137579,103056595,140519,7512804,28520666,512074081,220545,212360556,21460,7947,1661803671,2087,1.67,0.16,137762959,133889000,3996000,151886057
1623325.exe,569043308,28388421,301760893,506909,299245283,509014,29031722,54903425,1444927963,311195,576387667,598156,110000,2650073092,99785,4.65,0.42,388407947,224592000,164433000,402556061
1626177.exe,204085263,6561634,203462829,115168,203249561,116135,345185,15228843,438087644,23265,203195760,2169,3421,1720727370,1104,1.43,0.06,118160320,114093000,4003000,132073684
171227.exe,210876275,13163390,28989767,103259,29267559,105193,7078787,26413075,320672428,200639,207057514,38646,7947,866069326,4038,1.07,0.13,86562737,81364000,5022000,100690309
2014050.exe,208208291,12958805,202312803,130599,198377411,137607,8083302,28714424,532793149,194614,209940874,9618,3974,1777313160,2084,1.73,0.17,143977555,139912000,3997000,158179411
2134955.exe,572399763,28442852,304060006,562488,302299077,560244,28795307,55187539,1439041450,313003,573781866,508632,111632,2650496103,99783,4.66,0.42,387559076,215504000,172403000,401691016
2146464.exe,209510759,12956209,202367843,135214,200491019,141137,7841315,28771429,534475087,210566,213747669,12590,4397,1787710641,2086,1.73,0.16,142175740,136941000,4997000,156498830
2199340.exe,61498042,6778224,29533694,74465,27690217,76451,290391,12171338,150009992,15680,62327855,14988,4494,387005983,2089,0.5,0.02,41293735,37058000,4006000,55499252
2231894.exe,305091865,12865611,300122492,158966,295618944,156796,8240160,29551028,662082574,215153,307446335,10763,8276,2328722750,2091,2.14,0.19,178408240,174407000,4009000,192565889
2233044.exe,557973477,50333709,307899660,269390,309999153,277549,45673493,93059674,1369822749,630084,558494184,72640,17737,3592835049,7940,4.61,0.62,367901145,358210000,10005000,381883232
2258515.exe,207845236,12979897,103742657,142851,104416031,144933,7806015,29392069,600381902,227295,208774515,7439,5086,1656410870,2086,2.03,0.17,162464733,157441000,5014000,176726760
2378596.exe,209817682,13035785,206287891,144127,204161384,148271,8438233,28345797,563493120,212973,207777363,41361,9697,1870400030,4035,1.82,0.17,151682078,147443000,4012000,165924600
244450.exe,207445611,6534538,202215377,97066,203096914,96505,676174,14575663,342440788,18528,201684989,13292,4639,1447697933,2085,1.18,0.06,92544216,89406000,3013000,106613383
2481720.exe,411398566,26210804,350844451,527780,347881784,526821,32958026,47620107,1402677908,730890,414599218,302972,301648,2694044449,98767,4.59,0.43,377635705,190926000,186928000,391857701
2514076.exe,210071457,13027742,206719501,138159,204097251,139047,8171795,28230297,560779780,211064,207127690,40381,7905,1876054206,4038,1.84,0.17,152007638,146909000,4996000,166239710
2685596.exe,211441701,13064100,207562543,146688,205028948,144749,7899706,29071789,558951402,210623,206551911,47241,18742,1874686523,4040,1.82,0.17,150606188,143297000,7014000,164744649
2734446.exe,413371854,20753889,351736542,559766,349554864,562628,27204256,41629541,1586257328,745640,416352239,303246,109427,3723745462,98765,5.1,0.44,428518641,226276000,202247000,442697451
283471.exe,412759532,6824191,207441112,251411,206181162,265438,898434,18383887,993433139,30359,403136958,6712,6886,1444486650,1112,3.1,0.15,265722585,262655000,2996000,279942603
3205915.exe,342251555,14844781,298152577,384670,297203279,387901,12317304,27121638,1040914260,220812,339213236,396897,306786,1988632495,98766,3.36,0.24,281292665,193190000,88086000,295668917
3617839.exe,209256170,13048955,103568380,132730,103058921,136632,7228290,28292917,511452694,231331,212295100,8794,5185,1567738708,2080,1.66,0.16,138339125,133123000,4967000,152371346
3741569.exe,209307272,13028889,204486482,132252,201391454,141251,7734750,28990245,553251189,212453,211214360,7385,7621,1876485294,2086,1.8,0.17,148409455,143064000,5002000,162660552
3855515.exe,213751970,6680313,103557856,88608,103537188,89640,481086,14768627,265143935,17731,201466503,16826,5007,948285909,2087,0.92,0.04,71463989,67291000,3958000,85597903
3900305.exe,515962221,21020539,558928788,551178,548620000,555499,26266443,41426268,1523052321,814143,510515593,498223,308565,3663768614,98764,4.93,0.42,410053651,236988000,172991000,424238489
3927955.exe,206181630,13001390,204787018,135947,205016881,140070,7837247,29787297,526400481,205791,205973994,8679,4750,1741404477,2086,1.7,0.16,142013483,139767000,2011000,155980643
416586.exe,340486639,14954227,298972895,409291,299248238,412273,12970769,28674681,1272811401,218133,341506957,300609,301778,2685483340,98768,3.98,0.28,343651867,252412000,91148000,357752322
4285324.exe,570971961,27991426,302022980,612024,300410107,611474,28466887,57278322,2109497621,327052,568648484,463759,172451,5237568509,99790,6.81,0.54,569456677,474690000,94938000,583532219
4292026.exe,417888336,13648926,313089113,47566829,306123061,47467119,10169798,34756147,1888089043,151470,410741103,26713,15538,1512176617,3066,6.01,0.39,508587950,504648000,3997000,522742932
4421941.exe,209665985,13086903,207361162,167647,205463537,160403,8164585,29813509,710567804,221026,205291111,40989,9029,1855389614,4036,2.4,0.2,191629094,189445000,2004000,205967503
4448176.exe,209434831,13014262,206131540,146181,203810761,146384,8286252,28245298,562528957,212859,208235242,37488,7822,1869675686,4038,1.85,0.17,151934774,145660000,6027000,166240461
4673593.exe,209704404,13049567,203859940,128910,199542210,140136,8103325,28654893,533763074,193073,208790852,12344,6915,1768040177,2090,1.73,0.17,144208795,139899000,4025000,158247645
4703799.exe,208597568,12959504,203629246,131495,199588983,131401,7890234,29415493,548176617,181549,208808663,10176,5093,1661224514,2087,1.8,0.17,148043633,143820000,4022000,162103570
4832111.exe,573458480,28092175,301936482,490201,300245461,489314,26815042,56000962,1440386272,318694,571702615,590965,110376,2657436311,99783,4.66,0.42,389146529,291950000,96983000,403348055
4879484.exe,512600653,21022305,554018708,557960,548760847,559407,26346495,41490154,1631532923,768925,512207440,315066,111671,3636126642,98762,5.46,0.45,439114053,284000000,155000000,453099818
5069904.exe,538796501,15150690,398794955,516665,399327878,517868,13256452,30368395,1726831302,232692,538634096,418207,153798,4385074512,98769,5.38,0.35,465328374,365152000,100041000,479384854
511442.exe,235006315,19460857,207238794,147034,203345298,149910,12499114,40993073,579543061,219933,232189552,12160,4748,1921561512,2083,1.95,0.2,156781425,152621000,3990000,170955088
5118663.exe,207970615,12937609,202104315,128198,198363058,135869,8078780,29368955,534419783,197757,210185259,8672,5482,1777390182,2088,1.78,0.17,143938569,139749000,3992000,158409140
5191445.exe,258732790,38274923,209929495,283541,209116999,290572,38483361,83736992,1446792793,438784,258394371,28343,13012,4025944865,4042,4.52,0.53,391016364,384823000,6012000,405325637
5208903.exe,681739038,28990800,404898984,514784,399698598,512580,26700932,56258344,1533613046,316689,672125752,540611,263688,3416818585,99788,5.01,0.44,414396883,330240000,84061000,428413129
5441244.exe,307984914,13080334,302141049,194320,297477395,206838,8383914,30499523,954504394,204954,305160579,12710,7523,3254490727,2085,3.03,0.24,257687890,253505000,3992000,271811299
5448241.exe,203327834,6502744,202758358,112813,202201140,113275,439446,15792225,443196043,22036,204587645,16549,4196,1715890230,2079,1.44,0.07,120055870,116897000,2997000,134000765
5450722.exe,204803679,13036707,204937895,230049,205363990,225523,8454626,31657177,1175090309,225049,205035018,12644,8990,3812105651,2085,3.75,0.27,318152545,314990000,3009000,332168764
5515108.exe,205964403,7002410,205116362,423410,205690210,424120,955571,22985927,2337854277,64719,207166279,9512,14176,1726924367,1108,7.06,0.34,632781073,630693000,2002000,647127063
5521134.exe,310110680,13000137,203862348,135316,202616999,135924,7981546,29632164,593511296,208450,308322837,12684,7541,1856577338,2088,1.96,0.18,159687939,157421000,2005000,173799964
5524738.exe,210755095,13177561,205608525,120709,200561255,130081,7746091,29008516,528147492,192893,207383327,11707,5215,1768988136,2088,1.71,0.17,144648859,140347000,4009000,158959479
5527246.exe,204964881,12916843,204266930,138301,204195615,135017,8521701,29878600,555832996,195389,203471327,10232,4970,1829263361,2086,1.8,0.17,150104843,146922000,3018000,164172739
5600824.exe,205201885,6565317,205550934,116160,205623630,123697,585238,15009202,446009122,27611,200975639,21761,9422,1725886717,2085,1.45,0.07,119675980,117352000,2006000,133815252
5602065.exe,209760869,13035475,202940254,140115,200457377,142923,7648703,29450475,529900120,210416,212345702,11358,5040,1786770355,2086,1.72,0.16,142966233,135301000,6964000,156857027
5606233.exe,510953747,27175241,454101885,619450,454333208,622003,32398158,50112636,1959589941,887941,514460574,302551,110318,2371685946,98760,6.28,0.54,528794950,341269000,185602000,543310720
5606463.exe,209424103,13053548,203764489,131641,199547175,140418,8083645,28723739,533636806,196203,208729400,10139,4780,1766576826,2087,1.71,0.17,144538698,138853000,4994000,158704812
5690648.exe,206605279,6578838,104495887,104860,104237550,105309,574168,15006534,355500658,13712,200739829,3080,3214,1221030816,1110,1.18,0.06,94492193,90856000,2995000,108748319
5748937.exe,410895950,6594547,204987624,129290,203710158,131096,754518,16167428,522790079,18759,400169195,3551,3069,1940744630,1112,1.69,0.08,141683734,138168000,2982000,155895355
5770138.exe,203407302,6499865,202434257,109485,201931740,109426,631915,15746254,444269996,22081,204824708,17619,4315,1712990475,2083,1.46,0.07,120095458,115600000,4020000,134041034
5964679.exe,208043533,12964528,202340790,131517,198728518,141635,8219390,29528865,537656250,195690,210700124,10000,5195,1778643156,2087,1.71,0.17,144437489,138756000,4991000,158877177
5976986.exe,206089559,6483550,201447061,99710,201413724,101394,727024,15146761,315148391,11633,205863403,957,1838,1355455505,1110,1.1,0.05,84975337,80474000,3974000,99220319
5979726.exe,208455072,12951593,203220903,129956,198796025,128865,8142987,29456402,549475550,182698,209188032,10757,5104,1665339276,2089,1.78,0.17,148443154,142928000,4997000,162532227
6003108.exe,201892630,6436570,100561553,123162,102081983,122861,538918,15557948,461816242,15586,205910609,1815,3355,1613345376,1106,1.48,0.07,125421190,121956000,2998000,139649360
6110878.exe,210862380,13102476,104374873,140391,103388104,142410,8038214,28582864,527520704,219705,209150373,40842,7401,1583778750,4040,1.71,0.17,142664378,134221000,8013000,156810237
6417521.exe,570715811,28863345,303110073,552798,302165115,551775,27211354,57551792,1846839702,326219,561442050,448195,111101,4253498297,98807,5.8,0.5,498402615,343610000,153825000,512643457
6551688.exe,205017922,6409789,99664319,108362,101037398,106833,573040,15237612,389876782,15382,206576908,2380,3417,1441921475,1111,1.26,0.06,105590478,102191000,3005000,119760726
6835408.exe,210750671,13039175,207085345,138968,204947856,140814,7866242,29018146,558969143,211460,205566048,45872,8429,1873070233,4036,1.81,0.17,151723987,148259000,3005000,166061895
690086.exe,212414695,6752687,106071449,91246,103519094,93216,578630,14037085,267421930,21257,199908004,16895,3048,1053750626,2083,0.92,0.04,72729576,66397000,5946000,86955889
691289.exe,568372847,28252700,300908827,500740,298280054,507461,27275419,55177181,1437737316,317986,574462843,440640,110810,2646462461,99787,4.58,0.42,387987579,230559000,156700000,402203140
694077.exe,207644530,12975208,103602224,145037,104108987,142447,7839471,29380263,601480180,227678,208895342,7601,4892,1658824286,2081,2.03,0.18,163183581,159771000,2995000,177552733
7125391.exe,566825641,28180812,302111216,579692,302719347,578563,27129449,57548070,1876241165,327271,564497321,511220,112159,4428757473,98806,5.83,0.5,506643295,345276000,160663000,520860041
7170748.exe,210138637,13100887,204284167,126906,199837832,135275,7741687,29168073,530489159,192907,208544488,11451,8438,1770352441,2083,1.72,0.17,144239985,138778000,4992000,158537210
7264247.exe,207428306,12902461,104570017,137289,104483609,136739,7994629,28696874,526715004,223859,206228941,44825,7750,1541899799,4040,1.68,0.16,142427657,136060000,6002000,156641861
7356511.exe,207807388,12954353,202383139,145488,200359480,151579,8422536,29344944,610223247,214745,208386029,8432,5401,1756185136,2088,2.1,0.18,165773129,159333000,5975000,179938227
7504661.exe,211046484,13091920,104267328,135491,103397859,137408,7866315,27925665,524671960,220350,209399807,39138,7052,1581490537,4032,1.69,0.16,142443167,136989000,4999000,156425008
7575248.exe,205728112,12943964,104020727,139753,104825269,152877,8546949,28929327,519315483,213570,204173527,8624,5118,1535932009,2089,1.69,0.17,139866450,135520000,3985000,153975532
7793574.exe,207303512,12917127,201589407,132979,198184205,135934,8515539,28765732,532395764,198453,210252519,8777,4360,1777850670,2085,1.72,0.17,143950189,138487000,4981000,157948722
8238023.exe,207746066,12943924,201860081,135333,198185942,136151,8057872,28801382,531120305,198302,210211070,7813,4897,1777760416,2087,1.71,0.17,143978691,140517000,3011000,158118692
8269354.exe,208812221,12962152,201955976,136730,198811320,138376,7825686,29245922,528431092,194023,210238566,8736,4327,1780302148,2090,1.7,0.16,142903475,138570000,3987000,157177073
8509154.exe,573052848,28596099,302288027,505484,300494800,502236,27068156,56599705,1443128357,322137,570659069,326201,270456,2656156798,99788,4.62,0.43,390361000,222949000,166961000,404525656
8617072.exe,578816304,29132268,306743297,488238,302841957,501542,27042280,54538780,1415034146,315282,564032836,482538,109833,2776184633,99785,4.53,0.42,382754093,236213000,146132000,397000315
8629046.exe,209425740,13032626,203645363,132818,199501987,142733,8173409,28687151,535104310,196662,208936972,6758,6560,1767698860,2088,1.72,0.17,144412546,140072000,4002000,158777792
