file,cpu-cycles,instructions,cache-references,cache-misses,branch-instructions,branch-misses,page-faults,branch-loads,branch-load-misses,L1-dcache-loads,L1-dcache-load-misses,L1-dcache-stores,L1-icache-load-misses,LLC-loads,LLC-load-misses,LLC-stores,LLC-store-misses,dTLB-loads,dTLB-load-misses,dTLB-stores,dTLB-store-misses,iTLB-loads,iTLB-load-misses,duration_time,user_time,system_time,perf_time
1402105.exe,392597824,406450814,29027533,3664497,82596028,3306620,6327,86844595,2977107,114473752,7756026,57381014,11442771,1537402,115441,773357,294701,105482024,65680,57745359,25804,183593,76511,138555619,2705000,7215000,183388927
171227.exe,305086525,870070864,27812857,6807444,29541675,123367,4042,29442489,124494,184711334,11691095,98245327,833511,497443,234292,34067,7321,221974780,208145,109172358,15627,2184,3185,83835277,77551000,5965000,98394849
2146464.exe,505655822,1747383094,29162987,7410738,200798516,162350,2088,196179545,166205,200080209,12739291,103109075,1559214,341463,96422,53359,9810,211210227,195018,104992573,25748,1559,3228,137171328,130852000,5993000,151586242
283471.exe,1015909868,1471552645,20818259,1841388,211218532,471740,2188,207981628,381324,405057610,7368897,108754238,4123912,626961,146110,532854,130193,420498776,72088,108724029,8001,61392,41458,256999807,254463000,2003000,271200332
3208130.exe,1952849690,4955711760,32330416,12350093,498967589,582411,97790,497671852,580558,428593881,15619507,186579788,6462655,606240,155075,6701695,6417615,445753105,201088,194050350,585281,396591,110427,531695910,404285000,127089000,546056527
3208532.exe,1411210668,2521848639,53763192,27889538,308425423,510710,99784,310902140,507848,578206035,27874858,206575623,4872473,870012,268211,7145341,6901161,548476341,401370,203154895,1695910,440760,113092,384740073,232659000,151777000,399431982
385049.exe,256625435,941099345,14757740,461846,98928305,116540,2086,95621347,116491,187862797,5945057,98141006,724601,179490,9629,28406,5560,215669853,6870,108229723,578,823,1550,70301224,68104000,2003000,84860587
511442.exe,568414139,1899781669,43263152,11504988,201671417,169794,2083,196214020,173371,221052574,18331527,113446411,1259603,515591,146027,674627,42956,236317478,217208,118599880,210692,2039,3634,154186968,149873000,3996000,168641223
5441244.exe,930104446,3226091143,30571919,8266492,297893712,212451,2087,297427655,237480,298546351,13087698,101537363,2013509,401283,147550,92877,16971,306296007,201444,102610780,23277,2349,5715,251588643,247198000,4003000,265888355
5448241.exe,424209914,1734174491,16110190,629958,197498678,145932,2080,193934907,147515,195208391,6274095,100875552,1027031,194148,16979,45517,7594,211555827,11656,105781909,950,1557,3042,116913452,115588000,1005000,131266131
5524738.exe,513304807,1738715264,29826256,7988717,198545965,161855,2090,196204953,172709,198640779,12564531,102479320,1238942,344236,130589,53661,9960,210555091,195927,104932268,25672,1521,3004,138821859,133403000,4977000,153249859
5602065.exe,505940801,1752496411,29286976,7417581,201120141,156729,2088,196018932,161907,200105844,12723665,102878387,1791905,349640,98632,53380,9753,211637787,197618,104952427,24299,1652,3190,137297948,132975000,3999000,151836728
5690648.exe,330354134,1227274869,14744150,467022,98246579,126147,1112,97700095,127008,192454838,6259943,101437133,688058,167502,5324,34781,5860,210857875,8620,105505114,737,962,2033,89283966,84968000,3998000,103773594
5748937.exe,511582608,1932131221,15565127,723131,197768013,148517,1112,196328981,154159,389696971,6478411,101407197,1129538,207606,15514,51670,8918,413971068,13741,103939140,1204,1880,3664,137525357,134210000,3004000,151959352
5770138.exe,430452509,1745747343,16170383,803376,198778900,131091,2084,194518406,137144,195551246,6211698,100458584,1047729,194385,21315,45896,7732,210987251,13022,105615753,1059,1811,3018,117239372,113889000,2997000,131768448
5979726.exe,527663414,1632587401,29160562,7941740,198446854,153256,2087,197562548,152641,200473138,12749046,102951459,1244635,384348,152308,57542,9652,209605310,177798,104264428,40836,1785,3309,143096779,138793000,3994000,157734868
6551688.exe,377292135,1428197524,15830227,653128,99329662,137744,1109,99406056,133760,196430849,6407074,102031679,805690,177435,14274,60676,7065,207034060,10643,104213212,855,1131,2605,100738454,97247000,3007000,115312033
6835408.exe,541672934,1852807385,29960071,8226437,203249914,155299,4035,199491941,156590,199671861,12285057,101275577,1378228,322450,123619,57162,18390,209854841,210197,105894133,11967,2722,4505,147155895,141795000,5028000,161678825
691289.exe,1418343935,2668128800,54999667,28265518,309124044,508727,99791,307320473,511631,571143822,27277337,304134831,5326279,760366,156632,7880710,7310313,545733013,314375,302164474,1715375,459419,277189,383937714,231755000,151839000,398404704
8238023.exe,509153354,1737153671,29806585,7948225,198635993,151534,2086,196389530,156112,198228534,12555203,102074153,1172464,341066,125628,54516,9822,209659475,193740,104452421,24507,2216,3525,138839241,135515000,3011000,153273218
