file,L1-dcache-load-misses,L1-dcache-loads,L1-dcache-stores,L1-icache-load-misses,LLC-load-misses,LLC-loads,LLC-store-misses,LLC-stores,branch-instructions,branch-load-misses,branch-loads,branch-misses,cache-misses,cache-references,cpu-cycles,dTLB-load-misses,dTLB-loads,dTLB-store-misses,dTLB-stores,page-faults,iTLB-load-misses,iTLB-loads,instructions,duration_time,user_time,system_time,perf_time
1097798.exe,1072550,118992560,58553536,1154342,27615,242377,159853,305047,62815545,777519,64087365,814329,710622,3613325,181322656,15564,110721200,12304,63266750,3006,8708,10233,448341268,66187385,52791000,12948000,125672758
2710332.exe,1663924,279636559,148540759,1553121,33247,185991,108121,163811,186600517,1983293,186203947,2039493,288161,3062148,375728604,25876,274516409,32128,147279166,3120,17431,30884,893946688,101859448,97439000,4018000,115973415
282754.exe,1050503,85541698,42586390,962580,40059,160386,143032,286362,79249977,548225,78118519,604322,407293,2091184,169516506,10580,86051365,8089,45160680,2373,5635,9163,370515341,45698442,40460000,4934000,60104989
2877258.exe,1007540,257896018,137237094,1609928,30951,224615,555481,380681,184195899,528186,186544600,535302,689699,2588083,350439394,12349,301435050,14450,156118371,3413,10792,24214,888992636,94685192,87400000,6952000,108824787
3551732.exe,2900463,113518425,59723345,1382812,49100,243660,150432,242537,97531316,931872,100324569,1043085,792140,2884280,235603786,17119,120218964,24004,66414999,5753,21329,45115,475878428,63942461,54525000,9087000,78192469
3639330.exe,1079043,87675874,46672316,960469,37566,161554,158508,170929,87143290,48211,78204912,449010,511290,2288098,174880751,14268,88421084,11802,47589012,3233,14152,11527,388667641,47015964,43660000,2976000,61227389
3726166.exe,1263778,98356021,54258667,1078246,27297,142531,149698,255014,82847985,63241,81941814,63854,520319,2415837,183540574,17649,104109841,29793,56139995,3447,9956,12637,414442297,49979795,40652000,8923000,64404193
4232119.exe,1515127,83081435,44017124,1208680,39743,174157,203988,384540,85753561,51290,87601650,53914,579403,2338500,183758029,15389,107267211,30142,50539005,4818,16452,27389,393581440,49105618,40840000,7968000,63267101
4736614.exe,1079399,273183303,141845925,1823005,29788,188835,249909,182420,171643248,1456089,179600995,1249454,1276032,4034434,361705290,26698,306019912,20085,161953036,3986,12692,32285,907843639,97848315,91436000,6028000,112051587
5365488.exe,2484358,129063795,69172001,1282156,132358,385117,1139350,963441,93500596,851697,99120790,854228,1674652,4361329,257757396,22601,143467701,24213,77573707,6643,7972,23627,559667371,69761747,60395000,9059000,84062933
5605071.exe,1826272,279866151,147932452,1569444,32757,200724,99700,171522,182252324,2191382,182332032,2243298,286885,2891573,385508877,22267,275213872,19904,148009167,3003,14884,29101,871494499,103795926,95420000,7951000,118178704
5747101.exe,1424145,278655016,153081586,1425538,29441,173458,114865,121357,178156105,2310740,176153110,2328776,549007,3716678,373858716,24593,275636655,21168,150382793,3002,13776,22212,896022018,101380006,94052000,7003000,115895318
5996947.exe,1291154,89668355,42865488,1251179,26769,168259,286941,247687,95173899,80953,89795273,72326,1245632,3318002,191958360,21739,115615207,34414,53764508,4989,5796,23518,415529494,52186433,40894000,10971000,66632535
6811790.exe,1510359,84151557,44236530,1171295,37078,180904,197730,337097,83304869,71134,86281094,64769,600648,2442729,184631822,16211,109181670,30884,51057862,4817,14562,28469,399485121,49637507,42417000,6905000,63966536
6965093.exe,1434354,281205357,147265214,1631646,32620,203418,216476,517149,179520503,1533486,179149677,1759711,1043135,4549514,384365571,27700,295681757,16893,159313703,4756,16058,31192,920104746,103121419,94850000,7987000,117129828
7259642.exe,1489117,284827965,148112246,1661110,31471,198785,303863,399070,180598133,1615148,179909178,1775364,831437,4195552,383879414,27758,296643853,17047,161364890,4752,14995,31640,933412690,103581541,97152000,6009000,117906936
7663838.exe,2893815,295788672,154443468,1938931,52984,203538,180759,302370,215368661,488236,208126752,604812,1204318,4741530,401415552,22813,304392255,20832,165325158,6000,13123,42234,973298570,108421405,95113000,13015000,122838374
7731830.exe,1215459,105824317,56625028,892941,27008,170090,323774,546893,65826867,946278,69489802,1032110,879655,4215557,194125880,22045,109729456,20063,60598410,3356,12234,16277,432813473,52420780,47107000,5011000,66827614
8513722.exe,1436557,254694419,131608879,1270700,36808,153858,78314,93887,178262348,516515,175734814,489924,329393,2022210,320125965,18958,251854033,25976,131094557,2415,11901,16985,782630197,86355867,78027000,8002000,100525369
943025.exe,5214105,121212548,54933597,1322294,84776,284726,264892,316850,104382449,295460,111422944,287590,718032,3176214,251280169,18140,132897542,25441,54350700,5653,13455,20499,418437491,68016528,60635000,6958000,82376673
