file,cpu-cycles,instructions,cache-references,cache-misses,branch-instructions,branch-misses,page-faults,branch-loads,branch-load-misses,L1-dcache-loads,L1-dcache-load-misses,L1-dcache-stores,L1-icache-load-misses,LLC-loads,LLC-load-misses,LLC-stores,LLC-store-misses,dTLB-loads,dTLB-load-misses,dTLB-stores,dTLB-store-misses,iTLB-loads,iTLB-load-misses,user_time,system_time
1374738.exe,256164135,382847478,2173425,281767,71326702,3914975,524,66936508,3915746,84415002,669945,40152103,987031,124248,34557,117514,104772,137811225,9182,53793899,773,3956,2607,66336000,3015000
2951063.exe,230319598,308468949,2682198,422236,69754334,3176605,919,75586400,2884089,111425152,894803,50035199,547256,122771,44720,35525,5573,98576620,6715,36300044,784,2755,2856,59864000,3043000
2961600.exe,223947523,401069451,2707521,381425,81272638,3985853,915,71336019,4514161,88994663,1044833,37465450,532650,97048,32119,32795,5539,127521448,11445,53275866,904,4331,3746,58867000,2029000
3122929.exe,531310845,1246139028,3274951,270791,266962531,3364342,1004,269479807,3399554,433968019,666493,226000335,1419952,161374,36768,150836,66268,433016375,15747,224327073,13120,16343,5848,141483000,3010000
3698143.exe,229259576,314660759,2142471,322489,74368230,3198351,527,80249456,2993298,115265873,569703,51050772,551228,109337,39008,30835,5840,98116089,6285,35259357,857,2508,3073,59692000,2984000
4488347.exe,240762615,331746935,2339448,265818,72060901,3707557,1012,78723275,3154442,115335422,639588,51258312,806969,136690,39207,158756,98691,125691014,10611,44474344,8333,4665,2749,63003000,3000000
4622641.exe,555536872,1155711433,4260816,421770,262301809,3741788,1906,268648512,3424139,439315140,990056,236841951,1902727,199746,41483,120510,209485,382451520,21792,197876776,20745,24797,8287,146502000,5017000
533881.exe,519139803,1230323301,2999890,296568,265426682,3604517,519,267113667,3480816,419822818,708832,218921730,1368657,159126,36842,60659,9785,425842281,13855,222996228,1202,13513,4245,139636000,1994000
552105.exe,240402684,306838438,2187779,305485,70439557,3567526,525,77307610,2936004,114881008,522829,50939483,534881,118544,45269,29987,4778,120033318,6574,41158222,551,3591,3146,60156000,4010000
5722253.exe,785603096,618114394,25629511,6616354,133372237,7091553,5020,134889752,6748086,186352438,10114247,79116186,2595009,4220370,1319264,463061,318800,199744110,846056,78266537,35139,37845,11175,202015000,12000000
5840366.exe,539792929,1192981848,3591472,358922,264720396,3757979,910,265785456,3665218,424464448,949122,226346535,1553120,158956,36303,117811,54573,376170683,20081,201142978,5116,18903,6528,143834000,3995000
5842855.exe,551760749,1172443110,4467348,439943,257994538,3840582,1906,265543963,3753520,428915996,1054554,230799473,1653399,180548,37882,123715,29962,420555311,20434,206634577,21838,20457,8226,143531000,6977000
6024175.exe,222844441,311357657,2172595,323192,76002356,3472320,524,80234829,3212994,114503952,533813,49980434,537639,106724,37756,31137,4600,101490127,6687,37714114,1238,4654,3263,58140000,3007000
6028032.exe,530058519,1246225806,3343238,291202,266721456,3522663,1006,269330569,3549332,433445000,691015,221826548,1428243,169091,35418,141767,15007,433928080,14945,223545933,9032,13878,6240,141375000,1991000
6073943.exe,540634390,1220848060,3549259,424370,262307040,3584667,913,264624974,3494505,425553487,993084,227273054,1222810,150656,33546,66161,11586,379673836,19364,204784658,1780,8848,5438,145497000,2006000
6487463.exe,537727685,1234833269,3432933,452198,262236575,3771287,912,264177704,3678417,421921998,1045561,227486917,1273099,163742,45599,79370,15932,420665930,17536,219636620,1693,8307,5174,139508000,5978000
6818440.exe,518371012,1223390400,2949253,294709,263143388,3559343,520,264907196,3497615,422282919,662158,220375489,1279329,157419,39422,58711,10026,427143398,14769,222304269,1315,17095,4369,139395000,2987000
6890460.exe,245001228,370018616,3321910,672381,71917419,3962873,3089,72438291,3534997,104444628,1397469,50841902,960063,159342,45701,284483,5994,131839258,12254,52138767,16621,11195,4114,64913000,2028000
772253.exe,476666462,455073214,12305627,1863725,96746859,4466221,2674,95237779,4664196,139975707,5036630,58672310,1537193,2652466,432662,309012,189516,162799004,284357,60647914,22640,17169,7032,127272000,2004000
8036296.exe,532624797,1251284900,2990381,246153,271625533,3141078,522,273071861,3264579,425607267,659765,217516435,1513024,156309,35091,97725,35467,434981208,15832,226218467,3291,13817,5056,141661000,2971000
