file,cpu-cycles,instructions,cache-references,cache-misses,branch-instructions,branch-misses,page-faults,branch-loads,branch-load-misses,L1-dcache-loads,L1-dcache-load-misses,L1-dcache-stores,L1-icache-load-misses,LLC-loads,LLC-load-misses,LLC-stores,LLC-store-misses,dTLB-loads,dTLB-load-misses,dTLB-stores,dTLB-store-misses,iTLB-loads,iTLB-load-misses,user_time,system_time
1402105.exe,364884637,418995780,24125168,2362985,84354791,3371918,6243,76501599,3270875,104004568,8868103,50430795,11254296,2390200,242041,741392,425583,98238237,56181,56352817,32215,162302,50393,2101000,9455000
171227.exe,317985629,880113722,28630026,6966423,30019678,133244,4043,30362162,127817,188015397,11459945,97013213,1042549,495947,209799,38111,6392,221133952,206582,111032434,20110,2003,3006,78380000,7034000
2146464.exe,510867625,1757824035,30272000,7416186,201123038,155576,2087,197754243,167333,199346853,12647344,102606339,2001686,339001,101615,56430,9182,212440922,198385,105707583,23769,2045,3151,132018000,6000000
283471.exe,951195271,1397537344,21802612,3100252,215977983,580266,2812,211538778,563551,414577902,7854916,115296009,6431562,713729,108860,262895,116319,435127984,82365,118545805,13489,72657,43142,227591000,2994000
3208130.exe,1659148614,4076687090,31384700,12425088,398442166,537795,97792,397307927,526091,339766264,15688851,191217132,6455677,532003,145704,6708270,6479175,345005702,208321,191731484,503992,400777,108858,313880000,134948000
3208532.exe,1382841831,2600502482,55296767,28544002,311085439,536682,99785,309058316,539578,568350579,28212109,205873850,6403107,889342,269291,6925873,6706858,565077129,394029,206432486,1789876,402818,109889,211321000,161245000
385049.exe,108235091,360471369,13433439,388818,25852062,79128,2087,25667145,71876,50188031,5801314,27129080,402973,296113,12061,13995,2533,58453044,2822,30107425,259,451,697,27193000,3021000
511442.exe,624797926,1428341818,39481223,11881344,31919030,183750,2085,32572551,183434,81580266,19031616,40899244,1556381,727451,186252,686232,63955,81691075,222773,40971232,204028,3605,5656,162745000,5990000
5441244.exe,931542930,3224544157,30646707,8341504,297422106,217320,2086,298462852,245522,299045508,13148814,101759590,2153042,409821,165483,103372,16553,306713485,198340,102671453,24527,3233,5522,247560000,4991000
5448241.exe,430532596,1754503721,15412949,433089,200001124,163390,2080,200458208,314832,217898299,7386471,121383016,4202129,602802,48639,311479,12146,224355985,14631,110464105,1197,19474,5068,110950000,4997000
5524738.exe,516913634,1742833723,29063891,8049575,199016333,153251,2090,197392690,151764,198984877,12540376,101858949,1281911,342777,151806,55219,9074,209952498,192843,104411786,24841,1614,3307,133772000,5989000
5602065.exe,511561020,1753738277,29243957,7889001,201051965,153642,2089,197660022,164561,200482083,12722571,103291544,1838730,355869,118729,54754,9044,212289572,197982,105527960,24149,1669,3207,133619000,4985000
5690648.exe,430996367,1215312224,15121647,569288,100865237,136290,1114,100747796,142609,197413922,6452524,102039093,1043987,196803,13039,52121,8378,207912808,10512,104143403,1033,1559,2692,112891000,3996000
5748937.exe,509107901,1933590012,15553857,527975,198743307,147977,1113,197353454,168268,390898104,6548304,102515703,1309503,234733,32479,55162,8951,414503793,12090,104011454,1159,1531,3152,134157000,3003000
5770138.exe,537126712,1731334848,15793062,729212,199522991,152583,2084,196863309,151752,199136465,6370298,101826887,1275206,205521,16203,80435,16870,205249972,17001,103523437,1540,2741,4501,139649000,5984000
5979726.exe,534237313,1648434916,29490864,7865164,199935581,150991,2090,196276258,153103,199377711,12568629,101912212,1222880,366015,141676,77711,11952,206669131,177499,104089303,38806,2372,3796,138684000,5943000
6551688.exe,465769539,1378035754,15398806,699330,28599216,143699,1113,28439967,142166,173780360,6476524,27183691,1038406,192610,11553,51456,8706,182322194,15425,27199701,1339,2261,3909,122761000,2994000
6835408.exe,541969798,1847370511,29701100,8060858,202398641,160795,4036,198937943,164401,199124684,12355508,101723733,1430452,327874,114736,60372,11827,209873661,208152,105978857,12002,2843,4602,142618000,4986000
691289.exe,1524107942,2657047580,56383624,27870149,308123648,573271,99789,307277283,584627,572135663,27875986,305569433,6631862,839375,157850,7741072,7081202,571166902,321839,302303574,1821701,409716,111535,257649000,154789000
8238023.exe,505763569,1549957740,30140910,8140901,102961745,163357,2088,101471828,162990,198546891,12456802,101153685,1332829,339689,133055,54255,8957,209291039,200647,104443863,17526,1486,3201,132188000,4005000
