file,cpu-cycles,instructions,cache-references,cache-misses,branch-instructions,branch-misses,page-faults,branch-loads,branch-load-misses,L1-dcache-loads,L1-dcache-load-misses,L1-dcache-stores,L1-icache-load-misses,LLC-loads,LLC-load-misses,LLC-stores,LLC-store-misses,dTLB-loads,dTLB-load-misses,dTLB-stores,dTLB-store-misses,iTLB-loads,iTLB-load-misses,user_time,system_time
1950459.exe,278031595,594268864,2591737,259893,122080196,2838289,521,124212785,2542833,191840609,648185,113725651,992425,109229,21931,106017,32790,254160610,9775,119490949,934,9410,4000,91440000,4019000
279056.exe,120012799,188633248,1765576,212428,36336141,2147952,525,34179971,2259327,47032624,516632,24151938,383240,56898,20635,72360,51506,94728994,4646,37868568,4290,4080,2561,33317000,1009000
346612.exe,534123180,751815001,12794477,1576085,160995142,2963637,2897,160119264,2928924,245191039,5522980,122152760,1827493,2708787,382312,335233,292469,262078418,147570,128259760,33105,22921,8859,137382000,7019000
3654061.exe,21045415,31645860,1187215,175181,9116497,412562,413,9362990,432314,12271624,843356,4888022,195299,311624,3596,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,8930000,1984000
4104687.exe,268158229,578203327,1921698,233030,113340571,2740712,523,116358834,2622049,187383917,486305,111894126,747989,92383,23095,36202,6354,259182426,7529,123199542,684,8206,3190,71908000,1997000
4227908.exe,246392867,515063241,3563992,265076,118875823,735276,607,126439897,496571,215748057,266242,123356839,581888,70265,17817,29465,11872,213292618,7891,101431983,4257,10833,3533,62816000,3988000
4459631.exe,128460710,210122539,2542215,436286,35694001,2117410,918,34015631,2197399,46089580,972289,24420322,306706,62657,18474,24798,7999,77919768,9586,33960135,1054,2864,3357,34237000,2013000
4606651.exe,249695034,536528675,3550626,270385,113939379,906557,607,121355670,661530,206249798,599722,123519321,580169,72284,19126,28638,4588,236082110,7277,111342119,3247,11153,3565,65175000,2005000
4983117.exe,271764172,571638022,1916658,185502,116785369,2800626,521,119457197,2647064,191661722,484515,110292714,875416,95491,23499,70855,38060,260513466,7957,120531050,2688,8813,3555,71952000,1998000
5356631.exe,35438227,36651089,1220945,179697,9320563,408811,416,9438363,425573,12441456,836592,4983187,199043,321123,3190,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,8752000,1945000
5461966.exe,275877916,595225744,2521810,269333,121254915,2877928,1037,125543580,2694143,196640846,598225,112442527,869374,95461,21024,66291,6632,264798840,8625,129357366,12505,11551,5793,73840000,1011000
5595238.exe,272069397,584694964,2373023,295987,120248061,2838268,525,122886117,2572232,191406503,583803,114903797,690359,87479,22060,34566,5567,259726930,8378,121673318,846,6046,4331,73853000,0
5672584.exe,278360526,607870190,2521073,265406,122407151,2590736,1037,123994126,2468192,194952525,570470,110591055,908451,94389,20731,69017,6944,266337874,8640,135591678,9864,14780,4625,72193000,4010000
5673322.exe,284580241,629364575,2479069,272125,124022910,2532989,1038,121247762,2502305,191793599,602419,110048768,862463,92024,21743,69829,6111,267102033,8114,139645750,3105,14150,4869,74363000,2009000
5811285.exe,136611612,242282035,2507301,340251,47852934,1462066,1945,43581777,1769482,52103682,1150115,23456677,473348,84175,18992,71556,72845,56393975,15500,31723683,27143,17701,16249,31587000,4935000
5914445.exe,247585014,537345425,3687823,281418,113955378,919569,605,121230419,671453,205996026,608424,123626818,585960,73830,19728,30559,4700,237265814,7176,111784411,3247,11574,2193,67392000,0
7457995.exe,281938513,600614838,2574727,312401,122304405,2563941,1036,126419226,2437206,199063748,523123,111242243,891592,94666,21951,67166,5772,265070838,8368,129502581,13518,12238,5182,74995000,999000
7590448.exe,522461062,439327015,17260505,5568722,98603342,2523424,6042,99160149,2599677,107893442,7246707,63501038,2516694,3217324,851636,556228,397322,105817475,660397,60267360,39421,25593,15108,128925000,11993000
7957547.exe,278970858,599685291,2457188,260713,121613734,2580505,1037,125028898,2446880,198341735,529943,110493274,869642,93485,20911,66837,6206,265097106,8163,132049757,13129,13315,5097,74277000,2007000
844240.exe,277576466,586554916,2228877,236988,120313021,2583599,521,123067901,2408404,192945933,583345,112939305,708763,88287,21611,33638,7861,261303848,8705,120978101,735,11065,2584,74369000,0
