file,cpu-cycles,instructions,cache-references,cache-misses,branch-instructions,branch-misses,page-faults,branch-loads,branch-load-misses,L1-dcache-loads,L1-dcache-load-misses,L1-dcache-stores,L1-icache-load-misses,LLC-loads,LLC-load-misses,LLC-stores,LLC-store-misses,dTLB-loads,dTLB-load-misses,dTLB-stores,dTLB-store-misses,iTLB-loads,iTLB-load-misses,user_time,system_time
1489349.exe,506619925,211724291,2437125,131739,57571259,6802108,128,56984324,6720042,14477628,315721,1879307,1434003,87482,5534,64140,10628,11883805,14977,677395,1431,2715,4488,155772000,1997000
1599310.exe,295363474,345447829,1736198,146270,68345741,6959025,134,68141726,6971700,24870441,212103,6017681,646483,41876,2528,31345,5882,24697446,10925,6007488,939,2449,2843,78894000,1997000
1643497.exe,593651785,933756884,2519206,148737,198095989,985549,136,197159051,1000896,225880915,338831,134405394,1280519,89061,5527,61913,10393,232361925,14355,135997437,1364,2781,3948,160247000,0
2350693.exe,595839169,361809013,2600259,152900,72419537,7202276,140,72180639,7163040,49440197,312837,6233186,1286588,88564,5704,61833,12486,48172425,16008,6111989,1422,2609,4819,161598000,0
2490708.exe,514582758,169484658,2382088,154092,47311093,6609464,139,47118023,6606706,17863480,305251,3665026,1221030,91742,9331,54489,8990,14761253,12889,2690303,1143,1714,3414,139088000,0
2827190.exe,477746781,257840351,2395542,180188,58852055,6640680,129,59189864,6706702,14214239,262858,557853,1034995,63311,4175,51236,8421,11674949,11423,574594,1048,1530,4038,127176000,2980000
3316605.exe,817733737,240601477,3556216,203282,58174561,6896647,134,58255968,6950421,15339112,389824,1316393,1808211,115556,8683,85060,14460,11974339,21327,1026848,1925,3183,5377,223528000,0
3933685.exe,24404643,37569276,1300927,191214,5569808,71569,134,5467547,57680,11331322,91071,8889060,105665,12378,797,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,10516000,956000
4253487.exe,336201375,396533087,2327460,478622,73325964,6721190,2178,69689774,7094263,20581461,505028,4536125,954003,55168,5830,163936,135262,15377038,12670,2659274,10540,11555,6314,88065000,3002000
4537272.exe,525217773,210801648,2491337,190725,56354325,6246809,135,56323906,6245941,14375478,287416,1576398,1208019,92218,13361,54909,9092,11443523,12403,771270,1331,2796,4583,141404000,0
4977530.exe,523239209,160513636,2391566,161595,47885317,7019080,135,47783340,7065624,18759747,484598,3502381,1340356,130192,18800,56313,9154,11600732,12492,592284,1194,1788,3563,142495000,0
5312206.exe,556437327,297240665,2685852,176333,56514889,6644381,136,56861039,6700985,14461883,263045,776663,1218459,76396,4846,61668,10376,11689859,13724,643914,1271,2493,4224,151317000,1002000
5899769.exe,508339390,157113990,2281324,150186,47233532,6309136,135,47100365,6299051,15767638,339753,1903609,1203567,89954,12066,52674,8943,11509301,12095,545100,1143,1705,3279,137394000,0
5943722.exe,507461302,217423915,2359126,151155,48167771,6797060,135,48178833,6810778,14560295,253695,972405,1192461,84449,5135,54079,8869,11407782,12219,560074,1097,2116,3666,135877000,991000
6130154.exe,534969482,215603680,2415835,148311,58794215,8328420,134,58832529,8354720,14178072,258755,696559,1152734,72532,6427,70974,9653,11538182,12840,672988,1185,1515,3653,143896000,999000
7079101.exe,488252844,207952308,2483845,200004,57637600,6813022,136,57837933,6877036,14742548,259872,732462,1074525,69653,4336,53160,8780,11556595,11922,557817,1084,1679,3097,131847000,998000
7283440.exe,510143389,160491513,2262552,141224,46988176,6194652,136,46933995,6164654,14520255,291279,919123,1153735,82634,7099,53453,9319,11505848,12434,563597,1139,1884,3147,137403000,0
7584647.exe,535092317,218268263,2326760,156383,58615675,6906031,133,58696888,6920269,14129117,256948,736495,1086058,72143,4789,66687,11308,12984427,16415,1116965,1583,3037,4804,144659000,997000
8028684.exe,20525278,35894719,1513461,211456,5743725,85773,133,5493647,70642,9596945,97016,7562285,110884,10704,762,38646,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,10923000,993000
8516128.exe,26940594,45745244,1500184,220775,4508095,80910,137,3988961,64705,8488942,100364,7061340,110611,6694,755,29464,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,12383000,0
