file,L1-dcache-load-misses,L1-dcache-loads,L1-dcache-stores,L1-icache-load-misses,LLC-load-misses,LLC-loads,LLC-store-misses,LLC-stores,branch-instructions,branch-load-misses,branch-loads,branch-misses,cache-misses,cache-references,cpu-cycles,dTLB-load-misses,dTLB-loads,dTLB-store-misses,dTLB-stores,page-faults,iTLB-load-misses,iTLB-loads,instructions,duration_time,user_time,system_time,perf_time
1578565.exe,12640734,244332410,92849361,2287704,110214,6141610,372262,799154,128240232,4207230,130071388,4250835,625630,30351350,622864946,25890,224083463,17252,85254181,3261,8659,28550,764067514,199454938,185691000,12909000,268166570
2649544.exe,9749192,223325083,82326160,1661880,113356,1400912,215287,337568,131520700,3748975,128917858,3900938,352700,9322003,572983899,20625,180463362,24616,64271315,2871,12032,30937,707776012,154725995,152412000,2005000,169125571
2700229.exe,8071102,503918626,243757451,2359956,50595,1660884,208399,367047,344785564,3316688,331058129,3897420,382959,10723993,880469955,29557,493642444,17581,237143710,2861,10520,26154,1487646474,237623075,233307000,4005000,252145869
2882080.exe,7408041,180541779,77339740,1829049,86207,1376758,223720,355393,159429049,2174898,161755529,3002777,494906,9405748,549774378,19751,186014060,12649,82243956,2868,6979,21239,715701352,152760373,144469000,7970000,167252577
2892760.exe,8016223,163494999,66506898,1659173,54555,1688531,130674,330771,172873649,2795844,176905922,2430013,928119,10028410,544870231,29752,199794445,22176,81788776,2868,11297,28020,664906974,146365927,140847000,5030000,160859627
2952391.exe,4337464,435034755,225492294,1787397,42831,2701977,87077,223346,313428122,1869268,303795444,2641756,386218,9857479,669255479,20195,439688542,6727,223338404,1381,5340,27272,1290899477,178093000,175681000,1996000,192516838
3052100.exe,8839016,486490583,234189246,2317583,98251,2006949,252650,393709,344259216,3064223,344077312,3083379,402296,10158260,900053446,27842,508778972,19851,234522718,2864,9869,44829,1443644144,243080871,238730000,3995000,257537033
3432659.exe,3667730,137529553,50517778,1593658,38070,1489120,64101,234431,121346449,2146654,123543518,2031958,316479,8686199,361606135,16650,178298346,13374,61555027,1873,4613,12433,469590033,97832923,87557000,9949000,112059796
3513191.exe,13887073,534698750,252187374,3516968,640412,4359381,354608,579810,338328908,3680402,338794049,3733049,2754656,21531831,1094027897,334505,552238834,38181,264620780,4817,23801,60616,1616750720,296579467,290251000,6005000,310948616
3686555.exe,12813058,173678106,59403051,1614586,36455,1474191,198434,388777,151680192,2300388,150283911,2281064,428330,9758472,551464643,23669,217189249,20770,73917564,2869,9797,23785,600660953,148649449,142342000,5972000,162940310
3754416.exe,12944558,181243209,62576512,1683558,63290,1393081,101882,323993,152324533,2916437,150956975,2742620,426812,9412859,559413014,20753,218276274,21217,74220510,2868,10328,21112,625237551,151331189,142944000,7996000,165437367
4878682.exe,4132774,143226536,63062332,1389479,37420,1523964,88655,209213,144274750,3147901,145606360,2976137,239339,8467742,388189544,35871,169328802,16033,77120057,2018,25648,34301,626544743,101646265,96352000,5018000,115970294
5266960.exe,4967800,457641477,223131780,2388296,51042,1669885,72028,277106,330726940,4319537,328706256,4177069,287593,9394865,735370700,25175,491393358,28604,230461679,2771,13858,33393,1354661493,198170526,191827000,5994000,212354278
5400133.exe,4117226,147847113,54616353,1204062,35715,1619708,49639,149951,123998970,3075434,124733679,2916529,212257,8524996,381243132,13932,179397498,7635,64354892,1387,5353,12143,518677818,103392423,99108000,4004000,117764288
5755609.exe,3788098,148414501,56823825,1314121,32181,1516485,77188,210789,119413714,3128995,120587483,3009140,189601,8229856,375355598,18564,181920292,12190,67688011,1875,5934,15828,518595097,101884381,94587000,6969000,116414462
5794115.exe,3992980,140734332,51797987,1497835,42442,1668111,56352,392096,159598937,3758077,159500489,3713838,259566,7804691,414165816,13194,176338891,6676,68210763,1778,4177,13427,610015188,114069513,108718000,5033000,128407252
596008.exe,13239129,182504314,64683548,1895501,57412,1461505,242278,358979,154475970,2171723,153716401,2185549,477020,9429068,557894353,21178,222103752,20413,77479909,3261,7765,16178,630879941,150584674,140239000,10017000,164962904
5976780.exe,13760104,196544797,72703419,1692149,98338,1384743,106836,250288,167975955,3427112,167086337,3053112,485238,9469540,571492636,20295,221585916,23072,75399367,3259,7494,21411,664178405,154510140,147201000,7009000,168754833
6521284.exe,13558680,197192522,70786905,1943934,87932,1364011,104657,239932,160211452,3382796,160210512,3020720,456051,9708850,563391900,20253,226838117,22348,77284924,3259,7776,18630,662181474,152390415,146011000,6000000,167019626
8519892.exe,13102250,188060563,63771774,1811406,86849,1349165,108836,241694,157795010,3817866,157594320,3313370,457005,9415927,565665842,20204,219678318,22068,72989963,2869,7758,24071,664116454,152716978,148332000,3982000,167062735
