file,L1-dcache-load-misses,L1-dcache-loads,L1-dcache-stores,L1-icache-load-misses,LLC-load-misses,LLC-loads,LLC-store-misses,LLC-stores,branch-instructions,branch-load-misses,branch-loads,branch-misses,cache-misses,cache-references,cpu-cycles,dTLB-load-misses,dTLB-loads,dTLB-store-misses,dTLB-stores,page-faults,iTLB-load-misses,iTLB-loads,instructions,duration_time,user_time,system_time,perf_time
1051839.exe,4098401,105358952,52191418,1239441,169029,1283483,233457,600157,71258461,487294,72524013,493421,915185,6799255,210402474,43770,106069707,15495,51752100,1867,4241,11567,364147918,86925811,77508000,8943000,137877126
1252905.exe,2365477,107352990,51175296,1140967,136754,963092,236761,472859,78628777,433569,74376724,458946,1715096,7755963,211407346,57660,102001575,24315,52412481,3375,6647,13781,377225098,56934657,48669000,7946000,71226790
1764918.exe,3839306,112574884,54143493,1124981,173072,1307311,368225,765644,70741257,527204,71272635,596579,1191203,7846539,240488053,66757,98865434,15318,47809236,3333,2964,8804,380337839,64897782,56422000,8060000,78935033
2418910.exe,4406137,97293996,56663143,1184591,157036,1266261,172843,553913,93375875,537454,88724803,569554,1131689,7929276,240697883,65668,85899769,16511,51385751,2614,3657,11745,398166674,64956233,57582000,6949000,79103274
286469.exe,2255844,100111317,48444828,1092209,133528,950082,228654,502554,73712297,428589,73161554,461807,1552777,7549702,205579001,48513,104328097,27886,52738180,2441,5323,12564,362048637,55059815,46750000,7957000,69527092
3097002.exe,2411660,109218114,51906583,1087044,140420,1023136,247992,480102,78928713,440745,76782348,564378,1574208,10727740,211140704,60528,99669355,33106,51203561,2446,5440,15023,372316138,57204660,48888000,7981000,71663641
384742.exe,3827762,97696167,56912716,1215426,154207,1298823,172360,516420,95519696,519280,89561185,557496,1056219,7900072,240151677,77843,84344828,12613,50374478,2536,4528,10197,394927896,64734616,58453000,5944000,79021060
4119306.exe,1924647,100449138,47779874,910693,94314,962677,116501,236855,76200055,436389,76413596,446681,828438,6548493,190191102,14364,106341645,9200,52034478,1891,2879,8838,355200424,51074546,50348000,0,65110154
4982865.exe,2391828,106582970,50661685,1120395,133425,1015468,234790,449774,78598406,444245,76113416,599955,1545819,10878250,212908202,62739,100328753,34280,51010168,2454,5804,14962,371565210,57308004,49989000,6998000,71453167
5251261.exe,1902190,97526356,45946458,1105938,100540,958609,96482,263586,78004719,424967,78509364,445392,680323,6221113,188896712,17306,107802984,10636,51761597,1845,2859,8529,351420208,50407750,45127000,5014000,64611125
5546172.exe,3504322,110901821,54469652,1183993,146675,1168892,276455,430095,70137747,575547,69747959,663763,1127307,8238650,233812607,67407,95365008,10453,49498281,2440,3814,8901,370424104,63261155,53949000,8991000,77583927
5717238.exe,1975477,100119353,47019603,910180,107534,1047026,102748,284857,74525957,410265,75552849,432784,549834,5440112,182978358,16264,107010128,10357,51592723,1853,3828,8568,350414472,49364775,45044000,4003000,63673147
5804700.exe,2296818,102166683,48488595,1098985,133661,971314,236043,451913,75895740,437655,74555195,459131,1461488,7449293,202393913,47386,102872372,26472,52027039,2439,5024,13507,362259290,54735383,51432000,3025000,69003344
6399800.exe,2461420,295869522,153997181,1574191,126001,1080437,128161,394429,200183770,873211,199260738,868650,619650,6409780,400012967,26222,313854725,14709,163172016,1889,5926,26093,903231921,107836906,99535000,7962000,122026675
6676911.exe,1930632,99465073,46916423,933917,106744,998995,94046,244104,74191973,402694,75359959,427549,736659,6200941,185607290,15479,106501121,9688,51029271,1896,2810,6951,348365875,50770873,44367000,6050000,64999676
6962765.exe,1955454,99910275,47233554,913970,106598,957302,126621,228980,74740146,409162,75573365,432406,785923,6352361,185138336,14764,106037666,9679,51268373,1941,2514,9081,351095554,50877623,47502000,3032000,65114480
778856.exe,2618547,112724363,54771506,1123327,123551,1122659,233221,400687,65317256,617315,64771408,768263,1378409,9259611,222332626,61090,100745489,8752,51872696,2400,4247,10298,397790831,59989783,52854000,6851000,74343929
7873464.exe,3894756,316952273,165968554,2042118,211120,1314267,294669,992265,196653546,1454991,196535795,1577071,1354784,10926091,479836244,86983,312991173,12923,165151178,3142,6785,22252,977412481,129995737,125675000,3958000,144357401
8420004.exe,2483471,296730390,154861020,1590431,113305,1049618,118050,370822,198786337,848305,198635950,855436,496658,6329216,397741350,29314,314502294,15960,163564822,1841,6109,22826,905260901,107403858,103073000,4002000,121740137
885892.exe,4546886,99641358,48338543,1277170,466640,2718637,229872,486057,92734295,529300,87639671,560248,2122713,9417384,275169289,165678,105165525,53753,52402446,4419,8466,27939,349943932,74612989,69171000,5012000,88931861
