file,L1-dcache-load-misses,L1-dcache-loads,L1-dcache-stores,L1-icache-load-misses,LLC-load-misses,LLC-loads,LLC-store-misses,LLC-stores,branch-instructions,branch-load-misses,branch-loads,branch-misses,cache-misses,cache-references,cpu-cycles,dTLB-load-misses,dTLB-loads,dTLB-store-misses,dTLB-stores,page-faults,iTLB-load-misses,iTLB-loads,instructions,duration_time,user_time,system_time,perf_time
145020.exe,8533264,149792714,74986878,2708473,1779603,3532199,641289,1761862,139494114,818181,141505987,795208,6817012,16482628,625944504,841136,183409516,94356,93721768,8144,23612,48608,572405989,198221202,170808000,26969000,272374218
2209419.exe,9873928,165659424,89199909,2752470,2112870,3988607,1504309,2173322,148763995,682015,153628042,733026,9393831,21426538,685967446,1174218,207682207,257511,104100068,12588,13228,58456,595788105,185885468,166588000,18953000,200225061
2536350.exe,6653060,207052546,105880656,2874112,1294378,2865690,1069607,1062749,107580845,1036916,112736524,1175885,8732361,17854342,591853589,856077,203239959,61123,117771706,9358,14639,58614,777955456,160286341,140958000,18994000,174603277
2547962.exe,6330746,136336101,68076350,1997699,1108470,3044180,158376,229740,135004747,754402,134419902,761170,5251004,15165694,557177279,800918,163991955,13740,72967985,3654,6244,15687,492333373,150139001,145759000,4020000,164472576
3902259.exe,10930328,366889927,195259237,3396548,1777421,3837946,1290163,1801764,264603223,1728018,267571124,1549219,9485000,21983614,904318945,983323,415687646,177852,219906724,8335,126433,57175,1178785570,242878787,221491000,20951000,256998903
3969157.exe,17383245,382835937,209666927,4389299,3723756,5818677,1063617,1921453,311165242,1174733,308175337,1162030,15371982,31146312,1269403683,1288280,414863995,288387,207216800,11211,538064,88737,1166269815,343816853,326492000,17025000,358034937
4245198.exe,9108638,159295371,77069384,2543634,1745236,3424067,1266886,1586112,123197593,1031128,128841163,997865,10525949,19315892,640076835,994420,194140856,394054,96023976,7946,97017,34661,600264600,177566693,162222000,15020000,191977611
438014.exe,8716600,375115744,206432087,3162321,1927889,5178498,389440,1059344,246550287,1728957,249858332,1576869,9396301,24555663,927288023,1042063,406918453,36417,223240900,5692,25643,52335,1225979448,251079706,239760000,10989000,265297625
4757111.exe,5394837,186809512,101427962,2387915,986291,2411974,471408,857790,108593811,1003479,107805161,985209,7689490,19573850,527719269,883687,150524267,170856,85259113,7013,39671,34134,641301147,142664027,126163000,16020000,157069044
4873112.exe,6869744,166634289,87600479,1943257,1345034,2675281,531426,1643882,118373954,787947,114434973,794455,9118781,22005542,619941923,1104181,141874923,276967,66397607,4826,8988,12463,547706362,167016262,159710000,6987000,181287636
5401467.exe,6901027,166199880,86549576,1912801,1465145,3015042,716725,1524191,116735098,828015,112050541,820895,9174715,22156133,621831067,1139438,141277318,194884,66880941,4436,12924,22431,535979151,168459379,159135000,9007000,182784811
5682441.exe,11601569,301187750,152918007,3011157,2222515,6680497,1107222,608120,178616252,1944897,187307504,1718440,11382310,35792128,1071829008,1438154,304454280,115006,163494067,6952,59656,30499,1041699688,289042233,277784000,10991000,303093870
5949121.exe,6885444,191126989,99545310,2749919,1254735,2761885,882534,1541317,125815212,1215105,134955578,1040876,7573574,16557192,581859289,756117,208032244,278433,112811605,9162,13619,50777,720699684,157147004,136012000,20848000,171474469
6306969.exe,8039601,317923772,168981514,4464664,1429889,2817289,1124425,1559393,236556175,1896554,225043454,2101614,10491496,26865356,1684858442,1431462,306034277,141815,155257533,7846,1348086,1602971,1085720828,455666398,321247000,134103000,469973661
6925989.exe,6012220,374260030,203791614,2861790,1356860,3456167,471003,956557,244609875,1370612,252902474,1223679,7539758,18112762,766538997,647564,413007831,62155,223976473,6621,18397,58075,1235621177,207136999,191748000,14980000,221355091
7241259.exe,6487485,184066018,99889002,2192770,1229903,2596464,693091,1477617,106952834,1238828,106169200,1306205,9694637,21309578,613051551,952535,148816314,179455,82708968,5778,39737,32237,619082677,165171906,153757000,10982000,179280300
7382941.exe,8759634,153070567,73630470,2975159,1776238,3200755,878599,1603894,141654834,910215,140106863,874980,7751441,18794444,643731265,881090,189250211,68221,89907251,8148,103287,41994,578813995,174868256,159525000,14955000,189131894
7511176.exe,7027821,180201070,97748623,2385538,1177614,2664870,552750,1095685,112318889,1271782,111725982,1118793,9575269,22821762,615083461,917871,147974513,53060,79385329,6582,160828,36397,612278880,165798969,149557000,15952000,179778785
8157367.exe,11111806,148249591,76050948,2760329,2276771,4450613,2351481,3131187,127432977,859893,132261808,1198715,13005378,25568486,729370023,1396555,171404427,460219,82737052,8145,63551,29449,523552550,196970697,183557000,13039000,211425005
8686515.exe,8486217,155345698,81468495,2585965,1437841,2717340,730888,1817917,136277345,876662,131417631,1109379,8853042,20184570,630247048,882901,160039919,66968,75732872,7364,81734,42890,515780092,171085309,158617000,12046000,185197140
