file,L1-dcache-load-misses,L1-dcache-loads,L1-dcache-stores,L1-icache-load-misses,LLC-load-misses,LLC-loads,LLC-store-misses,LLC-stores,branch-instructions,branch-load-misses,branch-loads,branch-misses,cache-misses,cache-references,cpu-cycles,dTLB-load-misses,dTLB-loads,dTLB-store-misses,dTLB-stores,page-faults,iTLB-load-misses,iTLB-loads,instructions,duration_time,user_time,system_time,perf_time
1070657.exe,12796068,205386613,103408863,1538507,155966,363484,468684,151155,213510766,88866,212648700,96290,8514773,29958899,556918437,204494,202127492,10446,100386479,2083,4365,2315,1813485978,149996771,145379000,3983000,203877034
1096416.exe,12827886,206369100,105093952,1761441,99561,364913,907967,1453468,209734245,97351,212815573,97694,8097981,30279105,550375003,202140,201477171,10672,100334582,2085,4208,2637,1819498268,147664453,141318000,6013000,162054991
1293444.exe,6721771,208929976,103811271,1424643,24979,237964,8693,55092,203891136,84158,199805262,82583,423273,14635543,476305896,12034,201324129,921,102753575,1106,3777,2249,1883267996,128550095,126236000,2003000,142902832
1458177.exe,13339686,213099058,106442639,1366817,134595,407337,315097,71054,107824725,118047,108167272,107275,7955968,28678581,516768126,199687,198774107,10141,99702096,2090,3073,1671,1452839255,139572411,136088000,3001000,153870597
1562200.exe,13368610,212457460,106702243,1608157,101690,374080,913926,1502786,106402991,97907,107625301,92630,7696655,29048366,510404515,196203,199502939,15036,99914369,2087,3013,1363,1668517177,138000191,131631000,5983000,152372853
1623325.exe,28464995,582600599,309915965,5402291,165752,775608,6991710,7452541,303987800,465730,301799382,469624,28357619,54816583,1436056316,313847,567603829,1667306,307494184,99785,113293,733114,2694121050,389043445,228374000,160262000,403001122
1626177.exe,6845985,213640415,105985222,1470316,14472,218294,10543,43991,209648656,89026,198003252,81707,98766,14484672,435429958,12611,198161794,970,104040055,1105,2553,1025,1835401246,117897060,115555000,2009000,132021539
1628906.exe,12916162,206306281,103813758,1634558,132014,371783,425190,95209,214373360,99359,214699035,96871,8540299,30750125,579712747,202733,203050068,12013,100906619,2083,3546,1898,1925563287,156315518,151925000,4024000,170641478
1759010.exe,6698603,208750659,104171514,1710515,15747,235783,10008,94723,194400871,113908,198334362,112144,322638,15555423,549615707,14112,208784582,1379,105473574,1111,4123,2365,1780394940,147933170,143463000,3985000,162192009
2014050.exe,13068797,210212922,105867066,1436987,134184,359865,255300,55784,215547441,84452,216025618,87518,8254367,29313745,532991240,189961,199014086,20543,99178088,2084,4398,1802,1742638844,144709448,141410000,3008000,158928619
2134955.exe,29050346,580835141,309040948,5511244,166194,760294,7001077,7463472,302930864,454238,302700578,458998,27759248,54952532,1434308390,318157,568603314,1782615,306729600,99783,112609,408439,2692205295,387302995,242953000,143972000,401527262
2199340.exe,6905536,57215260,28791472,829959,15683,271795,268880,184558,35715739,33765,33614427,32189,161017,13212026,150893753,4266,54871748,327,27189958,2087,1926,1395,357615553,40246109,37876000,2047000,54473266
2230392.exe,6602681,208246256,104289198,1496999,17701,245320,242943,134313,105329971,90895,105473460,89230,401809,15445771,550212906,14098,200154541,1419,100029488,2079,4252,2512,1429947121,148411598,145099000,3002000,162735274
2231894.exe,13059362,309784649,103825617,1717406,129343,372229,337782,67203,323493556,103667,319826129,105506,8595687,30252458,658669736,206313,301826077,6180,100866385,2089,3848,1710,2356362879,177929151,172622000,4989000,192362995
2233044.exe,52554014,566939188,232509555,3237689,884480,1703123,7712066,12137733,303357454,243984,303995577,241988,44738520,90481793,1371821795,624448,550454472,441751,228763311,7941,15245,39045,3641231916,368866119,357530000,11016000,383153312
2258515.exe,12882368,204677246,103545480,1746338,100157,350920,1022678,1508729,106471065,120323,106644602,113111,7985447,30378051,597656606,212470,203516077,3580,101559045,2086,3655,1966,1618285326,162823048,159504000,3009000,176993677
2378596.exe,12748075,203735115,102724137,1549603,130070,380933,373548,441587,201619314,108715,204748112,104071,8067343,29469362,560896528,212477,208964821,11238,102605075,4037,5110,2570,1818991181,151156373,144841000,5993000,165307957
244450.exe,6697563,207860792,103602118,1024554,19259,208698,140314,39121,207457775,60242,203037572,59490,422651,14911053,342721990,8467,208480684,751,106756408,2084,2053,982,1495314305,92450280,88109000,3959000,106866559
2481720.exe,26415191,409361712,331867467,17135608,170876,473520,17210372,17517336,337503913,500698,346754907,500469,31976366,45488014,1392861463,741940,421213587,533110,333422792,98766,107611,493027,2654631820,375904923,178748000,196723000,390140360
2514076.exe,12776620,204617636,103155447,1598968,148197,381785,387790,449135,201213322,108939,206508348,103158,8508239,29554216,561474658,209730,207928043,11473,102250709,4039,4219,2733,1818403518,151838135,145407000,5975000,166233278
2677173.exe,28038959,575860789,304959828,5404510,157815,780575,7069282,7439026,297971595,457316,300301547,458205,27551998,54954065,1426761842,323285,570584939,1757139,306533079,99790,111242,431995,2906040305,386069137,229782000,155852000,400106289
2685596.exe,12790151,205162415,103488371,1583539,167604,371170,377385,438803,200274097,100876,206046651,100219,8604970,29388687,561004128,208976,207703772,11250,102292636,4039,3782,2429,1818070085,151920015,146619000,4987000,166133036
2697990.exe,28364430,581608792,308301580,5333418,135746,743419,7028216,7537448,302059235,472147,300611508,469619,27111936,55119007,1434245466,321638,567576548,1740429,306693844,99785,113079,441961,2693956578,388008370,250435000,137238000,402228091
2734446.exe,20893557,410132247,333739419,18151639,163921,480958,6820602,7162455,348466545,519284,346885022,519212,26537083,41745347,1584338197,744876,409327452,520941,333916587,98764,133119,524593,3686072382,433372338,243023000,190018000,447545613
2820444.exe,6483496,103360500,28757311,945022,19309,206937,4303,22156,31995932,33668,33435878,33250,320004,14275112,180963094,4478,106386730,406,27630806,1108,1056,607,358858940,48577335,45239000,3015000,62798642
3205915.exe,14465319,336335504,288038560,4476173,132898,492057,6488604,6728187,301747440,324294,301108870,332764,12613938,26960349,1041668593,217853,339084447,643891,288447997,98765,107671,463910,1967857319,280394858,130584000,149524000,294758200
3216342.exe,6763670,208973352,102272828,953133,15940,195817,5181,30058,206179392,47633,210524863,61398,98539,14897855,283726625,8887,212718310,802,106362256,1107,1669,680,1297563299,77071593,73770000,2990000,91367170
3617839.exe,13297048,211744411,106457385,1684491,101763,362614,912511,1495702,107313736,110385,108239833,107603,8100503,29949813,515081629,207975,200097053,3676,100254090,2080,2985,1779,1568886583,138409835,132051000,6002000,152333558
3736295.exe,13056405,203858587,102320737,1588166,130213,357868,377484,428204,201807671,112112,203873889,107891,8565536,30056679,614568776,220200,209441491,6958,103758180,4041,5475,2684,1845783007,166411978,158139000,7956000,180728200
3738660.exe,12907598,204601179,203869243,1802261,132434,373721,538472,234899,104953313,129382,104622883,122986,8880999,31205697,703522057,212927,204165899,5929,201266834,2094,5519,3033,2020067867,189106786,184758000,3994000,203571794
3739170.exe,6776186,211520733,105252683,1371005,17744,232198,12212,59188,213753684,84529,204168450,99595,275533,14756270,524428970,15232,193572086,1366,99804495,1109,3528,1936,1984467247,141839338,138555000,2990000,155890514
3741569.exe,12835255,205711012,104633365,1746440,97031,364342,1005388,1512004,209351248,93476,212190909,102236,8252396,30272291,550965786,198252,201470363,17545,100215267,2086,4224,2245,1812792985,148328180,142981000,4999000,162457824
3855515.exe,7012756,215389594,105509799,851950,17162,191697,245227,124616,101011269,67122,95428839,62337,613537,14935653,265967366,6850,210368176,604,111693321,2086,1644,860,1002767750,72249476,69932000,1998000,86497813
3900305.exe,20676274,514071255,234945378,17222866,163845,468754,6977472,7514410,557849727,504358,557224622,512572,27537418,41928784,1509292827,797122,505557767,532964,230528991,98762,110763,501431,3607518429,407305000,215993000,190994000,421595858
3927955.exe,13538761,214281932,106965576,1704329,99967,367453,998505,1464999,196673622,86400,194333283,101968,7503261,28431970,527467321,189902,204115964,22893,105361426,2087,3756,1810,1820265372,142180440,137856000,4025000,156042962
416586.exe,14389483,340406777,189758822,5130655,138616,539328,6566032,6714825,303687450,356459,303786397,378036,12858756,28176309,1267217906,224402,338242131,630847,187097062,98767,109077,290463,2674896287,341984221,189793000,151834000,356143018
4228710.exe,13092511,206295880,103053343,1437275,104270,436528,240073,650529,105635129,104315,108866478,100282,8316479,29478252,533635433,224925,222173340,16195,108250798,4136,4895,1662,1562578050,144120638,135717000,7983000,158332841
4285324.exe,28516955,575635500,306675619,7108765,157093,856170,7065916,7519765,301586181,562204,298910598,568028,27138117,57105215,2106512082,338007,560510153,1729292,303605069,99788,276826,460513,5333820074,568197835,410940000,156977000,582408461
4292026.exe,12847631,394829320,101973676,4213881,81639,495772,786950,1318086,304043818,46669789,323296997,46685494,10812221,36456273,1882378673,153174,430047849,103792,104149384,3068,11724,5907,1441730785,508234308,501926000,5999000,522336952
4421941.exe,12893151,205340129,103390368,1823724,128296,371255,363769,439218,202409583,127889,202958941,122152,8275547,30311074,708047127,221139,208049269,1912,103623393,4035,5273,2632,1842304360,190937877,184625000,5987000,205443938
4448176.exe,12801049,202780220,102337589,1522712,132052,384599,384640,429012,201281741,109978,204101723,103838,8237157,29850671,558933703,212188,209178793,11963,102741455,4037,4258,2589,1825681637,150804092,142406000,7966000,165202316
4602054.exe,6817512,212397151,105504432,1481243,19192,217785,8006,47819,216571239,93349,203271721,88856,464394,15564295,442291182,14126,197613285,1061,103414356,1104,3179,1839,1837514117,118963022,116642000,2011000,133201035
4673593.exe,12990299,208113665,105789793,1405248,109295,361115,508312,222630,212257004,91529,214246325,105171,8302966,30267966,531336643,184725,199115666,27795,99000256,2089,4157,1812,1724808719,142810603,137406000,5014000,157290244
4703799.exe,12842060,205734830,104961553,1428639,126609,401626,473173,159711,209609023,90005,212175912,89082,8124119,30328521,542517900,176177,200248226,36121,99752970,2089,4296,2765,1614970350,146743672,143436000,3009000,161126881
4832111.exe,28741105,578334966,309403400,5549993,184897,824253,6953132,7447741,302263332,445378,300778561,449362,26880967,55965229,1439215940,326806,569879112,1793856,305504647,99786,262310,415459,2677245540,388692632,232624000,155748000,403127356
4873850.exe,13028985,203155959,101430645,2134936,122968,399742,491625,435819,202432173,204371,203194429,192329,8766407,31458601,926461620,226336,210762160,5281,105506280,4042,5495,2756,2787823194,250298553,243914000,5997000,264732085
4879484.exe,20778079,516181794,231568505,18160396,176538,528145,7114680,7460270,537709880,531279,542364289,527217,26229235,41817299,1626984636,787251,512961974,420664,235876980,98761,171344,486893,3639517643,439076366,244862000,193891000,453314020
5069904.exe,14938062,541496140,289425109,6378728,166246,634388,6704720,6982569,395644977,433810,398818521,435324,13291790,29981688,1728423861,231838,547025615,641217,293001022,98766,109240,476240,4396731500,466076294,314825000,150916000,480444060
5118663.exe,13032557,209965218,105846422,1501733,143602,366416,306200,56579,214952843,87306,215706529,89222,8390774,30110528,534834507,192079,198977481,19324,99173073,2086,4416,1892,1737581705,144220807,140906000,2998000,158479691
5191445.exe,38816757,261383753,131012756,3206781,560803,1319111,1088835,2058659,205007029,266830,208969140,254738,38347266,83392952,1446599785,436394,247363620,389045,125479860,4041,9579,5498,4057244927,390198666,381869000,7997000,404723805
5208903.exe,28025226,683983223,206320092,6254947,174909,840453,7036106,7509350,398851089,475096,400944060,480769,26568550,56651969,1531796288,330816,671626921,1765070,206754665,99788,273151,457550,3436690195,412557852,277077000,135037000,426959963
5445938.exe,12723528,204113851,102905445,1521614,107071,365441,393624,440599,200954264,104838,204674168,102953,7803940,30070112,554486601,209631,207291528,11528,102057255,4037,4340,2696,1820307307,149362523,142044000,7002000,163521388
5450722.exe,12994976,204640085,102332453,2682592,110478,432438,298738,119187,209566479,210383,208578078,199637,8258340,32993891,1172241326,225299,207375914,3793,103779962,2083,7680,3444,3870325048,316715084,312369000,3991000,331044222
5515108.exe,7005798,207582135,105057237,4784200,37165,508488,60766,259312,204239933,375532,204479123,378542,844706,22565549,2339692013,62947,206410057,5567,103799108,1108,15885,6682,1728567009,630101781,626518000,2997000,644375892
5521134.exe,12853790,304439632,102825188,1552008,137328,357975,494096,213724,208394013,123251,210521257,113971,8453228,30746085,596650186,206955,304391542,9717,101508558,2088,3576,2148,1817067461,161416435,156093000,5003000,175781135
5527246.exe,13341689,211781581,105531142,1534093,129029,362957,299444,59156,195443385,87121,196815276,86708,7844458,28693884,552952024,194055,207309014,21591,105264304,2087,4533,2128,1900953098,149322602,145005000,4000000,163517910
5600824.exe,6848495,213644908,105649208,1220347,16143,215212,195179,310483,192671482,120442,194340454,120579,1126220,15759228,452089997,18112,208037039,1169,106935260,2085,2628,1475,1847580261,120644454,116262000,3974000,134966537
5605416.exe,13223435,310601245,105637831,2960438,118321,475144,369493,221407,202199862,250824,201701101,229519,8386460,32615593,1230089651,222201,304214895,3649,102863396,2090,8548,3454,4009667356,332459097,329040000,3000000,346691528
5606233.exe,23489419,533149666,242223682,19478992,283025,681385,15815494,15994635,432416995,594447,429827382,589518,34560750,51398636,1953763899,879977,501231255,537963,236384908,98760,112629,510926,2461816153,530698942,329576000,200742000,545162860
5606463.exe,13054394,208578963,106005133,1415157,110551,361420,550152,244976,211718163,96729,214045927,112524,8588710,30255158,532059384,188870,199775482,23189,99340190,2088,3388,1829,1726793691,142900705,138262000,4007000,157271594
5964679.exe,13179191,211935192,105660506,1414740,138453,361932,135047,61497,216515578,91400,215555469,93832,8488126,29042809,532139256,188352,197505355,20237,98901644,2087,3865,1883,1750993795,144225561,141918000,1998000,158587118
5976986.exe,6636031,205012550,100577546,1050571,25519,213093,8890,33696,196343659,52392,202197987,56930,847390,15226791,316707571,8281,211365094,737,106363616,1110,2947,1792,1386127543,85205464,82904000,1997000,99606415
6003108.exe,6741607,208844700,104423324,1291831,24018,223899,11378,59698,102466579,87050,99929083,81283,911017,15400965,467282063,13511,197596008,1250,101794731,1105,4634,2583,1682205060,125418977,124084000,1000000,139695564
6110878.exe,12870967,207345799,105381008,1483792,121945,373014,370970,412071,104808744,114786,106322485,106919,8668455,29747278,522780482,213060,202638610,4189,101014332,4041,3964,2008,1526183846,141333070,135987000,4999000,155528525
