file,L1-dcache-load-misses,L1-dcache-loads,L1-dcache-stores,L1-icache-load-misses,LLC-load-misses,LLC-loads,LLC-store-misses,LLC-stores,branch-instructions,branch-load-misses,branch-loads,branch-misses,cache-misses,cache-references,cpu-cycles,dTLB-load-misses,dTLB-loads,dTLB-store-misses,dTLB-stores,page-faults,iTLB-load-misses,iTLB-loads,instructions,duration_time,user_time,system_time,perf_time
1315752.exe,175934,835477,1028547,464846,10935,51808,8489,11546,10604880,21670,11417159,19048,15003,285351,16396093,2699,10791836,334,3693686,131,2425,3252,31038151,13079016,10134000,2026000,81142202
1571671.exe,334393,10983740,6622904,692842,15342,123376,245535,346626,9824155,24272,10386699,22410,340516,842826,52861435,8159,31304855,24063,5080899,4142,5356,2045,123859687,14276774,6933000,6933000,28214133
1992683.exe,176665,331728002,2401057,1372435,15056,113759,9269,54826,505739234,586997,505776135,603119,35491,1969180,536242673,14982,335848363,1382,917601,144,4346,2328,2352694450,144657046,144369000,0,158824619
2696383.exe,224328,498273133,2537670,1670185,15492,134175,15979,78848,669005926,620009,669849334,627186,58967,2503895,704180694,19813,502230718,1887,1137233,139,6112,3173,3347668386,189825844,189458000,0,203928491
2706187.exe,90021,3441466,2227518,226984,4960,26245,1795,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,137,<not counted>,<not counted>,<not counted>,4836848,4567000,0,19081406
344718.exe,546969,836629710,7143691,3900843,27199,277829,30504,178851,1672304324,2420791,1671951753,2438380,108892,6074650,1776532036,43705,837763551,4182,5229443,136,11199,6542,7506128540,479297989,478013000,1000000,493731054
3594696.exe,64563,1707505,1847142,213787,4981,23710,730,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,133,<not counted>,<not counted>,<not counted>,4218109,2961000,987000,18490251
4301671.exe,207708,339505554,9186120,1470721,16369,118704,10211,57342,512100057,735702,511512333,745822,26280,1942067,551627305,13906,346098070,1406,8144668,139,4183,3029,2208402393,149062664,147858000,999000,163424013
4303820.exe,356374,11948697,6890978,715629,15709,118151,250833,348611,9724473,20312,10282296,18937,347887,808093,51789571,7841,30705067,23208,4877447,4141,4922,2296,114866367,14148533,3950000,9875000,28327312
4663650.exe,307135,336834422,4286244,2115089,17732,158151,15230,95963,505469747,622158,505258417,622128,66167,3005550,879869449,21355,340863669,2160,2351792,133,6508,3289,2351607474,236939461,235656000,998000,251176867
5032811.exe,728624,22308609,10113905,698289,23666,88713,616788,376849,11146230,31602,11528591,29400,237682,1012392,72562400,7498,25522197,25790,12314909,4201,9679,10374,77067705,19228464,13263000,5684000,33741400
5108067.exe,278386,332006730,2692407,1799421,23323,164817,35809,164801,508932983,679758,508927482,678172,93304,3294797,719837531,22817,336589840,1956,1353798,146,5911,2885,1345306792,191310741,189915000,999000,205664934
5372423.exe,87172,3098867,1741494,181887,4326,23609,1799,<not counted>,<not counted>,5300,112545,5740,2499,52422,2622495,1252,373373,<not counted>,<not counted>,136,<not counted>,<not counted>,<not counted>,4284535,2015000,2015000,18117485
5624865.exe,206674,7253317,4769112,515304,11297,55589,194682,228305,9389993,16947,16216991,24209,139056,584978,40323654,4673,36669448,609,3196476,2140,<not counted>,<not counted>,<not counted>,10643871,5639000,4699000,24849177
5804862.exe,124257,4091972,1899816,205520,5748,25920,2231,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,135,<not counted>,<not counted>,<not counted>,4905784,3665000,916000,19093841
6470436.exe,180162,6720543,3174770,405925,10065,37705,627,3784,5072647,10111,5271500,18182,17055,274323,37452525,3441,12426367,1127,<not counted>,131,<not counted>,<not counted>,<not counted>,9806813,7621000,1905000,23983510
6627581.exe,87375,3087946,1798704,195404,4657,24876,2982,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,154,<not counted>,<not counted>,<not counted>,4357589,2052000,2052000,18484860
713282.exe,206650,331350046,2451168,1462899,15687,119027,11290,69230,501713592,574628,503864476,563026,42839,2060572,594142517,13896,338165124,1324,638908,138,3762,1206,2528852475,160160475,158799000,998000,174314305
835034.exe,312174,333436592,3005498,2149772,19053,163394,17734,90644,504087650,617868,503615985,619637,38787,2979852,876173951,21468,336704884,2020,1251726,143,6551,3898,2349130021,237575662,234224000,2990000,251854952
907195.exe,2041078,83564814,12664306,554369,17421,103204,274485,719731,13013264,36014,13088302,47035,545173,2543582,92063985,8929,74670006,10105,1420711,3135,545,298,297555970,25016424,19550000,5144000,39328905
