file,L1-dcache-load-misses,L1-dcache-loads,L1-dcache-stores,L1-icache-load-misses,LLC-load-misses,LLC-loads,LLC-store-misses,LLC-stores,branch-instructions,branch-load-misses,branch-loads,branch-misses,cache-misses,cache-references,cpu-cycles,dTLB-load-misses,dTLB-loads,dTLB-store-misses,dTLB-stores,page-faults,iTLB-load-misses,iTLB-loads,instructions,duration_time,user_time,system_time,perf_time
1009412.exe,223968,78633548,41026252,820235,49092,167637,452123,471362,25714686,50980,31225156,49459,532599,1712064,83929904,11496,70430270,4458,39015677,1959,2472,3617,267342487,46695643,41044000,5005000,94873052
1055671.exe,950117,137008967,76376875,973820,15573,95072,128709,164852,108612421,63672,101623362,63053,1157257,2884408,195345247,25208,145398376,16345,83302117,3484,4005,17674,487834773,53251457,48935000,3994000,67707596
1064013.exe,477296,117824855,61457126,855786,53072,181553,300427,105001,79387618,38740,79307295,35769,439614,1710259,160809401,11519,127658338,5434,70482810,2606,2116,7403,398557966,43420253,40105000,3007000,57794933
1163493.exe,519950,116367397,61181648,898841,61152,200821,74012,101698,75677492,44381,78291677,41619,516021,1752059,162044078,10717,128509217,5512,71009612,2604,2972,10079,402324341,43857187,36612000,6926000,58260163
1449114.exe,1079852,138605498,76262125,1348305,17226,104144,119680,163133,112098321,61766,102670762,60827,1060832,2725311,196799714,27276,141502706,17780,84462954,3482,4528,22069,483781264,53693883,44188000,9038000,68115408
1472098.exe,1068287,70012114,42217656,974923,27542,100206,131100,139381,74514049,57503,74411296,50066,660803,2002788,136030302,20261,93042010,17279,46290770,3554,5153,21620,300584562,37245674,29862000,6967000,51502036
1488692.exe,486034,74396075,38417277,534968,57901,155610,114533,178305,43234157,28685,42715330,30168,164700,818532,94163776,11088,68905642,16502,40313553,2543,2653,10659,263170117,25054586,22644000,2058000,39313406
1523561.exe,417685,81726426,39056253,804797,47401,153156,72873,124127,45415532,28768,45420723,28100,106206,691114,94163857,10415,77653572,11268,41395455,1958,1801,5450,292545489,25094047,18748000,5920000,39372127
1581847.exe,469524,77055465,39106060,777139,48429,149733,246212,95725,45250096,28998,46630668,30716,197031,828373,94211491,10414,72533925,11059,42557572,2152,2269,5171,282493768,25176523,21926000,2989000,39407678
1677942.exe,393221,116675446,59949638,816938,40615,180997,40612,68250,74477259,45477,77103839,40042,187911,1136107,154989958,5691,126666028,3038,68793996,2048,2076,8611,391344552,41763838,36478000,4929000,56039723
1696369.exe,1549305,68842133,44150937,936273,35664,142661,152037,186692,68022952,33591,68038051,30874,877102,2155018,130616545,17906,84878512,23749,44304348,4135,6434,27980,276715812,36088065,31805000,3975000,50575500
1890375.exe,3118453,116382657,66673375,1233524,341867,309475,825173,825772,96064981,66089,94942224,64312,975925,1978481,243379435,20047,141640349,77734,76166093,12499,14398,56034,434991148,65331155,45997000,18998000,79839055
1930790.exe,424787,115896301,60256243,843673,60091,191023,300158,229589,74286409,40441,77069878,42409,248626,1257882,158226069,9400,127194487,3190,69962624,2245,2101,8888,393132098,42086165,40690000,1017000,56449938
2014155.exe,1083583,70916812,40841903,972498,28247,113237,246805,177098,71814438,34744,72419884,35647,349625,1799904,140754633,17374,98108631,24508,50125736,4821,6069,24877,322644186,37823752,27635000,9869000,52214806
212989.exe,466447,76455059,40343440,497354,50592,136953,218156,142686,41480399,33583,44025358,31023,205631,920613,94671918,12119,71358113,14265,40225198,2605,1970,2464,274909992,25338456,18029000,7011000,39700525
2209249.exe,385161,75983703,36254618,549895,34519,125974,56769,96256,44829587,27046,43500799,26413,102728,752696,90881376,11977,69996224,9176,40829307,2152,4417,13153,273568390,24436625,20097000,4019000,38737062
2218845.exe,482706,113313564,59502620,845014,56448,198207,181317,356099,69242530,44178,73837894,38376,421016,1628002,161581041,7148,125956195,6263,69294096,2596,2364,9032,388822182,43473373,38145000,5019000,57841904
2288631.exe,986012,68513448,41491422,911949,30859,117963,123196,151331,70794250,33134,70270632,32784,621824,2034557,131966219,14647,91185657,19388,47434043,3878,5308,25349,295857934,35709986,28306000,7076000,49795643
2302763.exe,345785,76822525,36717664,571062,44596,151207,80487,66945,43661130,25903,44687437,25014,104127,667053,90642277,9420,72208164,6820,41278137,1958,1168,1234,280529528,24389499,22000000,2000000,38586663
2311858.exe,434900,76936633,37831951,578684,45928,151074,79528,74103,43235930,31294,44697695,29067,114564,676048,90074626,10574,70833363,9685,40946652,1958,1864,5631,271136813,24183055,19031000,4757000,38502532
2427666.exe,814889,71825705,44434213,877516,25870,110672,138174,193919,69137183,37449,69068100,35642,684368,2156505,134984604,15806,91690769,29245,46901185,4138,7142,28645,295594082,36307573,25993000,9997000,50476307
2552501.exe,495382,117300102,61139959,866119,53488,186783,247564,362145,69539978,39647,73926684,35402,483200,1748026,159329506,10378,127923778,6071,70308932,2598,2589,10892,396263643,42966425,36684000,5948000,57284694
2653264.exe,774466,70962048,39884524,515121,45536,131769,61180,135797,48518372,31024,47621620,29801,129661,736401,101148021,11532,61101623,37295,39124180,2931,6270,30809,254884834,26827053,19636000,6872000,40967552
2787179.exe,455988,79232829,38111764,573001,40689,122576,75028,121139,44587670,24293,44991432,24022,103808,657170,91415774,10324,75961106,6407,43707516,2153,1149,964,289269259,24743215,21407000,3058000,38995746
301119.exe,440783,75543670,39259331,514834,35864,126821,87504,73182,42667087,32767,43987012,32460,142974,732828,89184506,10430,68873269,10589,40130308,1960,2078,3758,270032731,24627207,21171000,3024000,38881675
306775.exe,395019,114946273,59456146,850287,50066,212796,35229,44594,77639692,38709,78348757,35480,76525,777341,156381311,5919,124044104,2948,67226938,1951,2349,8764,384763684,42068943,38701000,3055000,56458439
3068084.exe,475630,66466124,42471403,633250,18638,62946,36727,52566,63518011,41735,59871742,36914,261151,1192734,113543682,9388,73597672,8253,53241028,1955,2833,6164,288033871,30553737,28256000,2018000,44947319
3075283.exe,545301,64493030,43529586,679771,16364,65990,42840,45780,62885881,41888,60079591,39322,302127,1250810,115080781,9747,75806223,10068,56267107,1954,2869,10795,296776119,31075880,27692000,3076000,45185053
3088906.exe,1166930,76747911,39610326,1060188,28691,155364,280156,160438,70394950,222539,70222470,223601,408216,1364121,146793333,11409,103139759,13630,52881998,4138,27490,22368,325943928,39506782,33103000,6018000,53729500
3356312.exe,1093891,66618111,40403894,1024273,32391,110992,137159,204220,70678323,34763,69976525,34220,501774,1914318,138548113,17436,94689659,25485,50174578,4529,6163,27871,316540687,37435149,30056000,7013000,51611453
3403339.exe,468461,76424975,39973634,501990,51982,142889,225777,145635,42459829,32000,44911251,29909,201485,894085,94646809,13831,73047522,13356,40861400,2606,1842,2398,277607490,25458165,22106000,3014000,39702258
3562054.exe,1179824,52949473,40923619,968372,32698,119903,241479,16596,77726980,24094,77417832,25836,423440,1629182,131549928,14388,95809467,15049,45769617,3685,6518,42830,269084835,35188874,27843000,6960000,49499060
3717985.exe,1983256,159862817,88146587,1349669,251782,417484,792315,929741,93624002,74249,93497621,70819,1238136,2367912,250501331,22759,137888625,72987,88544147,9539,11189,47973,559377180,67158370,48864000,17950000,81405967
3737250.exe,434771,114337866,58678652,886279,55806,219183,43885,56287,79383530,37656,79640850,39040,94079,811315,154451431,6167,125007565,4041,67939587,2145,2404,8956,382426391,41475409,39145000,2007000,55784056
3777153.exe,648779,70274500,38046847,560832,17656,69664,82561,117903,39129546,71662,42524991,57958,529662,1638940,102092682,9377,69668928,26021,38221069,2605,3859,11581,256193919,28023736,21909000,5715000,42426311
4033327.exe,428281,116064012,60108674,855461,59633,191685,45038,52232,75386574,35352,78226810,32718,239730,1189530,157557536,6517,129135832,3207,70452065,2146,2196,7428,396118343,42477265,36078000,6013000,56829550
4045462.exe,573631,78590926,41455977,517897,43916,136458,91242,182128,43680787,26197,43691477,26540,156563,840440,95691642,13533,68991121,23775,41579718,2606,2798,9587,267129204,25938898,20706000,4930000,40327104
4115161.exe,673079,147417980,81629626,835878,15242,85098,735866,767524,74913405,59907,71783893,73844,2103178,3672957,200723245,40272,113242807,65521,74015910,7420,29443,32070,463602029,54114275,42061000,11738000,68488182
4240010.exe,1186016,71842497,42650906,1071398,37040,120242,473045,232220,70846626,36956,70595355,34155,458769,1840838,138278907,17304,95604194,18784,48700487,4528,6567,25228,312937036,37328923,29951000,6988000,51776109
4254596.exe,750884,136681796,75034289,968237,16621,97414,139021,165493,105374053,66712,101849114,61663,1125664,3194745,193582380,28715,142678411,17956,81814769,3679,5240,21911,475699801,52417361,49086000,3005000,66563757
441794.exe,789147,72306762,44610308,910657,21566,99420,172476,168326,68757850,33303,69089338,32710,780911,2159425,132635207,18215,88441306,26351,44464738,4135,10596,28933,285987200,35754062,28350000,7087000,50023002
4469483.exe,424524,77233918,39563142,775425,45584,149977,76522,126207,46483430,27783,46778581,27128,111138,700688,95137766,10392,68780783,11897,39653176,1957,1714,3657,286578526,25885476,20702000,4929000,40290187
4484848.exe,435054,115886926,60231165,872875,64359,193551,38679,44824,78116450,36964,79761524,37760,216633,1129449,157723940,6210,128357609,3117,70176091,2147,2183,7471,394780456,42242579,38940000,2995000,56408562
4513979.exe,355489,120316531,59362484,1211114,50961,199618,241872,134179,78084856,33299,80196292,31446,223029,1253223,158501076,5486,131882528,418,71262267,2145,1654,5558,405554996,42558835,36161000,6026000,56725028
472510.exe,410900,74038448,40002868,504647,34032,102749,88604,77750,43294728,32919,44839114,30370,126951,772658,91067388,8004,69181148,12404,39272498,1958,5685,5851,271684413,26601637,24222000,2018000,40915445
5110838.exe,1410646,141146910,77985399,1080874,20843,116841,741990,615709,96077524,56997,103112317,58744,1226804,3245223,206142543,21268,151656084,32071,81392061,4716,12523,28868,484458917,55613337,44193000,11048000,70001151
