file,L1-dcache-load-misses,L1-dcache-loads,branch-instructions,branch-load-misses,branch-loads,branch-misses,cache-misses,cache-references,cpu-cycles,dTLB-load-misses,dTLB-loads,page-faults,iTLB-load-misses,iTLB-loads,instructions
6768052.exe,66084456,426470382,197290670,1087512,196139595,1082798,4371422,85218191,739655957,549055,443387390,23576,59758,147756,1686787928
7041402.exe,6707770,137114569,62444536,960734,62295920,952657,4176797,6855207,341397141,53492,132831153,20589,28297,188084,499347436
7070629.exe,8522662,82068139,43820233,891652,43953896,891603,13374,671024,173708585,4483,86243313,157,1085,508,365158865
7124868.exe,6841557,259303173,111681561,128325,108580661,128017,4131123,7128158,377420482,76989,236688680,20591,29767,172009,835012772
7152042.exe,39681215,1138447646,441997919,2371301,435815737,2356778,9441258,47212651,1467412804,812297,1108690276,41146,59175,213893,3304590188
725118.exe,3820780,160083129,89789306,4465054,90306816,4284717,2898612,7064782,461062839,57991,162155170,23389,62261,82686,619675798
7490618.exe,2949923,81663230,44104256,898033,44010503,898479,19119,633183,165322299,4180,86356463,143,1120,527,367584701
7602362.exe,4639209,141228637,101394367,4623864,100251597,4303636,3539110,6635862,442522290,143956,148626325,20543,23921,65112,556307016
775515.exe,12609268,238899746,144641407,190077,141520664,190417,7258770,11844775,547545432,108146,206836413,40996,152115,306063,903499799
7822027.exe,12320438,171232872,79493308,989053,79432417,990827,7807161,11981614,500201497,101506,156411305,40997,51144,205737,608299786
7878524.exe,21497282,831764431,330580375,2141649,329784040,2153164,4770976,25383532,1013470648,679231,800833067,20665,77834,163143,2649510129
8016630.exe,6819804,230308305,101496427,890202,101976683,904389,4065425,7088763,356504431,58305,211344522,20588,35436,175478,640099732
8041280.exe,3543740,156592677,108691569,108262,108704690,114074,2192647,6431806,387474713,52980,160572283,23390,24938,96113,870115183
806143.exe,9141961,218190942,131283426,205550,145384442,209909,11901026,15360779,561798715,300722,228671729,40943,123753,204201,917986177
8099008.exe,27813702,966499779,420131715,2280556,416283476,2256142,5892158,32420758,1291138573,846211,937381525,20700,37003,193559,3112635824
8238269.exe,12903869,148015513,67645272,198534,64163867,191736,7755866,12582913,519612093,109521,136360296,40997,53127,321513,584681048
845954.exe,10396391,712532497,342866974,2195221,341086747,2234428,4753687,14643966,1094145431,97948,711570185,24735,78012,119168,2462283970
8576790.exe,113047719,861582385,358549206,387496,363348568,381654,9467671,180059714,1592209321,10063792,859255785,49269,243603,193298,2934777538
8619941.exe,11134737,238416349,171084943,862233,171066601,881003,14003668,21069509,608688175,299065,200526611,40943,133443,217918,1080196368
916026.exe,4576836,143517008,94447964,3305873,94709252,3334808,3926653,6253756,406832833,130629,152548742,20537,64160,62822,575117564
