file,L1-dcache-load-misses,L1-dcache-loads,branch-instructions,branch-load-misses,branch-loads,branch-misses,cache-misses,cache-references,cpu-cycles,dTLB-load-misses,dTLB-loads,page-faults,iTLB-load-misses,iTLB-loads,instructions
1086590.exe,6759728,312181220,197446956,107618,196197649,97549,74706,12606154,318663699,12492,300755566,232,2526,1447,1479227699
1251351.exe,28018677,656322865,295706878,453749,296031445,440286,18311676,52261437,1328833692,299598,627714054,98338,353966,876781,2090775556
1573990.exe,27878256,656299397,294801913,409452,294600906,409241,18338434,52561717,1324258305,299514,625909282,98331,327955,666734,2191612163
1678927.exe,6169551,371246197,221513233,106849,220566609,105540,43106,13053987,538645806,16171,373764307,240,4748,2754,1456697745
1712113.exe,15275591,438322182,300548131,346136,299132138,348065,8141622,28062394,1011213426,129987,438577917,97894,302667,400513,1976295662
1727347.exe,28146342,634158744,306652595,389769,306564820,387266,18519041,53511862,1189671243,291706,624396051,98331,334238,699268,2009025432
1822881.exe,27622948,758836138,434978296,545154,443265517,548758,21542617,41871108,1482942468,794000,755559472,97889,299929,346986,3106819215
1850469.exe,6310852,192076663,103981860,41172,103902424,39455,12010,12238912,218236449,7342,204270718,324,2513,1811,919319880
2233911.exe,28638450,599197958,538939395,484650,558252187,484051,21187374,43261479,1352556900,641091,640239804,97885,303021,296521,2990347811
2372143.exe,6662177,306998528,202343923,98059,201575635,103612,39351,14400855,419353735,14899,302824498,231,3142,1927,1244318297
2379673.exe,21065360,523264090,344798543,486934,344634659,478769,17686164,38190395,1199938700,647400,502116319,97889,300417,471871,2328967688
2467040.exe,28434710,506804779,333892621,476488,349081334,478002,21796495,43166956,1283846766,678049,536466100,97890,297656,477185,2538297818
2526872.exe,50624879,297841621,206705872,70290,207341730,78714,81764,93738039,392771372,9861,309170858,527,4039,2228,1127499502
2559658.exe,25439174,492476235,206826799,98953,207298613,90285,90355,54992271,394411350,10606,516520939,726,3640,1993,1631718132
2595156.exe,20844550,818122101,642918947,544273,643058675,544781,18009236,41621082,1685594831,665543,800681289,97890,305049,391058,3609019771
2630421.exe,28077311,637493445,310574474,450542,304551945,437085,18696196,53669047,1336509389,301952,629932990,99217,461283,675324,2155856269
2703189.exe,27557502,638768673,306623788,384419,305978709,381236,18651057,52969605,1184521468,293234,619677658,98338,333438,649253,2020036185
2795168.exe,6347579,192025339,103784177,38399,103794940,38878,8497,11150671,217363370,7053,203788298,328,2356,1909,915400594
2863666.exe,27737371,649491853,305359362,382660,305871162,399339,18461514,51792591,1181405917,299206,608777210,98334,139417,622451,2046964509
