file,cpu-cycles,instructions,cache-references,cache-misses,branch-instructions,branch-misses,page-faults,branch-loads,branch-load-misses,L1-dcache-loads,L1-dcache-load-misses,L1-dcache-stores,L1-icache-load-misses,LLC-loads,LLC-load-misses,LLC-stores,LLC-store-misses,dTLB-loads,dTLB-load-misses,dTLB-stores,dTLB-store-misses,iTLB-loads,iTLB-load-misses,user_time,system_time
1141757.exe,1878752988,3096232487,20307681,618376,541724829,4389719,2870,539424301,4352439,1016840141,9163314,770359399,4351984,3710035,94462,1053483,308061,1031222813,58937,769081187,16603,34612,18559,512563000,8992000
1194834.exe,2754424711,4082065733,41615347,4302523,759571844,5787617,6387,760054669,5805662,1305386206,17341350,1013078934,6970162,6999478,787664,1061975,457219,1311175411,554454,1017547135,42388,92687,41771,733102000,12001000
1334614.exe,1917952176,3130062328,24171633,2135548,556893302,5197616,4402,557516408,5135541,1043057873,14733950,793405361,7549053,3534654,164222,510856,210269,1029161835,69050,771023764,17243,46778,34807,499583000,2002000
1369810.exe,1838068627,3067220520,15713360,843028,551420857,4318725,4257,558298505,4285536,1033235721,8533714,772651906,4503913,1920254,121808,658324,379656,1008461740,59200,781937425,31290,33720,30615,488794000,9014000
1376527.exe,1202732063,2024951017,12652252,481943,357702258,3551583,1875,362956787,3488848,690250542,3672913,510185793,2989225,1554153,48273,434408,152274,679028352,34653,517657627,13078,27955,17553,323674000,4008000
1394267.exe,910935485,1401005604,10845959,398546,233928901,3666773,1381,235776564,3507736,521469700,4463111,355541514,2111569,1571830,54788,268173,76025,499026429,26347,352143754,6764,12903,9729,245664000,1002000
1702636.exe,1956987736,3229328770,18600963,962732,566345661,4405886,4260,564260348,4353225,1035119311,8509580,778343065,4421953,1793572,165463,680979,387571,1059104002,89884,812762897,32336,181070,53638,488952000,10998000
1828655.exe,2120914273,3871037010,14942207,1183833,717209143,4863978,2866,722398296,4877446,1329515130,8845387,951646087,4549980,1741670,65053,482285,205973,1318881917,60107,940701763,17173,49084,24959,567499000,6005000
1993016.exe,3761196822,6339129025,24927220,1498797,1077508022,4285554,2847,1081942580,4269720,2074274364,5773091,1837212549,8660504,1866929,113973,1027382,222925,2102654831,113364,1846693949,20219,24311,33027,1011775000,4998000
200463.exe,1477163253,2827384508,13274276,530485,521003087,3965594,1531,527297754,3961691,987448066,3736614,665159231,3354293,1605490,73868,465732,129598,990071504,66317,663226390,10402,55425,25596,388948000,8998000
215691.exe,1071594923,1731728406,11513829,363367,317386915,3569723,1385,324771498,3493129,578439405,3683014,421632753,2715804,1563039,51359,306043,110018,577653254,30324,421117157,8657,15048,17561,287906000,3009000
2182933.exe,1860523871,3112251018,14416959,907309,555062513,4444720,3356,561289061,4403993,1050592036,8603678,787807304,4149398,1760060,128810,567191,269917,1031506278,60381,792512951,22737,37361,27143,493473000,7006000
2283561.exe,1906183071,3165463466,15363383,879296,557811086,4369165,4529,560635561,4317697,1054318443,8770429,806979942,4660500,1701566,110108,487397,218472,1064721542,55598,818718830,23611,19757,27677,512107000,6001000
2317321.exe,1832339469,3026199862,14653721,648540,529990307,4443264,2871,535531021,4382184,1012116891,13023345,765202238,4180000,1903622,152719,446504,171355,1025876960,52502,766419336,15693,25859,22900,495334000,2001000
2473888.exe,2052581693,3707042911,15643867,1032721,680455707,5100927,3254,684305389,5055977,1277561662,8594875,900723804,5041504,1717727,79255,506138,247247,1292988894,60578,893403345,20841,55969,29865,547816000,6997000
2557813.exe,1851117295,3151704761,14678368,819466,554908986,4370593,3386,551686840,4368957,1053626441,13297894,811156869,4433855,1827170,107125,515831,196758,1053812688,58159,793342636,18437,23255,24564,494568000,6993000
2870679.exe,1302665231,2167739645,13967408,806763,384028052,3619891,2067,384901689,3571910,730604004,4101538,542650771,2991999,1429005,74964,361867,97487,753655792,41119,536837690,9468,14386,14827,350024000,2000000
2876767.exe,1874578264,3120540791,14901635,1031253,556141684,4341797,3353,560610217,4336194,1056933680,8468309,798871039,4424926,1750727,67773,571818,305285,1043033432,55179,806553541,22695,29002,25981,499732000,7995000
2956436.exe,1818401587,3043802127,15352273,992685,532471943,4306686,3260,536262984,4225813,1010676925,13215342,770968352,4306475,1754781,112176,434453,173788,1038336851,49507,774625372,16287,27390,21609,487749000,3997000
2961485.exe,2442560230,3948119201,28393703,3687751,739941227,6047664,4818,741288526,6093450,1343501909,13963973,943991052,6102588,4769302,618592,789648,361673,1338708497,366684,942258465,31842,44500,36821,653997000,5999000
315901.exe,714126198,1137724966,10501848,606831,301895378,3560828,1388,305917805,3477470,320906212,3507071,207117288,2343999,1587879,55691,251732,75337,327828822,20098,196938962,6761,10927,13247,191727000,1997000
3310511.exe,1179688051,1948858557,11797237,353028,346816545,3513956,1874,350647392,3468889,671883898,3727673,487621248,2901293,1646049,55327,419960,187435,661307742,36026,504013853,13704,24005,11329,316508000,4006000
3448452.exe,1163422687,1925787858,12243346,562594,338102626,3554499,1781,343634792,3495572,644816453,4256827,477453425,2706514,1622407,75927,289220,78821,665360359,30870,478759198,7572,11290,12118,306772000,7994000
3533053.exe,2211906232,4014143091,16922636,1109877,735505368,5003959,4284,734468691,4993448,1354836298,9258481,972455240,5218008,1776522,143134,563625,215197,1385328974,63221,983375130,21398,38829,31883,595981000,6999000
3576195.exe,1777027257,2997382075,13876162,809537,525695418,4404531,3354,524498186,4509881,1002608833,8473044,767100732,4110879,1859990,72233,453662,196077,998272382,56793,760992366,24111,28489,27843,473837000,8014000
3581799.exe,4057028948,7165043941,25835564,849825,1267998567,4639887,1775,1272695954,4628983,2395238232,5145653,2018009856,9241110,2006338,98198,1056206,269224,2376879760,110244,2013323075,19970,46936,34182,1098666000,1000000
3642321.exe,1218669070,2011520537,12670619,480640,364280339,3485773,1874,369755141,3463333,685594867,3738483,500220256,2908000,1549025,49111,427508,153330,675773168,34968,506995158,13143,19056,16728,323199000,6003000
3707962.exe,1724475960,2763749680,15004627,973559,490250401,4373751,3260,495251156,4298766,934817887,12879556,702814496,4034372,1764022,80398,441234,203676,947179075,58728,702931405,16682,23109,21676,466860000,1001000
3753320.exe,1164012976,1991350156,12296392,548565,331445736,3558501,1782,335022214,3528223,660495058,4200386,492283014,2841729,1673302,76977,305313,82432,684152528,32628,495507610,7691,19273,12850,309123000,7002000
385823.exe,4453251936,6600132322,27155416,1241429,1170476272,7781080,2562,1170336865,7738200,2136703653,7132402,1839064892,9555112,2811580,114061,647188,171926,2156055290,114665,1843253116,15540,63732,37218,1201275000,4996000
4010334.exe,1366130289,2224675350,14346922,680329,383393480,4561836,2775,388257999,4517175,761995678,4221567,561759972,3457605,1692297,65034,411383,263176,736744232,63683,567918837,22958,26157,22538,361767000,8994000
402806.exe,1792864100,3028657104,15250701,1186418,517403303,4341271,3262,520886917,4321959,1001141506,11788733,775962533,3908903,1824281,111460,380783,168384,1017245363,73305,768918600,15646,23457,21132,480058000,6000000
4110986.exe,1576045386,3015040535,14261438,532228,540520115,4164234,1775,545005927,4156370,1036515558,4477096,707638219,3764734,1829265,62752,295934,80475,1051694257,41276,714238839,8438,22738,16436,425764000,1998000
4292167.exe,2099504835,3875271791,15181766,867402,709097306,4863924,2862,714901599,4874091,1340095552,8288087,953225328,4665568,1871620,82740,478536,204886,1323403423,63110,944912954,17033,44269,28928,567550000,2001000
4327744.exe,6712354345,11969133480,44138977,5391420,1989605321,4698415,5222,1999352731,4722253,3899488181,10939975,3069342949,14759527,4497237,523032,1237726,443313,3905057304,351730,3073451935,46822,76364,65881,1798482000,14995000
4340748.exe,1217286253,2024462288,12849043,463021,361451047,3519101,1874,366493331,3467244,688218155,3783212,509365275,2876272,1691631,42669,395632,161332,676369322,39096,518495194,13399,19613,16100,326342000,3003000
4455594.exe,1728391408,2827653593,14654117,1001974,487361143,4369403,3260,491192762,4289130,953648856,12866368,712502802,4014354,1743371,95499,429473,191573,968741441,50076,713958747,16235,31818,20258,462147000,5001000
4555067.exe,1024696790,1631321841,11832922,558331,284438283,3650561,1778,289411168,3538515,564443436,4147116,396123022,2250843,1696325,63453,278695,74954,584734574,31866,392782499,7318,14939,12618,273076000,4001000
4625115.exe,2125679925,3873200921,16354711,1021325,713183287,4868745,3258,716059795,4852267,1316294299,8656432,944363312,4871632,1733716,81619,488103,218614,1327086440,62994,943098374,17957,27640,26213,572126000,6001000
4646902.exe,1226684236,2066802093,12976113,511411,366425706,3548901,1875,371845538,3511022,710068811,3720978,515418640,3193535,1598884,65837,455431,174692,700669605,33971,524551124,13127,13925,17267,324838000,5997000
