file,L1-dcache-load-misses,L1-dcache-loads,L1-dcache-stores,L1-icache-load-misses,LLC-load-misses,LLC-loads,LLC-store-misses,LLC-stores,branch-instructions,branch-load-misses,branch-loads,branch-misses,cache-misses,cache-references,cpu-cycles,dTLB-load-misses,dTLB-loads,dTLB-store-misses,dTLB-stores,page-faults,iTLB-load-misses,iTLB-loads,instructions,duration_time,user_time,system_time,perf_time
1061805.exe,230558,91592694,67821944,863973,13181,131469,172180,169802,40455988,250071,42275806,263144,94546,1256022,147925110,7300,86946199,2695,67842689,626,2227,4047,289825203,68667434,62293000,5932000,131308815
1094941.exe,187469,117435744,79994488,791076,13840,88691,18954,35126,70468904,362632,68750886,374583,72322,1230877,195326641,7800,120386964,2080,86086828,351,1652,4036,365942828,52829276,50538000,1981000,67287998
1133411.exe,225272,69544353,45825438,530513,9450,65900,9054,13661,56508866,76041,56502565,56416,30814,500888,99104703,3148,91145960,272,49279170,322,1063,2410,218921560,26620650,26388000,0,40807829
1141022.exe,87470,101211031,77228739,693551,12717,94817,32639,53571,53329542,333972,53282504,335116,46202,931835,171372707,4949,99244536,1535,79092406,356,1234,1375,314644768,46568337,46275000,0,60908722
1165956.exe,140362,112365590,78434377,654715,12508,93154,28875,48192,62860089,341007,62750320,341004,49233,925413,177401075,5291,113018310,2300,79577127,350,3795,4189,338673875,47953814,46585000,991000,62122404
1344769.exe,213173,113507424,79292453,676534,17272,102989,28595,49445,63295681,348609,63034607,346515,40591,916762,178065439,5330,113139263,2420,80042990,351,2303,7022,340998166,48244151,47756000,0,62706221
1370229.exe,215112,80673504,59332443,803148,15259,82057,32677,49364,46288349,294847,46218559,296474,45565,790200,145697473,4287,84121445,1880,62569895,434,2260,2894,260041719,39647460,36402000,2951000,53981992
1435015.exe,81513,49707563,34888335,504778,12322,71297,53346,89755,44254207,23524,43952049,152746,30151,508218,88991564,2621,52780061,207,41271029,363,548,349,184358344,24003365,23694000,0,38089477
1769104.exe,131259,112963469,78755932,644315,13050,93088,28478,45852,62583057,327661,62526706,327918,40990,897019,175667134,5055,112597524,2581,79469499,351,1382,4354,339003391,47657657,45393000,1973000,61955196
1979579.exe,127899,112593742,78043887,666047,12621,92107,28514,47443,62753359,337299,62705613,337666,41702,888296,175727700,4967,113565660,2637,79990351,350,3312,5075,340157751,47686128,46372000,1008000,61875506
1997948.exe,229753,72522236,47143635,526267,10865,62365,3471,17390,53920645,83374,55003508,64043,24279,535295,99503960,2779,92233685,278,48921501,322,712,1614,221609256,27063199,26668000,0,41219317
2059363.exe,197149,76959688,57758678,558599,13115,68028,3496,17257,46329820,110519,42358497,156554,36697,902390,118986887,5461,82762138,535,67145027,329,786,418,253133200,32422270,31119000,1003000,46775407
2061586.exe,137578,113296687,76919104,732577,11791,89915,27280,53110,63297865,343060,63423909,341146,56672,932334,179270206,5168,114757418,2041,80225673,547,4146,4895,341247281,48453318,48038000,0,62887987
2203032.exe,210558,80110856,58482060,788300,12811,78861,31255,51678,45262496,306765,45027231,306371,61075,811235,145345136,4053,85306997,1415,64181361,455,2161,2325,259777249,39017530,35736000,2978000,53470747
2203602.exe,125915,112303319,78111536,669873,12950,93514,28338,47975,62849513,329918,62901957,331353,42754,894301,177779421,7374,113509515,2811,79942478,352,1787,6172,339434561,47693058,47405000,0,62003227
2207605.exe,189345,82193795,58728864,875662,16573,83395,28563,47774,45168356,301914,45140915,303823,45090,837037,144379061,4217,85273551,1485,64093001,552,3622,2338,259868794,39142749,37804000,1021000,53346172
2213898.exe,178690,100989049,73272746,700507,14446,88055,2778,16845,68362136,70480,68139027,60152,15395,604089,153203262,3971,122969854,411,82686300,228,2261,3574,326314618,41144232,38765000,1987000,55272190
2231071.exe,140605,112445904,78254711,692435,12361,88553,23811,55683,60078660,346318,61300650,342619,48264,1045555,177288929,5361,114128023,1955,79923046,351,1531,4059,340015555,49405254,49063000,0,63666216
237541.exe,155864,80621143,58957645,754028,14279,80231,29812,50597,45184107,303251,45007036,305664,51607,788478,144427517,3852,84798154,1400,64132995,356,11180,1907,258194528,38764464,38461000,0,52878797
2407087.exe,131803,112747599,77489622,672690,11725,91606,28444,48644,63099242,337198,63031947,342018,65906,967406,178508872,7699,113756939,2585,79971335,352,3264,5027,339954848,47914943,46621000,1013000,62261657
2481996.exe,173348,102624882,72743540,704190,13446,86656,2998,17965,69318874,85026,69088028,71497,15515,639732,155152092,4160,126087194,471,83687800,226,1256,3170,334470267,41526034,41231000,0,55804582
2745547.exe,161449,110383101,76540534,722677,11602,76733,22979,45907,61299788,316732,61623426,317505,88751,1282733,176910382,7461,113889139,2374,79783933,350,2936,6547,339398235,51974032,48693000,2981000,66119794
2774509.exe,321351,95697851,70697050,737104,14255,83708,5353,22411,67821766,72525,67775200,61019,28797,684558,150907229,3983,120885199,343,80350188,325,1757,2655,315400541,40765525,40424000,0,55131309
2832245.exe,176099,103164394,72774465,713044,14586,86960,2788,17455,67357971,87355,67336010,77857,38000,704652,154052730,4800,123243570,417,81448804,227,1365,4134,330301009,41197248,38958000,1947000,55505476
2847173.exe,245091,79048531,58972608,687033,14658,79156,26013,46391,44667061,304634,44547537,305124,41382,785338,143419989,4204,82665475,1362,63813849,357,2031,2088,256890886,38543259,36275000,1960000,52692642
