file,pkg,cores,ram,gpu,psys,duration_time,user_time,system_time
1787832.exe ,  2.14,  2.06,  0.12,  0.00,  5.50,  197943645,  183611000,   13970000
2048785.exe ,  1.60,  1.55,  0.09,  0.00,  4.37,  165049043,  163950000,     999000
2110174.exe ,  2.03,  1.96,  0.11,  0.00,  5.19,  187228827,  178199000,    9010000
3080883.exe ,  1.52,  1.47,  0.08,  0.00,  3.95,  144235277,  140211000,    4006000
4900502.exe ,  1.86,  1.80,  0.10,  0.00,  4.83,  174016874,  166988000,    6999000
4972182.exe ,  1.20,  1.16,  0.08,  0.00,  3.11,  107213412,   96166000,   11019000
4998183.exe ,  1.37,  1.32,  0.08,  0.00,  3.52,  121784222,  111711000,   10064000
4999544.exe ,  0.72,  0.70,  0.05,  0.00,  1.88,   63131754,   57096000,    6010000
5226706.exe ,  1.58,  1.53,  0.08,  0.00,  4.27,  158379083,  157374000,    1002000
5670639.exe ,  2.23,  2.14,  0.13,  0.00,  5.79,  208559785,  199512000,    9023000
6013525.exe ,  2.25,  2.17,  0.13,  0.00,  6.07,  210123771,  195077000,   15005000
6224408.exe ,  2.15,  2.08,  0.12,  0.00,  5.72,  200672946,  190553000,    9976000
6258569.exe ,  1.30,  1.25,  0.07,  0.00,  3.52,  130227921,  129193000,    1001000
6608004.exe ,  0.53,  0.51,  0.03,  0.00,  1.40,   48186157,   45190000,    3012000
6644544.exe ,  2.09,  2.03,  0.11,  0.00,  5.39,  193298869,  184260000,    9012000
6730647.exe ,  1.43,  1.38,  0.08,  0.00,  3.80,  137810253,  130637000,    6980000
6933552.exe ,  1.34,  1.30,  0.08,  0.00,  3.35,  115865656,  103853000,   11983000
7977536.exe ,  2.09,  2.02,  0.11,  0.00,  5.45,  198156617,  191132000,    7004000
8465470.exe ,  2.20,  2.13,  0.13,  0.00,  5.91,  209455415,  202391000,    7013000
8485009.exe ,  1.98,  1.91,  0.10,  0.00,  5.13,  183262763,  179227000,    4005000
