file,pkg,cores,ram,gpu,psys,duration_time,user_time,system_time
1394267.exe ,  0.27,  0.26,  0.02,  0.00,  0.75,   25929891,   15621000,    5858000
1702636.exe ,  0.63,  0.61,  0.03,  0.00,  1.59,   51762057,   47659000,    3971000
2182933.exe ,  0.62,  0.60,  0.03,  0.00,  1.61,   52312717,   47337000,    4931000
2283561.exe ,  0.63,  0.62,  0.03,  0.00,  1.58,   54732912,   50674000,    4053000
2317321.exe ,  0.59,  0.57,  0.03,  0.00,  1.50,   49669745,   47624000,    1984000
2956436.exe ,  0.59,  0.58,  0.03,  0.00,  1.50,   48911584,   46884000,    1995000
3686555.exe ,  0.58,  0.57,  0.03,  0.00,  1.46,   49398945,   48358000,    1007000
402806.exe  ,  0.58,  0.56,  0.03,  0.00,  1.51,   48562952,   43593000,    4953000
4327744.exe ,  3.87,  3.76,  0.19,  0.00,  9.37,  302971014,  293959000,    8998000
4625115.exe ,  1.65,  1.59,  0.07,  0.00,  4.09,  133019158,  131009000,    2000000
4888119.exe ,  0.57,  0.56,  0.03,  0.00,  1.48,   48347956,   46290000,    2012000
5470489.exe ,  0.57,  0.55,  0.03,  0.00,  1.49,   49043744,   47038000,    2001000
5473977.exe ,  0.60,  0.58,  0.03,  0.00,  1.58,   50417609,   49345000,    1007000
5980827.exe ,  1.68,  1.62,  0.07,  0.00,  4.22,  132357467,  129331000,    3007000
6236007.exe ,  0.62,  0.60,  0.03,  0.00,  1.58,   53042350,   50912000,    1996000
6521284.exe ,  0.61,  0.59,  0.03,  0.00,  1.59,   51736828,   46658000,    4963000
7103208.exe ,  0.62,  0.60,  0.03,  0.00,  1.57,   52504718,   47526000,    4950000
798360.exe  ,  2.49,  2.41,  0.14,  0.00,  6.42,  211067135,  203047000,    8001000
8028891.exe ,  0.58,  0.56,  0.03,  0.00,  1.55,   50648540,   48605000,    2025000
908301.exe  ,  1.63,  1.59,  0.07,  0.00,  4.07,  133782087,  130478000,    2988000
