file,pkg,cores,ram,gpu,psys,duration_time,user_time,system_time
1628906.exe ,  1.74,  1.68,  0.17,  0.00,  4.61,  152790654,  152490000,          0
1759010.exe ,  1.69,  1.63,  0.08,  0.00,  4.20,  147216914,  143200000,    4005000
2230392.exe ,  1.68,  1.63,  0.08,  0.00,  4.23,  146275088,  144255000,    2003000
2677173.exe ,  4.25,  4.04,  0.41,  0.00, 10.77,  369144378,  218441000,  150615000
2697990.exe ,  4.42,  4.21,  0.41,  0.00, 11.30,  372930953,  245936000,  126967000
2820444.exe ,  0.61,  0.59,  0.03,  0.00,  1.46,   46750070,   44649000,    1984000
3208130.exe ,  5.93,  5.72,  0.37,  0.00, 14.84,  513571840,  386653000,  126886000
3208532.exe ,  4.39,  4.18,  0.41,  0.00, 11.24,  369983994,  226970000,  142981000
3216342.exe ,  0.93,  0.90,  0.05,  0.00,  2.29,   75656301,   72620000,    2984000
3736295.exe ,  2.00,  1.92,  0.17,  0.00,  5.08,  161065484,  157007000,    4000000
3738660.exe ,  2.03,  1.94,  0.19,  0.00,  5.46,  180446360,  177428000,    3007000
3739170.exe ,  1.53,  1.49,  0.07,  0.00,  3.93,  138534942,  134473000,    3984000
385049.exe  ,  0.76,  0.74,  0.05,  0.00,  2.20,   75096184,   72057000,    3002000
4228710.exe ,  1.60,  1.53,  0.16,  0.00,  4.20,  139702726,  132590000,    6978000
4602054.exe ,  1.34,  1.29,  0.06,  0.00,  3.37,  115379303,  112285000,    2981000
4873850.exe ,  2.88,  2.77,  0.22,  0.00,  7.34,  243048618,  238864000,    3997000
5445938.exe ,  1.67,  1.60,  0.16,  0.00,  4.38,  147095787,  142065000,    5002000
5605416.exe ,  3.39,  3.25,  0.27,  0.00,  9.25,  324978213,  321955000,    2999000
6667004.exe ,  1.51,  1.46,  0.08,  0.00,  3.93,  142021356,  138049000,    3972000
7074246.exe ,  1.70,  1.61,  0.17,  0.00,  4.41,  147262350,  142230000,    5008000
