@relation problema
@attribute 'pkg' real
@attribute 'cores' real
@attribute 'ram' real
@attribute 'gpu' real
@attribute 'psys' real
@attribute 'duration_time' real
@attribute 'user_time' real
@attribute 'system_time' real
@attribute 'class' {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31}
@data
1.43,1.38,0.07,0.00,3.98,134314322,97312000,36740000,0
1.56,1.51,0.07,0.00,3.85,131839389,104789000,26945000,0
1.52,1.48,0.07,0.00,3.98,132062293,102055000,30016000,0
0.09,0.08,0.01,0.00,0.24,7277024,5178000,2071000,0
0.97,0.93,0.05,0.00,2.53,88195767,55113000,33068000,0
1.51,1.47,0.07,0.00,3.96,131628736,108675000,22931000,0
1.50,1.46,0.07,0.00,3.98,131318124,106435000,24868000,0
0.31,0.31,0.01,0.00,0.77,25945697,24928000,997000,0
0.90,0.87,0.05,0.00,2.57,88381467,52633000,35750000,0
0.30,0.29,0.01,0.00,0.78,25297844,22272000,3037000,0
0.96,0.92,0.05,0.00,2.60,89063293,58037000,31019000,0
0.30,0.30,0.01,0.00,0.77,25496762,25469000,0,0
1.48,1.43,0.07,0.00,3.95,131051915,101031000,30009000,0
1.51,1.46,0.07,0.00,3.82,130892918,96814000,33935000,0
1.42,1.38,0.07,0.00,3.91,132250878,100448000,31825000,0
0.30,0.30,0.01,0.00,0.77,25294355,24275000,1011000,0
1.48,1.43,0.07,0.00,3.97,130888445,96798000,33929000,0
0.94,0.90,0.05,0.00,2.57,87721567,54448000,33273000,0
1.50,1.46,0.07,0.00,3.89,131142134,99102000,32033000,0
0.90,0.86,0.05,0.00,2.59,89532481,53707000,35805000,0
0.16,0.15,0.01,0.00,0.40,14362984,12990000,999000,1
1.87,1.79,0.11,0.00,5.36,206123609,204983000,999000,1
1.58,1.53,0.08,0.00,4.29,157414644,157406000,0,1
0.44,0.43,0.02,0.00,1.28,47808886,46807000,995000,1
0.45,0.43,0.03,0.00,1.32,47850272,46823000,996000,1
0.42,0.41,0.03,0.00,1.29,47041287,46918000,0,1
0.67,0.64,0.04,0.00,1.87,68372723,67380000,1005000,1
0.23,0.23,0.01,0.00,0.65,23550215,21459000,1950000,1
0.98,0.94,0.06,0.00,2.97,118942560,117854000,1007000,1
0.43,0.42,0.02,0.00,1.27,47170714,47170000,0,1
0.25,0.25,0.01,0.00,0.69,24426233,24412000,0,1
0.48,0.46,0.03,0.00,1.34,47760702,45762000,1989000,1
3.37,3.24,0.19,0.00,9.73,377327339,375368000,1996000,1
0.12,0.12,0.01,0.00,0.34,12819708,10834000,1969000,1
0.46,0.44,0.02,0.00,1.29,45804113,44683000,992000,1
1.84,1.78,0.10,0.00,5.12,194656018,194661000,0,1
0.47,0.45,0.03,0.00,1.35,49212063,49087000,0,1
0.41,0.40,0.02,0.00,1.23,46771902,45772000,995000,1
3.50,3.36,0.21,0.00,10.27,403929800,402921000,1002000,1
0.28,0.26,0.01,0.00,0.78,27990027,26993000,999000,1
0.86,0.84,0.04,0.00,2.16,67743610,66377000,1005000,2
0.40,0.39,0.02,0.00,1.01,33929639,30775000,2978000,2
0.80,0.77,0.03,0.00,1.97,63617944,60625000,2981000,2
0.41,0.40,0.02,0.00,1.05,34801205,30813000,3975000,2
0.81,0.79,0.04,0.00,2.01,66072955,64024000,2000000,2
0.79,0.76,0.03,0.00,1.98,63997884,63989000,0,2
0.39,0.38,0.02,0.00,1.00,32815217,27805000,4965000,2
0.31,0.30,0.02,0.00,0.96,36933291,35927000,997000,2
0.39,0.38,0.02,0.00,1.01,33980341,30964000,2996000,2
0.81,0.78,0.04,0.00,2.07,65978402,63956000,1998000,2
0.40,0.39,0.02,0.00,1.05,35150992,35152000,0,2
0.79,0.77,0.03,0.00,2.02,64229184,62212000,2006000,2
0.79,0.76,0.03,0.00,2.00,64482518,63460000,1007000,2
