file,pkg,cores,ram,gpu,psys,duration_time,user_time,system_time
1168229.exe ,  3.26,  3.16,  0.14,  0.00,  7.95,  250904345,  240496000,   10020000
1239379.exe ,  2.51,  2.44,  0.10,  0.00,  6.05,  193740808,  189598000,    4012000
1253440.exe ,  0.99,  0.97,  0.04,  0.00,  2.45,   78973056,   71864000,    6986000
1363825.exe ,  3.39,  3.27,  0.30,  0.00,  9.59,  335413385,  316426000,   18965000
1373378.exe ,  3.59,  3.46,  0.30,  0.00,  9.89,  347361376,  330244000,   16961000
1380046.exe ,  3.03,  2.93,  0.13,  0.00,  7.74,  250173056,  243150000,    6975000
1405031.exe ,  2.80,  2.72,  0.12,  0.00,  6.84,  222386951,  217310000,    4984000
1484788.exe ,  2.67,  2.57,  0.18,  0.00,  7.06,  240196523,  109004000,   11149000
1651759.exe ,  2.92,  2.81,  0.18,  0.00,  7.40,  251233501,  188437000,   62812000
1757160.exe ,  1.45,  1.41,  0.08,  0.00,  3.77,  133529024,  127486000,    6022000
1794636.exe ,  3.03,  2.94,  0.13,  0.00,  7.65,  250810733,  245708000,    5014000
1841293.exe ,  1.75,  1.69,  0.12,  0.00,  4.74,  158113170,  144947000,   12995000
208193.exe  ,  1.42,  1.37,  0.08,  0.00,  3.77,  132182430,  119201000,   12913000
208205.exe  ,  0.96,  0.94,  0.05,  0.00,  2.42,   82726268,   72733000,    9963000
213413.exe  ,  2.45,  2.38,  0.10,  0.00,  6.05,  195131374,  188137000,    6968000
2265253.exe ,  3.33,  3.23,  0.15,  0.00,  8.63,  286582518,  280423000,    5987000
2289173.exe ,  1.01,  0.99,  0.05,  0.00,  2.58,   85891043,   75885000,    9984000
2354500.exe ,  2.99,  2.88,  0.20,  0.00,  8.32,  296633891,  284591000,   12024000
2363790.exe ,  3.21,  3.11,  0.17,  0.00,  8.38,  274870028,  266854000,    7995000
2364548.exe ,  0.87,  0.85,  0.04,  0.00,  2.26,   74573639,   69572000,    4969000
2366881.exe ,  3.53,  3.38,  0.30,  0.00,  9.62,  338162783,  323127000,   15005000
2369365.exe ,  1.25,  1.20,  0.09,  0.00,  3.35,  106476417,  101421000,    5020000
2473478.exe ,  0.84,  0.82,  0.04,  0.00,  2.12,   70298592,   64372000,    5942000
2487064.exe ,  4.98,  4.80,  0.36,  0.00, 13.54,  459268299,  439229000,   20010000
2547532.exe ,  1.54,  1.48,  0.09,  0.00,  4.10,  146989810,  138938000,    7996000
2632607.exe ,  3.12,  3.03,  0.14,  0.00,  7.78,  257955740,  250924000,    6997000
2981499.exe ,  3.90,  3.77,  0.20,  0.00,  9.66,  308558041,  203645000,   18057000
2983245.exe ,  5.04,  4.86,  0.36,  0.00, 13.59,  458473327,  444407000,   14012000
2985036.exe ,  5.02,  4.85,  0.36,  0.00, 13.38,  456258679,  438191000,   18007000
2987448.exe ,  4.93,  4.75,  0.37,  0.00, 13.50,  462756715,  446714000,   16025000
2993463.exe ,  0.85,  0.82,  0.04,  0.00,  2.26,   79239344,   75124000,    3953000
3032867.exe ,  3.54,  3.41,  0.32,  0.00,  9.73,  348794765,  332725000,   16034000
3035956.exe ,  3.01,  2.91,  0.22,  0.00,  8.28,  278396497,  176984000,   14935000
3038559.exe ,  4.92,  4.78,  0.24,  0.00, 11.88,  378069589,  371940000,    5999000
3054390.exe ,  0.84,  0.80,  0.04,  0.00,  2.10,   68446228,   62461000,    5948000
3064636.exe ,  1.98,  1.91,  0.11,  0.00,  5.35,  187047941,  176022000,   11001000
310302.exe  ,  2.04,  1.98,  0.11,  0.00,  5.10,  169976942,   72571000,   11850000
3461405.exe ,  4.79,  4.63,  0.32,  0.00, 13.08,  441153969,  427168000,   13972000
3573059.exe ,  1.12,  1.07,  0.05,  0.00,  2.90,   96192337,   89073000,    7005000
371353.exe  ,  3.50,  3.36,  0.32,  0.00, 10.03,  356581064,  329509000,   27041000
3892773.exe ,  1.01,  0.99,  0.05,  0.00,  2.58,   84534676,   81496000,    3018000
3895398.exe ,  0.88,  0.85,  0.04,  0.00,  2.29,   75615493,   71614000,    3978000
406692.exe  ,  3.49,  3.36,  0.33,  0.00, 10.06,  356525972,  335342000,   21021000
420068.exe  ,  1.03,  1.00,  0.05,  0.00,  2.67,   86749911,   79661000,    6970000
4207313.exe ,  0.81,  0.79,  0.04,  0.00,  2.14,   68976341,   64956000,    3997000
4209826.exe ,  5.02,  4.84,  0.37,  0.00, 13.75,  461711191,  435682000,   25981000
4300786.exe ,  0.96,  0.93,  0.05,  0.00,  2.44,   81742102,   75387000,    6030000
4301296.exe ,  3.02,  2.92,  0.16,  0.00,  7.76,  243611865,  229602000,   13975000
4322230.exe ,  2.90,  2.82,  0.15,  0.00,  7.44,  234222600,  226168000,    8005000
4452551.exe ,  3.97,  3.83,  0.26,  0.00, 10.65,  366877688,  351740000,   15031000
4563400.exe ,  0.98,  0.95,  0.05,  0.00,  2.57,   80250758,   75115000,    5007000
475413.exe  ,  3.67,  3.53,  0.32,  0.00, 10.36,  358789105,  329777000,   28980000
4758293.exe ,  3.13,  3.03,  0.14,  0.00,  7.96,  257808891,  248648000,    8987000
4832806.exe ,  1.04,  1.01,  0.05,  0.00,  2.66,   86271378,   78220000,    8022000
4887390.exe ,  2.66,  2.58,  0.11,  0.00,  6.71,  208090761,  200827000,    6993000
5231619.exe ,  1.17,  1.13,  0.06,  0.00,  2.97,   98828677,   91818000,    6986000
5298088.exe ,  2.59,  2.51,  0.11,  0.00,  6.48,  203157318,  191032000,   12002000
5569073.exe ,  3.56,  3.46,  0.17,  0.00,  8.94,  285395149,  195397000,    4008000
5754593.exe ,  5.06,  4.88,  0.37,  0.00, 13.75,  463496016,  441156000,   22007000
588797.exe  ,  3.42,  3.29,  0.30,  0.00,  9.27,  331744943,  314672000,   17036000
631007.exe  ,  1.43,  1.37,  0.08,  0.00,  3.77,  132294933,  125255000,    7014000
6349744.exe ,  1.38,  1.34,  0.09,  0.00,  3.56,  116552175,  108557000,    7967000
6384372.exe ,  1.79,  1.73,  0.12,  0.00,  4.76,  164732980,  143628000,   21092000
6436177.exe ,  3.08,  2.98,  0.14,  0.00,  7.81,  253721410,  243561000,    9982000
6440573.exe ,  2.96,  2.88,  0.16,  0.00,  7.54,  237705851,  225696000,   11983000
6627158.exe ,  2.55,  2.48,  0.11,  0.00,  6.50,  207421934,  199391000,    8015000
6701674.exe ,  3.83,  3.69,  0.31,  0.00, 10.67,  369948023,  254817000,   28770000
6958673.exe ,  0.85,  0.83,  0.04,  0.00,  2.24,   76086417,   72054000,    4003000
7009955.exe ,  2.47,  2.40,  0.10,  0.00,  6.12,  194996645,  188965000,    5998000
711331.exe  ,  3.59,  3.44,  0.33,  0.00, 10.02,  357721632,  335709000,   21980000
727417.exe  ,  0.91,  0.89,  0.05,  0.00,  2.38,   80383612,   75344000,    5022000
7290259.exe ,  1.81,  1.75,  0.09,  0.00,  4.83,  163258181,  152211000,   11015000
7917842.exe ,  2.53,  2.46,  0.10,  0.00,  6.24,  198540825,  189539000,    8978000
7928067.exe ,  0.90,  0.87,  0.04,  0.00,  2.29,   75396605,   69424000,    5950000
831340.exe  ,  0.92,  0.90,  0.04,  0.00,  2.36,   77898660,   73834000,    4045000
8357688.exe ,  2.10,  2.03,  0.12,  0.00,  5.46,  175934119,   81642000,    7897000
983549.exe  ,  2.59,  2.50,  0.15,  0.00,  6.99,  250081670,  240051000,   10002000
985992.exe  ,  0.93,  0.90,  0.04,  0.00,  2.42,   79811623,   76713000,    3028000
991360.exe  ,  2.58,  2.50,  0.11,  0.00,  6.37,  201150577,  198024000,    3000000
994945.exe  ,  1.52,  1.47,  0.08,  0.00,  3.93,  133138962,  124939000,    7996000
