file,pkg,cores,ram,gpu,psys,duration_time,user_time,system_time
1070657.exe ,  1.68,  1.61,  0.16,  0.00,  4.37,  145369394,  143973000,    1006000
1096416.exe ,  1.66,  1.59,  0.16,  0.00,  4.29,  143451695,  139319000,    4009000
1293444.exe ,  1.43,  1.38,  0.07,  0.00,  3.61,  124911160,  121893000,    2997000
1458177.exe ,  1.56,  1.49,  0.16,  0.00,  4.10,  137950599,  133909000,    4027000
1562200.exe ,  1.55,  1.47,  0.15,  0.00,  4.04,  133826191,  126796000,    6988000
1623325.exe ,  4.34,  4.13,  0.41,  0.00, 11.14,  375358420,  236194000,  139114000
1626177.exe ,  1.35,  1.30,  0.06,  0.00,  3.38,  115504003,  111384000,    3978000
1628906.exe ,  1.76,  1.69,  0.17,  0.00,  4.57,  148756747,  142577000,    5982000
1759010.exe ,  1.75,  1.71,  0.08,  0.00,  4.34,  144768531,  141743000,    2994000
2014050.exe ,  1.59,  1.52,  0.16,  0.00,  4.20,  139081539,  134938000,    3998000
2134955.exe ,  4.31,  4.10,  0.41,  0.00, 11.16,  375431859,  243248000,  132135000
2199340.exe ,  0.50,  0.47,  0.03,  0.00,  1.25,   40352606,   38215000,    2011000
2230392.exe ,  1.73,  1.68,  0.08,  0.00,  4.26,  144369445,  141322000,    3006000
2231894.exe ,  1.99,  1.91,  0.18,  0.00,  5.19,  173614257,  171459000,    2005000
2233044.exe ,  4.21,  3.91,  0.62,  0.00, 11.51,  363145394,  350080000,   13002000
2258515.exe ,  1.91,  1.83,  0.17,  0.00,  4.86,  157633664,  153350000,    4009000
2378596.exe ,  1.67,  1.59,  0.16,  0.00,  4.40,  145743993,  144631000,    1004000
244450.exe  ,  1.07,  1.05,  0.05,  0.00,  2.68,   89836185,   84802000,    4988000
2481720.exe ,  1.29,  1.25,  0.09,  0.00,  3.57,  122749269,    6324000,          0
2514076.exe ,  1.72,  1.63,  0.16,  0.00,  4.47,  147355118,  143334000,    4009000
2677173.exe ,  4.31,  4.09,  0.41,  0.00, 11.25,  374753319,  230739000,  143837000
2685596.exe ,  1.67,  1.60,  0.16,  0.00,  4.42,  146820795,  138803000,    7988000
2697990.exe ,  4.44,  4.23,  0.41,  0.00, 11.39,  374636601,  231698000,  142814000
2734446.exe ,  1.09,  1.05,  0.07,  0.00,  2.82,   92676609,    6162000,          0
2820444.exe ,  0.63,  0.60,  0.03,  0.00,  1.53,   47088411,   47070000,          0
3205915.exe ,  3.07,  2.95,  0.23,  0.00,  8.27,  269880573,  142911000,  126921000
3216342.exe ,  0.92,  0.90,  0.04,  0.00,  2.28,   75456895,   72482000,    2978000
3617839.exe ,  1.51,  1.45,  0.15,  0.00,  4.06,  134577621,  130572000,    3986000
3736295.exe ,  2.00,  1.92,  0.17,  0.00,  5.03,  161634438,  159595000,    2007000
3738660.exe ,  2.07,  1.99,  0.19,  0.00,  5.64,  184913289,  178861000,    5995000
3739170.exe ,  1.54,  1.50,  0.08,  0.00,  3.98,  138689765,  134677000,    3990000
3741569.exe ,  1.65,  1.58,  0.16,  0.00,  4.43,  143777925,  140654000,    3014000
3855515.exe ,  0.83,  0.80,  0.04,  0.00,  2.09,   69166484,   66054000,    3002000
3900305.exe ,  1.08,  1.04,  0.07,  0.00,  2.87,   92670410,    6188000,          0
3927955.exe ,  1.57,  1.50,  0.15,  0.00,  4.15,  137671959,  132661000,    4987000
416586.exe  ,  3.62,  3.47,  0.27,  0.00, 10.04,  329935287,  203535000,  126332000
4228710.exe ,  1.60,  1.52,  0.16,  0.00,  4.22,  139501545,  137348000,    2005000
4285324.exe ,  6.26,  5.99,  0.53,  0.00, 16.25,  550982938,  409950000,  140982000
4292026.exe ,  5.48,  5.30,  0.38,  0.00, 14.24,  497566803,  490528000,    7007000
4421941.exe ,  2.24,  2.15,  0.19,  0.00,  5.68,  185844762,  184717000,    1003000
4448176.exe ,  1.70,  1.62,  0.16,  0.00,  4.44,  147040231,  139862000,    6993000
4602054.exe ,  1.35,  1.31,  0.07,  0.00,  3.41,  115808954,  113681000,    1994000
4673593.exe ,  1.61,  1.53,  0.16,  0.00,  4.21,  139329589,  134263000,    5009000
4703799.exe ,  1.69,  1.62,  0.17,  0.00,  4.36,  144488295,  141495000,    2989000
4832111.exe ,  4.29,  4.08,  0.41,  0.00, 11.18,  373275355,  226152000,  147099000
4873850.exe ,  2.89,  2.79,  0.23,  0.00,  7.33,  242904210,  236887000,    5997000
4879484.exe ,  1.10,  1.06,  0.07,  0.00,  2.88,   92926895,     951000,    5354000
5069904.exe ,  4.85,  4.66,  0.34,  0.00, 13.52,  450857973,  323862000,  126945000
5118663.exe ,  1.61,  1.54,  0.16,  0.00,  4.24,  139945774,  135988000,    3970000
5191445.exe ,  4.22,  3.97,  0.53,  0.00, 11.64,  380746875,  373505000,    6990000
5208903.exe ,  4.59,  4.37,  0.43,  0.00, 12.18,  397862902,  247897000,  149937000
5445938.exe ,  1.67,  1.59,  0.17,  0.00,  4.43,  146933826,  144794000,    2011000
5450722.exe ,  3.52,  3.38,  0.26,  0.00,  9.10,  309585824,  304565000,    4992000
5515108.exe ,  6.53,  6.31,  0.33,  0.00, 17.06,  614445935,  611375000,    3001000
5521134.exe ,  1.81,  1.73,  0.17,  0.00,  4.73,  155749261,  149736000,    5989000
