file,pkg,cores,ram,gpu,psys,duration_time,user_time,system_time
1149166.exe ,  0.17,  0.17,  0.01,  0.00,  0.43,   14318730,   11104000,    2776000
1659823.exe ,  0.01,  0.02,  0.00,  0.00,  0.03,    1493655,    1406000,          0
1716934.exe ,  0.02,  0.01,  0.00,  0.00,  0.05,    1538603,    1563000,          0
1793587.exe ,  0.01,  0.02,  0.00,  0.00,  0.03,    1460693,    1464000,          0
1995279.exe ,  0.17,  0.16,  0.01,  0.00,  0.43,   14015813,   10870000,    2964000
2012602.exe ,  0.39,  0.38,  0.02,  0.00,  0.95,   30065136,   29046000,    1001000
2099466.exe ,  0.32,  0.32,  0.01,  0.00,  0.80,   26187575,   24169000,    2014000
2230190.exe ,  0.56,  0.53,  0.03,  0.00,  1.50,   51377390,   47315000,    4026000
232374.exe  ,  0.20,  0.20,  0.01,  0.00,  0.52,   17313601,   13469000,    3848000
2353585.exe ,  0.15,  0.13,  0.01,  0.00,  0.37,   11127570,   10021000,    1002000
2430690.exe ,  0.01,  0.02,  0.00,  0.00,  0.03,    1442929,    1448000,          0
2545079.exe ,  0.17,  0.18,  0.01,  0.00,  0.43,   14717480,   11773000,    2943000
2745668.exe ,  0.40,  0.39,  0.02,  0.00,  0.98,   32106292,   27908000,    3986000
2764661.exe ,  0.36,  0.35,  0.02,  0.00,  0.89,   28955422,   28949000,          0
2939537.exe ,  0.17,  0.16,  0.01,  0.00,  0.43,   13621498,   10604000,    2892000
3043260.exe ,  0.02,  0.02,  0.00,  0.00,  0.06,    1383186,    1375000,          0
3147371.exe ,  0.14,  0.12,  0.01,  0.00,  0.35,   11084881,    9079000,    2017000
3162106.exe ,  0.33,  0.32,  0.01,  0.00,  0.81,   26652771,   22689000,    3946000
3323395.exe ,  0.36,  0.35,  0.02,  0.00,  0.89,   29150271,   27130000,    2009000
3439954.exe ,  0.19,  0.18,  0.01,  0.00,  0.48,   15996572,   13988000,    1998000
3449984.exe ,  0.21,  0.20,  0.01,  0.00,  0.54,   17654206,   12460000,    5192000
3565465.exe ,  0.31,  0.29,  0.01,  0.00,  0.76,   23182781,   20958000,    1996000
3729533.exe ,  0.21,  0.20,  0.01,  0.00,  0.52,   16950581,   14952000,    1993000
3732533.exe ,  0.23,  0.22,  0.01,  0.00,  0.58,   18448842,   16395000,    2049000
3765927.exe ,  0.15,  0.14,  0.01,  0.00,  0.37,   11803423,    6866000,    4904000
3822578.exe ,  0.22,  0.21,  0.01,  0.00,  0.54,   16971417,   15967000,     997000
3883933.exe ,  0.03,  0.02,  0.00,  0.00,  0.06,    1374410,    1380000,          0
3950735.exe ,  0.22,  0.22,  0.01,  0.00,  0.60,   18454259,   11642000,    6791000
4068144.exe ,  0.02,  0.01,  0.00,  0.00,  0.06,    1402072,    1402000,          0
4072037.exe ,  0.16,  0.15,  0.01,  0.00,  0.42,   13982022,   11971000,    1995000
4114470.exe ,  0.36,  0.35,  0.02,  0.00,  0.90,   28970769,   26846000,    1988000
4209745.exe ,  0.21,  0.21,  0.01,  0.00,  0.54,   17502413,   16398000,    1024000
4305280.exe ,  0.10,  0.10,  0.01,  0.00,  0.29,   11805052,    9669000,    2148000
4319837.exe ,  0.13,  0.13,  0.01,  0.00,  0.34,   10535939,    9581000,     958000
4643636.exe ,  0.23,  0.22,  0.01,  0.00,  0.58,   18678595,   14738000,    3930000
4650272.exe ,  0.01,  0.02,  0.00,  0.00,  0.03,    1410192,    1413000,          0
4690871.exe ,  0.13,  0.13,  0.01,  0.00,  0.34,   10546857,   10488000,          0
4717944.exe ,  0.30,  0.30,  0.02,  0.00,  0.85,   30879037,   29875000,    1030000
4771917.exe ,  0.17,  0.16,  0.01,  0.00,  0.43,   13642501,    9742000,    3897000
480440.exe  ,  0.17,  0.16,  0.01,  0.00,  0.43,   13947936,   12859000,     989000
5019612.exe ,  0.37,  0.36,  0.02,  0.00,  0.97,   30636182,   27659000,    2963000
5124430.exe ,  0.01,  0.02,  0.00,  0.00,  0.03,    1427943,    1435000,          0
5254730.exe ,  0.41,  0.40,  0.02,  0.00,  1.05,   32431921,   30450000,    1964000
5308953.exe ,  0.18,  0.18,  0.01,  0.00,  0.44,   14249247,   14253000,          0
532489.exe  ,  0.34,  0.33,  0.01,  0.00,  0.83,   26274033,   25256000,    1010000
5336754.exe ,  0.28,  0.27,  0.01,  0.00,  0.71,   23006248,   22003000,    1000000
5426822.exe ,  0.19,  0.18,  0.01,  0.00,  0.50,   16559319,   13630000,    2920000
5451480.exe ,  0.17,  0.16,  0.02,  0.00,  0.63,   25935259,   22719000,    3098000
5455896.exe ,  0.20,  0.18,  0.01,  0.00,  0.51,   16146226,   15134000,    1008000
5498474.exe ,  0.31,  0.31,  0.01,  0.00,  0.82,   25457828,   19586000,    5875000
5559137.exe ,  0.38,  0.37,  0.02,  0.00,  0.94,   30099087,   28946000,     998000
5643157.exe ,  0.51,  0.50,  0.03,  0.00,  1.36,   44278118,   39222000,    5028000
5672644.exe ,  0.16,  0.16,  0.01,  0.00,  0.40,   13190314,   11159000,    2029000
5674051.exe ,  0.36,  0.34,  0.02,  0.00,  0.91,   29744205,   27731000,    1980000
5674331.exe ,  0.58,  0.56,  0.04,  0.00,  1.62,   57783027,   50754000,    6966000
5674864.exe ,  0.21,  0.20,  0.01,  0.00,  0.54,   17791640,   13839000,    3954000
5674877.exe ,  0.29,  0.28,  0.02,  0.00,  0.81,   29066327,   27867000,     995000
5674990.exe ,  0.16,  0.16,  0.01,  0.00,  0.40,   13182513,   10331000,    2817000
5674998.exe ,  0.34,  0.33,  0.02,  0.00,  0.87,   26791300,   24804000,    1984000
5675116.exe ,  0.02,  0.02,  0.00,  0.00,  0.06,    1404205,    1407000,          0
5676714.exe ,  0.23,  0.23,  0.01,  0.00,  0.59,   19160679,   16058000,    3011000
5898075.exe ,  0.34,  0.33,  0.01,  0.00,  0.83,   27039021,   25029000,    2002000
5987333.exe ,  0.13,  0.12,  0.01,  0.00,  0.33,   10799199,    8835000,    1963000
6116938.exe ,  0.24,  0.24,  0.01,  0.00,  0.63,   20441950,   14592000,    5837000
6346887.exe ,  0.16,  0.16,  0.01,  0.00,  0.40,   13499928,    9594000,    3837000
6505953.exe ,  0.02,  0.02,  0.00,  0.00,  0.03,    1424329,    1428000,          0
6776171.exe ,  0.01,  0.02,  0.00,  0.00,  0.03,    1395875,    1400000,          0
6820816.exe ,  0.37,  0.36,  0.02,  0.00,  0.89,   29579261,   29461000,          0
6962942.exe ,  0.21,  0.21,  0.01,  0.00,  0.52,   17334691,   16294000,     958000
6967240.exe ,  0.02,  0.02,  0.00,  0.00,  0.06,    1387159,    1389000,          0
7189608.exe ,  0.35,  0.34,  0.02,  0.00,  0.86,   26941256,   24935000,    1994000
7204213.exe ,  0.29,  0.29,  0.01,  0.00,  0.73,   24345011,   21451000,    2925000
7383346.exe ,  0.43,  0.42,  0.02,  0.00,  1.07,   34550232,   31570000,    2959000
765889.exe  ,  0.14,  0.14,  0.01,  0.00,  0.34,   11925114,   10930000,     993000
7973932.exe ,  0.35,  0.35,  0.02,  0.00,  0.86,   28882946,   26878000,    1991000
7989414.exe ,  0.74,  0.71,  0.06,  0.00,  2.08,   76848973,   21954000,   54886000
804800.exe  ,  0.20,  0.20,  0.01,  0.00,  0.50,   16204342,   14042000,    2006000
8078753.exe ,  0.21,  0.20,  0.01,  0.00,  0.54,   17928872,   14848000,    2969000
8193633.exe ,  0.01,  0.02,  0.00,  0.00,  0.03,    1383378,    1398000,          0
974175.exe  ,  0.36,  0.36,  0.02,  0.00,  0.92,   29765570,   28760000,     991000
