file,pkg,cores,ram,gpu,psys,duration_time,user_time,system_time
1056877.exe ,  1.58,  1.53,  0.08,  0.00,  3.93,  123876668,  117520000,    5975000
1110958.exe ,  0.65,  0.64,  0.04,  0.00,  1.59,   52669839,   49666000,    2980000
1313602.exe ,  0.65,  0.64,  0.04,  0.00,  1.61,   52648760,   47468000,    4944000
1333327.exe ,  0.63,  0.62,  0.04,  0.00,  1.63,   52398669,   46368000,    5919000
1383313.exe ,  1.42,  1.37,  0.07,  0.00,  3.49,  109265745,  106234000,    3006000
1524420.exe ,  1.45,  1.41,  0.08,  0.00,  3.70,  120257061,  114224000,    6011000
1576250.exe ,  1.39,  1.35,  0.07,  0.00,  3.47,  109497055,  100427000,    9038000
1899156.exe ,  0.72,  0.69,  0.05,  0.00,  1.78,   58600969,   54514000,    3964000
2080168.exe ,  1.50,  1.45,  0.08,  0.00,  3.71,  116951348,  111871000,    4994000
2083684.exe ,  1.39,  1.35,  0.07,  0.00,  3.40,  108483224,  102503000,    5971000
2098233.exe ,  0.74,  0.71,  0.05,  0.00,  1.83,   59128436,   53990000,    4999000
2126664.exe ,  0.90,  0.87,  0.06,  0.00,  2.26,   75120410,   64082000,   11014000
2134751.exe ,  0.90,  0.88,  0.06,  0.00,  2.23,   73683293,   66692000,    6967000
2162489.exe ,  0.78,  0.76,  0.05,  0.00,  1.94,   63248948,   57202000,    6021000
2190864.exe ,  1.45,  1.41,  0.07,  0.00,  3.57,  113285307,  107298000,    5961000
2237372.exe ,  1.44,  1.40,  0.07,  0.00,  3.52,  110808281,  106761000,    3991000
238280.exe  ,  0.66,  0.65,  0.04,  0.00,  1.71,   54676328,   49621000,    4962000
2406283.exe ,  0.82,  0.80,  0.05,  0.00,  2.11,   68177469,   55115000,   13027000
2434772.exe ,  0.71,  0.69,  0.05,  0.00,  1.86,   58707022,   51583000,    7080000
2551095.exe ,  1.36,  1.34,  0.07,  0.00,  3.40,  108884953,  104837000,    3993000
2596867.exe ,  0.57,  0.55,  0.04,  0.00,  1.59,   55983648,   52911000,    3052000
2629074.exe ,  1.35,  1.32,  0.07,  0.00,  3.32,  106457534,   99460000,    6962000
2685390.exe ,  0.61,  0.59,  0.05,  0.00,  1.81,   68027326,   62042000,    6004000
2947180.exe ,  0.66,  0.64,  0.04,  0.00,  1.71,   53612380,   48545000,    4953000
2947894.exe ,  0.57,  0.56,  0.04,  0.00,  1.62,   56909180,   50001000,    6862000
2960949.exe ,  0.65,  0.63,  0.04,  0.00,  1.64,   53083673,   48048000,    5005000
3086125.exe ,  1.77,  1.71,  0.15,  0.00,  4.92,  181037004,  173933000,    6997000
3128348.exe ,  1.38,  1.33,  0.07,  0.00,  3.42,  108255736,  102203000,    6011000
3569069.exe ,  2.06,  1.98,  0.16,  0.00,  5.44,  180752937,   92800000,   87810000
378160.exe  ,  1.47,  1.43,  0.08,  0.00,  3.74,  118837989,  113821000,    4992000
3974425.exe ,  0.70,  0.67,  0.05,  0.00,  1.81,   57944038,   52905000,    5087000
3982997.exe ,  0.65,  0.63,  0.04,  0.00,  1.69,   53160543,   46119000,    7018000
3993006.exe ,  1.39,  1.34,  0.07,  0.00,  3.42,  108287018,  105249000,    3007000
4053780.exe ,  0.63,  0.61,  0.04,  0.00,  1.64,   52641312,   45577000,    6935000
4313052.exe ,  0.72,  0.70,  0.05,  0.00,  1.87,   58955393,   51947000,    6992000
4619197.exe ,  1.34,  1.30,  0.06,  0.00,  3.41,  107216207,  104090000,    3002000
470433.exe  ,  2.44,  2.36,  0.19,  0.00,  6.52,  218321471,  204181000,   14012000
4772895.exe ,  1.46,  1.43,  0.08,  0.00,  3.75,  118612316,  113512000,    4978000
5140609.exe ,  1.32,  1.29,  0.07,  0.00,  3.43,  107410359,  102282000,    5013000
5162419.exe ,  0.68,  0.66,  0.04,  0.00,  1.81,   57662758,   53556000,    3967000
5381024.exe ,  0.63,  0.61,  0.04,  0.00,  1.65,   52963971,   51844000,     997000
5745274.exe ,  1.38,  1.34,  0.07,  0.00,  3.47,  107955340,  102915000,    4995000
5989896.exe ,  0.65,  0.63,  0.04,  0.00,  1.69,   53923441,   50896000,    2993000
602592.exe  ,  1.42,  1.38,  0.07,  0.00,  3.62,  115430838,  109332000,    6018000
6059959.exe ,  0.63,  0.61,  0.04,  0.00,  1.64,   53025206,   51001000,    2000000
6196910.exe ,  0.71,  0.69,  0.05,  0.00,  1.90,   60068009,   56964000,    2998000
6268068.exe ,  1.33,  1.29,  0.06,  0.00,  3.36,  108094861,  104074000,    4002000
630946.exe  ,  0.63,  0.61,  0.04,  0.00,  1.62,   52039812,   46022000,    6002000
637097.exe  ,  1.44,  1.40,  0.08,  0.00,  3.62,  115526287,  106546000,    8961000
6379333.exe ,  0.65,  0.63,  0.04,  0.00,  1.67,   54135072,   51935000,    1997000
6437364.exe ,  0.62,  0.61,  0.04,  0.00,  1.64,   52472277,   48479000,    3957000
6581060.exe ,  0.63,  0.62,  0.04,  0.00,  1.67,   52769466,   43764000,    8951000
6629192.exe ,  1.35,  1.31,  0.07,  0.00,  3.45,  108380780,  102279000,    6016000
6669955.exe ,  0.70,  0.68,  0.05,  0.00,  1.85,   59502642,   52484000,    6931000
6788249.exe ,  0.93,  0.91,  0.05,  0.00,  2.40,   81407710,   77366000,    4019000
6808700.exe ,  0.72,  0.70,  0.05,  0.00,  1.89,   60840084,   57817000,    2990000
6846211.exe ,  0.64,  0.61,  0.05,  0.00,  1.79,   61818091,   58804000,    2990000
6850112.exe ,  0.61,  0.59,  0.04,  0.00,  1.64,   52870043,   47756000,    4974000
6941529.exe ,  1.35,  1.32,  0.06,  0.00,  3.40,  107075142,  104953000,    1999000
6978096.exe ,  0.63,  0.61,  0.04,  0.00,  1.63,   51936841,   45916000,    5989000
7110392.exe ,  0.66,  0.64,  0.04,  0.00,  1.69,   53689242,   46616000,    6942000
7147241.exe ,  0.66,  0.63,  0.04,  0.00,  1.68,   54272275,   51205000,    3012000
7171152.exe ,  0.61,  0.60,  0.03,  0.00,  1.60,   50259439,   48234000,    2009000
7246995.exe ,  0.58,  0.56,  0.04,  0.00,  1.60,   53895256,   49876000,    3990000
7277441.exe ,  0.64,  0.63,  0.04,  0.00,  1.66,   53155176,   50119000,    3007000
7371342.exe ,  1.37,  1.33,  0.07,  0.00,  3.42,  107838150,   99747000,    7979000
7393459.exe ,  0.82,  0.78,  0.06,  0.00,  2.15,   69339492,   61287000,    8037000
752441.exe  ,  1.42,  1.37,  0.08,  0.00,  3.65,  118471855,  115435000,    3011000
7584430.exe ,  0.73,  0.70,  0.04,  0.00,  1.90,   61179379,   58042000,    3002000
7789629.exe ,  1.36,  1.33,  0.07,  0.00,  3.39,  108744839,  102615000,    5977000
7850041.exe ,  0.71,  0.69,  0.05,  0.00,  1.87,   59243774,   54200000,    5018000
7923020.exe ,  0.75,  0.74,  0.05,  0.00,  2.02,   63902137,   58887000,    4990000
8075161.exe ,  1.35,  1.32,  0.06,  0.00,  3.41,  108481810,  104479000,    3980000
8134220.exe ,  1.53,  1.49,  0.08,  0.00,  3.84,  123687857,  118667000,    4986000
8171167.exe ,  0.85,  0.83,  0.06,  0.00,  2.22,   71906607,   63912000,    7989000
8308406.exe ,  1.40,  1.36,  0.07,  0.00,  3.47,  109993733,  103820000,    6047000
8401816.exe ,  1.36,  1.33,  0.06,  0.00,  3.40,  106778027,  100768000,    5986000
863410.exe  ,  2.81,  2.71,  0.23,  0.00,  7.52,  263453428,  245442000,   17959000
8651252.exe ,  1.40,  1.36,  0.07,  0.00,  3.52,  109808041,  104761000,    4988000
997739.exe  ,  0.65,  0.63,  0.04,  0.00,  1.69,   52952707,   51922000,     998000
