file,pkg,cores,ram,gpu,psys,duration_time,user_time,system_time,perf_time
1536382.exe ,  3.26,  3.15,  0.19,  0.00,  8.59,  276829612,  265139000,   11005000,  290195261
1605758.exe ,  3.82,  3.70,  0.21,  0.00,  9.92,  329374751,  320311000,    9008000,  341607229
1627487.exe ,  8.37,  8.10,  0.43,  0.00, 21.07,  743917737,  732857000,   10997000,  756179358
1734547.exe ,  8.10,  7.85,  0.39,  0.00, 21.06,  693937369,  657841000,   35991000,  706152956
2002873.exe ,  8.12,  7.87,  0.39,  0.00, 21.09,  693435783,  655400000,   37965000,  705652392
2049538.exe ,  5.00,  4.84,  0.26,  0.00, 13.10,  432036392,  424978000,    6999000,  444327698
2134592.exe ,  3.02,  2.93,  0.15,  0.00,  7.87,  257400505,  256277000,    1001000,  269678491
2365914.exe ,  2.68,  2.59,  0.13,  0.00,  6.92,  223739995,  218710000,    5016000,  236015924
2505532.exe ,  5.14,  4.98,  0.24,  0.00, 13.31,  431126476,  401990000,   28999000,  443793412
2527896.exe ,  3.51,  3.40,  0.18,  0.00,  9.08,  296647518,  289580000,    6989000,  308919280
2640086.exe ,  2.50,  2.42,  0.12,  0.00,  6.50,  211795243,  203736000,    8029000,  224109196
3014683.exe ,  3.31,  3.20,  0.16,  0.00,  8.62,  277167436,  272139000,    5002000,  289402439
3018918.exe ,  5.13,  4.95,  0.32,  0.00, 12.90,  449542589,  438481000,   11012000,  461761629
3047601.exe ,  3.56,  3.46,  0.17,  0.00,  9.20,  297070138,  286046000,   11001000,  309380083
3113504.exe ,  4.75,  4.61,  0.24,  0.00, 11.78,  405195007,  397146000,    8002000,  419620476
3149650.exe ,  1.95,  1.89,  0.10,  0.00,  5.15,  167570009,  162526000,    5016000,  180333826
3242376.exe ,  2.56,  2.48,  0.13,  0.00,  6.70,  217187256,  213165000,    4003000,  230587669
3324029.exe ,  3.21,  3.12,  0.16,  0.00,  8.37,  275426054,  273395000,    2002000,  287669378
3583821.exe ,  2.82,  2.73,  0.14,  0.00,  7.47,  248090013,  211965000,   35994000,  260351911
3645873.exe ,  3.26,  3.17,  0.17,  0.00,  8.42,  274870087,  267849000,    6996000,  287172054
3660770.exe ,  2.29,  2.22,  0.11,  0.00,  6.03,  196667744,  189583000,    6984000,  208810491
