file,pkg,cores,ram,gpu,psys,duration_time,user_time,system_time
10178028.exe,  1.57,  1.52,  0.07,  0.00,  4.08,  131974071,  103633000,   27901000
1095744.exe ,  1.57,  1.52,  0.07,  0.00,  3.92,  130808394,  105782000,   24948000
1201761.exe ,  1.59,  1.55,  0.07,  0.00,  3.85,  130998534,   96983000,   33994000
1322833.exe ,  1.58,  1.53,  0.07,  0.00,  3.98,  131469779,   97268000,   34094000
1343819.exe ,  1.59,  1.54,  0.07,  0.00,  3.98,  132826794,   95804000,   36924000
1349457.exe ,  1.59,  1.54,  0.07,  0.00,  3.98,  131906813,  100922000,   30976000
1368556.exe ,  1.56,  1.51,  0.07,  0.00,  3.93,  132472673,   94611000,   37844000
1417617.exe ,  0.34,  0.32,  0.01,  0.00,  0.79,   25790993,   22789000,    2972000
1449665.exe ,  1.11,  1.08,  0.05,  0.00,  2.80,   90945404,   54956000,   35971000
1563740.exe ,  1.63,  1.59,  0.07,  0.00,  3.87,  132853025,  105852000,   26962000
1568383.exe ,  1.53,  1.48,  0.07,  0.00,  3.95,  133451481,   95264000,   38105000
1600646.exe ,  1.53,  1.49,  0.07,  0.00,  3.93,  130554429,   99664000,   30896000
1607191.exe ,  0.15,  0.15,  0.01,  0.00,  0.40,   14575782,   12493000,    2082000
1623932.exe ,  0.31,  0.30,  0.01,  0.00,  0.77,   25099060,   24984000,          0
163578.exe  ,  0.33,  0.32,  0.01,  0.00,  0.79,   25665511,   24669000,     986000
1658193.exe ,  0.30,  0.30,  0.01,  0.00,  0.72,   24836687,   24838000,          0
1799592.exe ,  1.58,  1.54,  0.07,  0.00,  3.76,  131253858,  105194000,   25802000
180566.exe  ,  0.34,  0.33,  0.02,  0.00,  0.84,   29153234,   28140000,    1005000
182761.exe  ,  1.49,  1.44,  0.07,  0.00,  3.71,  132563137,  102660000,   29901000
1873684.exe ,  0.92,  0.89,  0.05,  0.00,  2.51,   86459148,   57304000,   29155000
1931123.exe ,  1.58,  1.53,  0.07,  0.00,  3.79,  131985982,  102976000,   28993000
1950101.exe ,  1.52,  1.48,  0.07,  0.00,  3.91,  131457678,  103553000,   27879000
2102452.exe ,  1.53,  1.49,  0.07,  0.00,  3.93,  131213043,   93431000,   37770000
2157682.exe ,  1.53,  1.49,  0.07,  0.00,  3.94,  131340562,  103260000,   28070000
2349630.exe ,  1.57,  1.52,  0.07,  0.00,  4.03,  133655248,  100734000,   32913000
2351086.exe ,  0.34,  0.33,  0.01,  0.00,  0.85,   26550371,   25560000,     983000
2360855.exe ,  1.58,  1.54,  0.07,  0.00,  3.76,  131578033,   89324000,   42153000
2633688.exe ,  1.15,  1.12,  0.05,  0.00,  2.87,  102178228,   69021000,   33010000
2741683.exe ,  1.52,  1.47,  0.07,  0.00,  3.96,  130328409,   99385000,   30809000
2748277.exe ,  1.56,  1.52,  0.07,  0.00,  3.78,  131149296,   99049000,   32015000
299057.exe  ,  1.59,  1.54,  0.07,  0.00,  3.79,  130902395,  105905000,   24977000
3574254.exe ,  0.32,  0.32,  0.01,  0.00,  0.78,   26285682,   23365000,    2920000
3639900.exe ,  1.53,  1.49,  0.06,  0.00,  3.72,  128141642,   98038000,   30011000
3743333.exe ,  1.51,  1.47,  0.07,  0.00,  3.88,  130474867,  108385000,   22078000
3809348.exe ,  0.31,  0.29,  0.01,  0.00,  0.79,   26434582,   26439000,          0
3839240.exe ,  1.56,  1.52,  0.07,  0.00,  3.84,  131096117,  100963000,   29989000
3840609.exe ,  1.48,  1.44,  0.07,  0.00,  3.84,  128881540,   90538000,   38227000
3910898.exe ,  0.32,  0.31,  0.01,  0.00,  0.81,   25707313,   23691000,    1974000
3941233.exe ,  1.53,  1.48,  0.07,  0.00,  3.95,  131133355,  107108000,   24024000
3943646.exe ,  0.99,  0.96,  0.05,  0.00,  2.58,   90100502,   59057000,   31030000
3985410.exe ,  0.30,  0.29,  0.01,  0.00,  0.72,   24721498,   22757000,    1978000
3986867.exe ,  0.33,  0.32,  0.01,  0.00,  0.81,   26891359,   26852000,          0
4099008.exe ,  0.29,  0.29,  0.01,  0.00,  0.72,   24515819,   23539000,     980000
4158466.exe ,  1.53,  1.49,  0.07,  0.00,  3.97,  131287327,   96464000,   34806000
4267692.exe ,  1.52,  1.47,  0.07,  0.00,  3.93,  131151903,  106092000,   25021000
4483111.exe ,  1.56,  1.51,  0.07,  0.00,  3.96,  131063467,  102029000,   29008000
4548804.exe ,  1.54,  1.50,  0.07,  0.00,  3.94,  131506607,   97376000,   34132000
4597164.exe ,  1.57,  1.52,  0.07,  0.00,  4.01,  131798266,  102767000,   28934000
4910075.exe ,  1.54,  1.50,  0.07,  0.00,  3.88,  129415462,   97305000,   32100000
4955342.exe ,  1.56,  1.51,  0.07,  0.00,  3.97,  131149980,  103271000,   27803000
5011099.exe ,  0.32,  0.30,  0.01,  0.00,  0.75,   25019256,   25032000,          0
5210278.exe ,  1.48,  1.44,  0.07,  0.00,  3.84,  129381556,   97520000,   31843000
5408902.exe ,  1.56,  1.52,  0.07,  0.00,  4.03,  131902760,   91776000,   39902000
5585521.exe ,  0.92,  0.89,  0.04,  0.00,  2.26,   70905548,   66990000,    3940000
559559.exe  ,  0.32,  0.32,  0.01,  0.00,  0.80,   25680014,   24686000,     987000
579108.exe  ,  0.32,  0.32,  0.01,  0.00,  0.76,   25647956,   24663000,     986000
580014.exe  ,  1.55,  1.50,  0.07,  0.00,  4.01,  131264724,  100067000,   31021000
5856149.exe ,  1.53,  1.49,  0.07,  0.00,  3.97,  132653456,  109695000,   22936000
5857120.exe ,  1.50,  1.46,  0.07,  0.00,  3.88,  128829397,   96843000,   31948000
5860054.exe ,  0.34,  0.33,  0.01,  0.00,  0.84,   27371254,   26337000,    1012000
5904708.exe ,  1.55,  1.51,  0.07,  0.00,  3.96,  131223559,   99160000,   32052000
5934509.exe ,  0.33,  0.32,  0.01,  0.00,  0.80,   25992672,   24996000,     999000
6138905.exe ,  0.32,  0.31,  0.01,  0.00,  0.76,   25601997,   25601000,          0
6139086.exe ,  1.54,  1.50,  0.07,  0.00,  3.93,  131804955,  109836000,   21967000
618530.exe  ,  0.99,  0.96,  0.05,  0.00,  2.66,   90550387,   65664000,   24872000
6317098.exe ,  1.58,  1.53,  0.07,  0.00,  4.05,  133619566,  105486000,   28129000
6801844.exe ,  1.49,  1.44,  0.07,  0.00,  3.92,  134961369,   99967000,   34988000
6967734.exe ,  1.54,  1.51,  0.07,  0.00,  4.07,  131746635,   98741000,   32913000
6977351.exe ,  1.56,  1.51,  0.07,  0.00,  4.02,  131851254,   98865000,   32955000
6984030.exe ,  0.99,  0.97,  0.04,  0.00,  2.48,   87197033,   54113000,   33069000
7514518.exe ,  1.53,  1.49,  0.07,  0.00,  3.93,  130435789,   96571000,   33849000
7693072.exe ,  1.01,  0.99,  0.05,  0.00,  2.53,   89331505,   60450000,   28738000
7841352.exe ,  1.50,  1.46,  0.07,  0.00,  3.92,  135644844,   94747000,   40891000
