file,pkg,cores,ram,gpu,psys,duration_time,user_time,system_time
1168229.exe ,  3.16,  3.07,  0.14,  0.00,  7.91,  245001229,  235668000,    8987000
1239379.exe ,  2.45,  2.38,  0.10,  0.00,  6.02,  190771521,  185757000,    4993000
1253440.exe ,  0.94,  0.92,  0.05,  0.00,  2.39,   78097818,   70976000,    6997000
1363825.exe ,  3.28,  3.15,  0.29,  0.00,  9.14,  325528713,  306522000,   18970000
1373378.exe ,  3.49,  3.34,  0.29,  0.00,  9.70,  338340766,  321134000,   17007000
1380046.exe ,  2.95,  2.86,  0.14,  0.00,  7.58,  253952168,  247853000,    5996000
1405031.exe ,  2.72,  2.64,  0.11,  0.00,  6.87,  218001614,  211971000,    5999000
1484788.exe ,  2.65,  2.54,  0.17,  0.00,  7.11,  237603344,  106169000,   10914000
1651759.exe ,  2.80,  2.71,  0.17,  0.00,  7.23,  245139859,  189028000,   56008000
1757160.exe ,  1.44,  1.39,  0.07,  0.00,  3.79,  130153283,  122015000,    8001000
1794636.exe ,  3.01,  2.92,  0.13,  0.00,  7.46,  245422781,  238389000,    7011000
1841293.exe ,  1.71,  1.65,  0.12,  0.00,  4.69,  168655510,  154670000,   13970000
208193.exe  ,  1.37,  1.34,  0.08,  0.00,  3.67,  128935854,  114922000,   13990000
208205.exe  ,  0.96,  0.92,  0.05,  0.00,  2.49,   80739713,   73730000,    6974000
213413.exe  ,  2.44,  2.37,  0.10,  0.00,  6.02,  191404415,  186381000,    5010000
2265253.exe ,  3.18,  3.09,  0.15,  0.00,  8.26,  281467944,  277413000,    3991000
2289173.exe ,  0.98,  0.95,  0.05,  0.00,  2.54,   84752116,   78752000,    5981000
2354500.exe ,  3.01,  2.90,  0.21,  0.00,  8.70,  304073786,  285048000,   19003000
2363790.exe ,  3.34,  3.23,  0.18,  0.00,  8.80,  288479583,  275470000,   12975000
2364548.exe ,  0.86,  0.83,  0.04,  0.00,  2.24,   73067691,   69037000,    4002000
2366881.exe ,  3.41,  3.28,  0.30,  0.00,  9.52,  331839718,  317817000,   13991000
2369365.exe ,  1.21,  1.16,  0.09,  0.00,  3.18,  104182325,   95059000,    9005000
2473478.exe ,  0.81,  0.79,  0.04,  0.00,  2.08,   69068624,   68037000,    1000000
2487064.exe ,  4.93,  4.76,  0.36,  0.00, 13.36,  450189086,  433148000,   17005000
2547532.exe ,  1.50,  1.45,  0.08,  0.00,  4.04,  143037135,  130915000,   11992000
2632607.exe ,  2.94,  2.85,  0.14,  0.00,  7.59,  256242822,  247186000,    9006000
2981499.exe ,  3.75,  3.64,  0.20,  0.00,  9.51,  301998066,  203382000,   13587000
2983245.exe ,  4.85,  4.68,  0.35,  0.00, 13.05,  446312541,  430205000,   16007000
2985036.exe ,  4.90,  4.72,  0.36,  0.00, 13.27,  449017914,  432980000,   15999000
2987448.exe ,  4.89,  4.72,  0.36,  0.00, 13.42,  450653098,  433635000,   16985000
2993463.exe ,  0.88,  0.85,  0.04,  0.00,  2.29,   75455555,   71370000,    4020000
3032867.exe ,  3.42,  3.28,  0.32,  0.00,  9.82,  344471273,  318482000,   25957000
