file,pkg,cores,ram,gpu,psys,duration_time,user_time,system_time
1141757.exe ,  1.66,  1.60,  0.07,  0.00,  4.00,  133062771,  130598000,    2009000
1194834.exe ,  2.88,  2.79,  0.16,  0.00,  7.31,  244913805,  235791000,    8992000
1334614.exe ,  1.64,  1.58,  0.07,  0.00,  3.89,  133547678,  129516000,    3985000
1369810.exe ,  1.91,  1.85,  0.08,  0.00,  4.61,  156769894,  151656000,    4988000
1376527.exe ,  1.68,  1.63,  0.07,  0.00,  4.09,  138744933,  136591000,    2008000
1394267.exe ,  0.89,  0.87,  0.04,  0.00,  2.17,   74150276,   72133000,    2003000
1702636.exe ,  1.78,  1.72,  0.08,  0.00,  4.31,  144616945,  141118000,    2981000
1828655.exe ,  2.63,  2.55,  0.11,  0.00,  6.25,  208016741,  206993000,    1004000
1993016.exe ,  4.18,  4.06,  0.19,  0.00, 10.27,  360184771,  353155000,    7003000
200463.exe  ,  2.60,  2.53,  0.11,  0.00,  6.18,  204066947,  202094000,    1991000
215691.exe  ,  1.31,  1.27,  0.06,  0.00,  3.17,  106639119,  101557000,    4978000
2182933.exe ,  1.70,  1.65,  0.07,  0.00,  4.13,  141503116,  138500000,    2989000
2283561.exe ,  1.82,  1.76,  0.08,  0.00,  4.46,  151801259,  144793000,    6990000
2317321.exe ,  1.56,  1.52,  0.07,  0.00,  3.77,  129307982,  128294000,    1002000
2473888.exe ,  2.49,  2.42,  0.10,  0.00,  5.99,  197070522,  193039000,    4000000
2557813.exe ,  1.67,  1.62,  0.07,  0.00,  4.12,  143313911,  141305000,    2004000
2870679.exe ,  1.56,  1.51,  0.07,  0.00,  3.87,  137653689,  134319000,    2984000
2876767.exe ,  1.66,  1.61,  0.08,  0.00,  4.17,  148144130,  145020000,    3000000
2956436.exe ,  1.55,  1.50,  0.07,  0.00,  3.80,  129435947,  125434000,    3982000
2961485.exe ,  3.41,  3.32,  0.17,  0.00,  8.55,  280451297,  274402000,    6008000
315901.exe  ,  1.10,  1.07,  0.05,  0.00,  2.78,   94787179,   92773000,    1995000
3310511.exe ,  1.67,  1.62,  0.07,  0.00,  4.09,  139473798,  136475000,    2988000
3448452.exe ,  1.54,  1.50,  0.07,  0.00,  3.76,  129340178,  127312000,    2004000
3533053.exe ,  2.73,  2.65,  0.11,  0.00,  6.64,  217619276,  212596000,    4990000
3576195.exe ,  1.46,  1.42,  0.06,  0.00,  3.55,  120505213,  117377000,    3009000
3581799.exe ,  5.15,  4.99,  0.22,  0.00, 12.47,  433958416,  432925000,     999000
3642321.exe ,  1.71,  1.67,  0.07,  0.00,  4.19,  142389504,  142233000,          0
3707962.exe ,  1.26,  1.22,  0.05,  0.00,  3.09,  104819568,  100802000,    3992000
3753320.exe ,  1.58,  1.54,  0.07,  0.00,  3.83,  130156861,  129089000,    1000000
385823.exe  , 11.27, 10.91,  0.51,  0.00, 27.76, 1000163672,  998899000,     999000
4010334.exe ,  1.68,  1.63,  0.08,  0.00,  4.21,  142724400,  141707000,     997000
402806.exe  ,  1.60,  1.55,  0.07,  0.00,  3.84,  130993267,  128852000,    1997000
4110986.exe ,  2.95,  2.87,  0.12,  0.00,  7.14,  233856129,  230837000,    2997000
4292167.exe ,  2.61,  2.53,  0.11,  0.00,  6.25,  205292691,  203265000,    2002000
4327744.exe , 18.56, 18.01,  0.83,  0.00, 44.77, 1540742749, 1532498000,    8002000
4340748.exe ,  1.71,  1.66,  0.07,  0.00,  4.15,  141138063,  140005000,    1000000
4455594.exe ,  1.28,  1.24,  0.06,  0.00,  3.13,  106065687,  100885000,    4994000
4555067.exe ,  1.22,  1.18,  0.05,  0.00,  3.02,  103991120,   99973000,    3998000
4625115.exe ,  2.62,  2.56,  0.11,  0.00,  6.38,  210836606,  205828000,    4995000
4646902.exe ,  1.72,  1.67,  0.07,  0.00,  4.20,  143457674,  140459000,    2988000
466493.exe  ,  8.87,  8.59,  0.40,  0.00, 21.75,  776731558,  770697000,    5997000
4699989.exe ,  1.67,  1.62,  0.08,  0.00,  4.13,  144166651,  142129000,    2001000
4888119.exe ,  1.57,  1.53,  0.07,  0.00,  3.87,  131454625,  128425000,    3009000
4909871.exe ,  6.28,  6.08,  0.33,  0.00, 15.75,  561047608,  556937000,    3999000
4958343.exe ,  2.65,  2.57,  0.11,  0.00,  6.46,  210838694,  204824000,    5994000
5160992.exe ,  1.26,  1.23,  0.06,  0.00,  3.10,  107872106,   99886000,    7990000
5253674.exe ,  2.80,  2.72,  0.12,  0.00,  6.85,  223235901,  220215000,    3002000
5470489.exe ,  1.22,  1.19,  0.06,  0.00,  3.08,  105431764,  103349000,    1987000
5473977.exe ,  1.59,  1.55,  0.07,  0.00,  3.92,  131222244,  128015000,    3000000
5494547.exe ,  1.61,  1.56,  0.07,  0.00,  3.91,  132630007,  129620000,    2991000
5550352.exe ,  1.24,  1.20,  0.05,  0.00,  3.12,  105001774,  103870000,     998000
576026.exe  ,  1.74,  1.69,  0.08,  0.00,  4.31,  145635500,  137534000,    7973000
5961211.exe ,  1.77,  1.71,  0.08,  0.00,  4.35,  144292006,  141261000,    2984000
5975913.exe ,  1.96,  1.90,  0.09,  0.00,  4.89,  168022392,  165004000,    3000000
5976816.exe ,  2.79,  2.71,  0.11,  0.00,  6.66,  212106569,  209065000,    3000000
5978424.exe ,  2.68,  2.60,  0.11,  0.00,  6.46,  210664576,  206696000,    3994000
5979286.exe ,  1.38,  1.34,  0.06,  0.00,  3.40,  112789109,  112636000,          0
5979571.exe ,  1.41,  1.38,  0.06,  0.00,  3.40,  113378368,  111355000,    2006000
5980827.exe ,  2.64,  2.57,  0.11,  0.00,  6.38,  208977427,  207936000,     999000
5981368.exe ,  2.02,  1.96,  0.09,  0.00,  4.91,  167070674,  159695000,    6986000
5987243.exe ,  1.56,  1.51,  0.07,  0.00,  3.86,  132553015,  130542000,    2008000
5990492.exe ,  2.62,  2.54,  0.11,  0.00,  6.35,  209748344,  207734000,    1997000
6040995.exe ,  2.58,  2.51,  0.11,  0.00,  6.28,  204883744,  202698000,    1997000
6236007.exe ,  1.43,  1.40,  0.06,  0.00,  3.50,  120609602,  119596000,    1005000
6322230.exe ,  2.63,  2.56,  0.11,  0.00,  6.41,  208588549,  205548000,    3008000
6463124.exe ,  6.29,  6.08,  0.33,  0.00, 15.74,  553241997,  551089000,    2000000
703894.exe  ,  2.65,  2.57,  0.11,  0.00,  6.36,  207344990,  206330000,    1001000
7091608.exe ,  2.54,  2.46,  0.11,  0.00,  6.32,  212625943,  211486000,    1002000
