file,pkg,cores,ram,gpu,psys,duration_time,user_time,system_time
1536382.exe ,  1.82,  1.76,  0.12,  0.00,  4.90,  154471066,  136101000,   17881000
1605758.exe ,  1.84,  1.78,  0.11,  0.00,  4.90,  159192497,  149153000,   10010000
1627487.exe ,  3.96,  3.84,  0.21,  0.00, 10.29,  332386509,  321345000,   11011000
1734547.exe ,  4.36,  4.23,  0.22,  0.00, 11.40,  369472146,  340424000,   29036000
2002873.exe ,  4.49,  4.36,  0.23,  0.00, 11.59,  376809514,  346782000,   29981000
2049538.exe ,  1.99,  1.92,  0.12,  0.00,  5.20,  169890362,  163767000,    5991000
2134592.exe ,  1.39,  1.34,  0.08,  0.00,  3.72,  118590241,  114498000,    3982000
2365914.exe ,  1.46,  1.41,  0.08,  0.00,  3.86,  122577926,  120541000,    2009000
2505532.exe ,  3.69,  3.58,  0.17,  0.00,  9.45,  308078171,  284044000,   24003000
2527896.exe ,  1.85,  1.79,  0.10,  0.00,  4.84,  157382433,  151311000,    5972000
2640086.exe ,  1.46,  1.41,  0.08,  0.00,  3.83,  124717053,  115711000,    8977000
3014683.exe ,  1.56,  1.52,  0.08,  0.00,  4.13,  132533984,  122535000,    9962000
3018918.exe ,  2.57,  2.48,  0.20,  0.00,  7.01,  225314165,  209260000,   16019000
3047601.exe ,  1.64,  1.59,  0.09,  0.00,  4.37,  140749707,  130742000,    9980000
3113504.exe ,  2.38,  2.30,  0.13,  0.00,  6.16,  193582166,  186453000,    6979000
3149650.exe ,  1.39,  1.35,  0.08,  0.00,  3.76,  122694876,  117572000,    5024000
3242376.exe ,  1.51,  1.45,  0.08,  0.00,  3.97,  129771564,  120694000,    9052000
3324029.exe ,  1.27,  1.24,  0.07,  0.00,  3.45,  114336641,  108314000,    6017000
3583821.exe ,  2.15,  2.07,  0.11,  0.00,  5.78,  191442059,  164295000,   27048000
3645873.exe ,  2.08,  2.02,  0.12,  0.00,  5.48,  177270547,  168235000,    9012000
3660770.exe ,  1.31,  1.26,  0.07,  0.00,  3.50,  115614726,  109608000,    5978000
3722205.exe ,  4.67,  4.52,  0.29,  0.00, 12.56,  412045808,  364026000,   48003000
3806326.exe ,  1.75,  1.69,  0.12,  0.00,  4.65,  146806185,  142692000,    3991000
3843447.exe ,  1.89,  1.83,  0.11,  0.00,  5.12,  168842157,  161823000,    6992000
3950897.exe ,  2.18,  2.11,  0.12,  0.00,  5.75,  183842309,  175824000,    7992000
4006798.exe ,  1.35,  1.30,  0.07,  0.00,  3.62,  114620655,  109612000,    4982000
4176362.exe ,  2.24,  2.16,  0.13,  0.00,  6.12,  202844775,  155870000,   46960000
4239983.exe ,  4.11,  3.98,  0.22,  0.00, 10.77,  346658771,  309639000,   36956000
4267993.exe ,  1.88,  1.82,  0.10,  0.00,  4.97,  158988542,  149966000,    8998000
4558965.exe ,  2.65,  2.57,  0.15,  0.00,  7.11,  232191681,  204145000,   28019000
4561699.exe ,  2.52,  2.43,  0.20,  0.00,  6.76,  215776253,  204733000,   10985000
4577882.exe ,  2.62,  2.54,  0.15,  0.00,  7.09,  232006699,  206973000,   24996000
4619221.exe ,  1.08,  1.04,  0.06,  0.00,  2.90,   92719656,   85651000,    6971000
4649754.exe ,  1.48,  1.45,  0.08,  0.00,  3.95,  127648527,  124533000,    3012000
4698440.exe ,  3.25,  3.15,  0.15,  0.00,  8.53,  272170020,  237082000,   35012000
4776943.exe ,  2.08,  2.01,  0.11,  0.00,  5.71,  188782881,  155777000,   32952000
4811930.exe ,  1.45,  1.40,  0.08,  0.00,  3.87,  122904957,  112893000,    9990000
5053992.exe ,  1.54,  1.49,  0.10,  0.00,  4.20,  138144380,  129184000,    8943000
5071471.exe ,  1.36,  1.31,  0.07,  0.00,  3.62,  114583781,  110456000,    3980000
5180754.exe ,  1.37,  1.32,  0.07,  0.00,  3.65,  115422335,  109319000,    5962000
5235255.exe ,  2.90,  2.79,  0.27,  0.00,  7.91,  249533592,  235477000,   14028000
5259871.exe ,  1.83,  1.77,  0.10,  0.00,  4.83,  150606072,  141540000,    8970000
5341331.exe ,  1.43,  1.38,  0.08,  0.00,  3.83,  123867257,  116841000,    6990000
5395059.exe ,  4.71,  4.54,  0.35,  0.00, 12.97,  419646691,  381514000,   38051000
5414988.exe ,  1.43,  1.39,  0.08,  0.00,  3.83,  123480615,  118400000,    5016000
6184270.exe ,  2.99,  2.90,  0.17,  0.00,  7.93,  258078182,  219997000,   37999000
6496522.exe ,  3.03,  2.94,  0.19,  0.00,  7.92,  249971877,  238939000,   10997000
6584489.exe ,  1.81,  1.76,  0.10,  0.00,  4.84,  154538113,  147535000,    6978000
6763356.exe ,  2.26,  2.20,  0.13,  0.00,  5.97,  191544562,  184531000,    6982000
6786405.exe ,  1.27,  1.23,  0.07,  0.00,  3.43,  109959023,  104934000,    4996000
6901034.exe ,  1.92,  1.86,  0.14,  0.00,  5.38,  176438478,  169414000,    7017000
6977008.exe ,  1.67,  1.61,  0.09,  0.00,  4.70,  152784149,  114622000,   37875000
7014682.exe ,  2.55,  2.46,  0.15,  0.00,  6.97,  228870629,  197839000,   30974000
7100074.exe ,  4.38,  4.24,  0.22,  0.00, 11.65,  369018948,  335945000,   32994000
7104787.exe ,  3.53,  3.42,  0.17,  0.00,  9.41,  302560691,  269479000,   33058000
7146604.exe ,  4.40,  4.25,  0.22,  0.00, 11.59,  368804560,  331800000,   36977000
7147923.exe ,  2.15,  2.09,  0.13,  0.00,  5.76,  188420851,  180358000,    7971000
7191139.exe ,  2.89,  2.80,  0.17,  0.00,  7.80,  254425356,  212491000,   41899000
7309283.exe ,  2.25,  2.19,  0.14,  0.00,  6.16,  198800893,  189773000,    8989000
7458115.exe ,  6.10,  5.89,  0.33,  0.00, 17.15,  572336253,  561276000,   11005000
7570226.exe ,  1.42,  1.39,  0.07,  0.00,  3.78,  122554314,  117536000,    4980000
7650173.exe ,  2.42,  2.34,  0.14,  0.00,  6.40,  200481738,  193422000,    7015000
7666283.exe ,  3.69,  3.58,  0.18,  0.00,  9.71,  310701109,  276713000,   33964000
7863059.exe ,  0.52,  0.51,  0.03,  0.00,  1.37,   45746365,   40751000,    4969000
7919595.exe ,  4.27,  4.13,  0.23,  0.00, 11.21,  359048065,  326019000,   33001000
8029926.exe ,  3.72,  3.60,  0.18,  0.00,  9.83,  314222621,  279142000,   35017000
8073980.exe ,  1.78,  1.72,  0.10,  0.00,  4.85,  160112672,  126061000,   34016000
8074507.exe ,  1.55,  1.51,  0.09,  0.00,  4.18,  134529230,  121554000,   12952000
8165818.exe ,  1.98,  1.92,  0.11,  0.00,  5.43,  178526908,  142577000,   35893000
8207584.exe ,  1.53,  1.49,  0.07,  0.00,  4.03,  128081696,  123045000,    5001000
8261100.exe ,  1.45,  1.41,  0.10,  0.00,  3.99,  131357316,  115300000,   16041000
8341326.exe ,  1.75,  1.69,  0.12,  0.00,  4.67,  147823116,  140793000,    6989000
8346248.exe ,  3.65,  3.55,  0.17,  0.00,  9.47,  304509822,  275502000,   28947000
8414692.exe ,  1.47,  1.42,  0.08,  0.00,  3.93,  124992488,  120970000,    3999000
8470877.exe ,  1.77,  1.70,  0.12,  0.00,  4.77,  151485883,  141342000,   10024000
8537684.exe ,  1.68,  1.62,  0.11,  0.00,  4.55,  143707489,  138637000,    5023000
8601923.exe ,  2.10,  2.03,  0.15,  0.00,  5.61,  174729948,  161604000,   13048000
8613113.exe ,  3.81,  3.70,  0.16,  0.00,  9.88,  314227132,  286203000,   27922000
8627888.exe ,  3.69,  3.58,  0.17,  0.00,  9.68,  309454981,  284361000,   24943000
8699117.exe ,  2.09,  2.02,  0.11,  0.00,  5.80,  190007658,  150985000,   38996000
