file,pkg,cores,ram,gpu,psys,duration_time,user_time,system_time
1091584.exe ,  1.49,  1.45,  0.07,  0.00,  3.83,  138386396,  133120000,    4967000
1680187.exe ,  1.69,  1.65,  0.07,  0.00,  4.39,  141499338,  139399000,    2005000
1723554.exe ,  1.52,  1.48,  0.07,  0.00,  3.96,  129449267,  121445000,    7963000
176146.exe  ,  1.71,  1.66,  0.08,  0.00,  4.19,  143648097,  140632000,    2992000
1910626.exe ,  1.49,  1.44,  0.08,  0.00,  3.93,  140928777,  135911000,    4996000
1953417.exe ,  1.06,  1.01,  0.05,  0.00,  2.69,   94405650,   89462000,    4970000
2004438.exe ,  1.62,  1.57,  0.08,  0.00,  4.23,  154992159,  151958000,    2999000
202443.exe  ,  1.53,  1.48,  0.08,  0.00,  4.01,  144674302,  141661000,    2992000
2307838.exe ,  1.11,  1.06,  0.12,  0.00,  2.82,   89603098,   84494000,    4970000
2337463.exe ,  1.20,  1.17,  0.06,  0.00,  2.95,  101824455,   92759000,    8976000
2409014.exe ,  1.64,  1.59,  0.08,  0.00,  4.12,  144640156,  139660000,    4987000
2451062.exe ,  1.63,  1.58,  0.08,  0.00,  4.17,  147101501,  141963000,    4998000
2516802.exe ,  1.14,  1.08,  0.11,  0.00,  3.84,  148175298,    1895000,    4322000
2534515.exe ,  1.17,  1.14,  0.05,  0.00,  2.86,   97486770,   91495000,    5967000
2538223.exe ,  1.76,  1.70,  0.09,  0.00,  4.56,  163193151,  162057000,    1000000
2970400.exe ,  3.40,  3.32,  0.13,  0.00,  8.24,  258744096,  254646000,    3994000
2992391.exe ,  1.46,  1.40,  0.07,  0.00,  4.01,  136139266,  134110000,    2001000
3079464.exe ,  1.44,  1.39,  0.07,  0.00,  3.80,  140290217,  136301000,    3979000
3229339.exe ,  1.09,  1.05,  0.05,  0.00,  2.73,   94981064,   89834000,    4990000
3370629.exe ,  1.58,  1.52,  0.08,  0.00,  4.16,  151633435,  146554000,    4984000
3372074.exe ,  1.12,  1.09,  0.05,  0.00,  2.75,   95258159,   93241000,    2005000
3375350.exe ,  3.70,  3.59,  0.15,  0.00,  9.13,  287046395,  282018000,    5018000
3385679.exe ,  2.79,  2.59,  0.46,  0.00,  7.38,  219714968,  213693000,    5991000
3422843.exe ,  4.00,  3.87,  0.18,  0.00,  9.61,  333116991,  326104000,    7002000
3523688.exe ,  1.78,  1.72,  0.09,  0.00,  4.74,  176018804,  169998000,    5999000
3529361.exe ,  1.13,  1.08,  0.05,  0.00,  2.81,   96325930,   92263000,    4011000
3661212.exe ,  1.59,  1.54,  0.08,  0.00,  4.14,  151144907,  145996000,    4999000
3663182.exe ,  1.43,  1.39,  0.07,  0.00,  3.84,  142311598,  139308000,    2985000
3760856.exe ,  1.66,  1.61,  0.08,  0.00,  4.16,  143398308,  140266000,    3005000
3883785.exe ,  1.49,  1.45,  0.07,  0.00,  3.65,  124237173,  119973000,    3999000
4184640.exe ,  1.29,  1.25,  0.06,  0.00,  3.21,  110492266,  107467000,    3013000
424396.exe  ,  1.57,  1.52,  0.08,  0.00,  4.07,  145213110,  139077000,    6003000
4492853.exe ,  1.52,  1.47,  0.07,  0.00,  3.92,  141436127,  138317000,    3006000
4504170.exe ,  3.20,  3.11,  0.14,  0.00,  7.66,  260640843,  252620000,    7987000
4742667.exe ,  1.40,  1.36,  0.07,  0.00,  4.05,  142783385,  138691000,    3991000
4782128.exe ,  1.59,  1.53,  0.08,  0.00,  4.17,  151387920,  149360000,    2004000
