file,pkg,cores,ram,gpu,psys,duration_time,user_time,system_time
1135633.exe ,  2.19,  2.13,  0.10,  0.00,  5.33,  177325487,  170957000,    5998000
1247568.exe ,  3.39,  3.29,  0.14,  0.00,  8.00,  266830832,  261739000,    4995000
1265407.exe ,  2.04,  1.98,  0.10,  0.00,  5.17,  178379620,  174360000,    4008000
1290299.exe ,  2.13,  2.06,  0.10,  0.00,  5.28,  176882779,  168865000,    7993000
1291495.exe ,  1.69,  1.64,  0.08,  0.00,  4.13,  140051775,  135024000,    5000000
1376560.exe ,  2.01,  1.95,  0.10,  0.00,  5.00,  168789175,  160747000,    7987000
1442933.exe ,  2.06,  1.99,  0.10,  0.00,  5.31,  174760007,  172738000,    1996000
1510302.exe ,  2.16,  2.10,  0.10,  0.00,  5.43,  178423637,  170310000,    7967000
1545872.exe ,  2.11,  2.04,  0.10,  0.00,  5.37,  175602840,  171523000,    3988000
1832846.exe ,  2.03,  1.97,  0.09,  0.00,  4.96,  167315136,  164273000,    3005000
2004531.exe ,  3.50,  3.39,  0.16,  0.00,  8.19,  276373899,  272309000,    4004000
2059675.exe ,  5.59,  5.43,  0.28,  0.00, 14.10,  461582566,  454513000,    7007000
2147790.exe ,  2.09,  2.04,  0.10,  0.00,  5.23,  176826404,  170810000,    5993000
2267323.exe ,  3.67,  3.57,  0.16,  0.00,  8.82,  294593064,  289564000,    5009000
2384511.exe ,  2.10,  2.04,  0.10,  0.00,  5.24,  176966617,  171936000,    4998000
2531093.exe ,  2.15,  2.08,  0.10,  0.00,  5.46,  178470652,  176444000,    2005000
2589093.exe ,  2.08,  2.02,  0.10,  0.00,  5.04,  174238001,  167164000,    6965000
2772441.exe ,  2.31,  2.24,  0.11,  0.00,  5.90,  194948029,  191843000,    2997000
2962679.exe ,  2.64,  2.56,  0.13,  0.00,  6.64,  229097585,  224010000,    5000000
3053665.exe ,  2.14,  2.07,  0.10,  0.00,  5.48,  178925735,  171901000,    6996000
3072746.exe ,  2.04,  1.97,  0.10,  0.00,  5.14,  170687757,  167660000,    2993000
312198.exe  ,  3.66,  3.55,  0.17,  0.00,  9.13,  296199493,  292153000,    4002000
3138756.exe ,  2.08,  2.02,  0.10,  0.00,  5.17,  174137163,  169081000,    5002000
3291340.exe ,  7.50,  7.27,  0.37,  0.00, 19.58,  642019590,  630889000,   10998000
3296532.exe ,  2.08,  2.01,  0.10,  0.00,  5.53,  175610956,  168515000,    6979000
3323785.exe ,  3.33,  3.22,  0.15,  0.00,  8.03,  276153583,  270045000,    6001000
3334452.exe ,  3.98,  3.86,  0.19,  0.00,  9.81,  334887076,  327856000,    6996000
3337165.exe ,  3.23,  3.13,  0.18,  0.00,  8.39,  278622515,  255627000,   22966000
3396045.exe ,  2.08,  2.02,  0.10,  0.00,  5.34,  173948387,  166857000,    6994000
3587345.exe ,  2.04,  1.98,  0.10,  0.00,  5.04,  170867644,  163722000,    6988000
3645229.exe ,  2.49,  2.42,  0.12,  0.00,  6.23,  210427151,  207319000,    2990000
3683001.exe ,  5.79,  5.60,  0.30,  0.00, 14.70,  504228494,  490963000,   12999000
3687300.exe ,  2.48,  2.40,  0.12,  0.00,  6.28,  206574919,  199538000,    7018000
3752974.exe ,  2.05,  1.98,  0.10,  0.00,  5.08,  169287547,  163228000,    6008000
3826344.exe ,  2.13,  2.07,  0.10,  0.00,  5.41,  177044112,  175020000,    2000000
3827594.exe ,  3.42,  3.32,  0.16,  0.00,  8.49,  281274350,  277222000,    4003000
3863460.exe ,  2.10,  2.04,  0.10,  0.00,  5.44,  176133761,  167042000,    9002000
3882219.exe ,  2.17,  2.11,  0.11,  0.00,  5.45,  182359205,  176156000,    6005000
4222209.exe ,  3.47,  3.36,  0.15,  0.00,  8.79,  277275907,  274150000,    3001000
4328780.exe ,  2.00,  1.94,  0.10,  0.00,  5.03,  164387850,  161236000,    3004000
4415028.exe ,  3.46,  3.36,  0.15,  0.00,  8.51,  275690036,  270640000,    5011000
4552216.exe ,  2.13,  2.06,  0.10,  0.00,  5.16,  175277921,  172251000,    3004000
458603.exe  ,  2.16,  2.09,  0.11,  0.00,  5.47,  179576504,  173520000,    5983000
4637359.exe ,  2.10,  2.04,  0.10,  0.00,  5.31,  172776456,  166677000,    5988000
4870731.exe ,  2.26,  2.19,  0.11,  0.00,  5.55,  186362800,  180332000,    6011000
4939102.exe ,  2.06,  2.00,  0.10,  0.00,  5.25,  171023281,  162913000,    7995000
4970570.exe ,  3.33,  3.23,  0.16,  0.00,  8.41,  278478333,  272419000,    5987000
4990217.exe ,  3.24,  3.15,  0.14,  0.00,  8.14,  259178860,  252055000,    7001000
5118930.exe ,  2.10,  2.03,  0.10,  0.00,  5.27,  176433711,  172413000,    3986000
5120159.exe ,  3.35,  3.26,  0.15,  0.00,  8.47,  273345072,  268155000,    5002000
5191510.exe ,  1.99,  1.92,  0.10,  0.00,  4.95,  165919600,  161753000,    3993000
5214921.exe ,  3.80,  3.69,  0.17,  0.00,  9.51,  305079786,  300057000,    5000000
5368020.exe ,  2.18,  2.11,  0.11,  0.00,  5.83,  195099514,  187988000,    6999000
5372776.exe ,  3.29,  3.19,  0.15,  0.00,  8.02,  279088760,  274016000,    5000000
5444869.exe ,  2.15,  2.09,  0.10,  0.00,  5.56,  180049763,  170893000,    8994000
5618667.exe ,  2.07,  2.00,  0.10,  0.00,  5.20,  172872935,  170734000,    1996000
5777281.exe ,  5.21,  5.05,  0.27,  0.00, 13.08,  430008325,  421977000,    7999000
5924539.exe ,  2.06,  2.00,  0.10,  0.00,  5.34,  173597425,  165499000,    7975000
6107372.exe ,  3.40,  3.30,  0.16,  0.00,  8.52,  277234933,  267102000,    9966000
6239192.exe ,  1.85,  1.80,  0.08,  0.00,  4.64,  155682319,  152640000,    3012000
6345129.exe ,  3.39,  3.30,  0.15,  0.00,  8.47,  271520737,  267325000,    4004000
