@relation problema
@attribute 'pkg' real
@attribute 'cores' real
@attribute 'ram' real
@attribute 'gpu' real
@attribute 'psys' real
@attribute 'duration_time' real
@attribute 'user_time' real
@attribute 'system_time' real
@attribute 'class' {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31}
@data
1.57,1.51,0.07,0.00,4.00,130619246,102929000,27245000,0
1.53,1.49,0.07,0.00,3.90,129476848,100362000,29105000,0
1.60,1.55,0.07,0.00,3.81,130854695,97879000,32959000,0
1.59,1.54,0.07,0.00,3.78,130723958,102779000,27940000,0
1.57,1.53,0.07,0.00,3.76,130019433,105003000,25000000,0
1.54,1.50,0.07,0.00,3.93,131446823,99325000,32105000,0
0.31,0.31,0.01,0.00,0.78,26310324,25294000,1011000,0
0.95,0.92,0.05,0.00,2.58,87627713,57406000,30214000,0
1.54,1.50,0.07,0.00,3.99,132134895,101105000,31032000,0
0.31,0.31,0.01,0.00,0.79,25159521,24147000,1006000,0
0.31,0.30,0.01,0.00,0.80,25570199,23518000,1959000,0
0.29,0.28,0.01,0.00,0.75,24910119,23823000,992000,0
0.44,0.43,0.02,0.00,0.94,25837292,23768000,1980000,0
1.56,1.51,0.07,0.00,3.76,130041480,104244000,25813000,0
0.38,0.37,0.02,0.00,0.94,29287598,26338000,2926000,0
1.51,1.47,0.07,0.00,3.86,129366997,109206000,20037000,0
1.56,1.52,0.07,0.00,3.69,129415695,105274000,24062000,0
1.50,1.45,0.07,0.00,3.83,132435061,105337000,27086000,0
1.52,1.47,0.07,0.00,3.90,130998318,104970000,25992000,0
1.54,1.49,0.07,0.00,3.97,131534255,99648000,31887000,0
1.59,1.53,0.07,0.00,3.82,131080634,98032000,33011000,0
1.53,1.50,0.07,0.00,3.72,129683304,100475000,29137000,0
1.57,1.52,0.07,0.00,3.75,131209243,98135000,33045000,0
1.15,1.12,0.05,0.00,2.85,101473035,71317000,30134000,0
1.56,1.52,0.07,0.00,3.76,129925753,104939000,24985000,0
1.55,1.51,0.07,0.00,3.75,129698228,102751000,26934000,0
0.93,0.91,0.05,0.00,2.53,87736578,56400000,31221000,0
1.58,1.53,0.07,0.00,3.83,132123457,105089000,27023000,0
1.52,1.47,0.07,0.00,3.92,129967251,104963000,24991000,0
1.53,1.49,0.07,0.00,3.96,131206693,108072000,23015000,0
1.51,1.46,0.07,0.00,3.81,132215447,103162000,29045000,0
0.29,0.28,0.01,0.00,0.78,27850984,26832000,993000,0
1.51,1.47,0.07,0.00,3.90,130340193,95195000,35072000,0
0.33,0.32,0.01,0.00,0.82,25930013,23828000,1985000,0
1.51,1.46,0.07,0.00,3.89,129321280,101246000,28068000,0
1.52,1.47,0.07,0.00,3.94,129438074,102429000,26850000,0
0.32,0.32,0.01,0.00,0.78,26178806,25175000,1007000,0
1.52,1.47,0.07,0.00,3.94,130816100,104754000,25939000,0
1.50,1.46,0.07,0.00,3.89,129314981,98177000,31056000,0
0.25,0.24,0.02,0.00,0.78,31108137,31041000,0,0
1.54,1.49,0.07,0.00,3.98,132320996,102464000,29844000,0
1.52,1.48,0.07,0.00,3.94,130395843,100295000,30088000,0
0.33,0.32,0.01,0.00,0.81,26598156,25507000,1020000,0
0.29,0.29,0.01,0.00,0.72,24473539,23368000,1016000,0
1.50,1.46,0.07,0.00,3.88,129117276,103089000,26022000,0
1.52,1.47,0.07,0.00,3.78,129029252,97007000,32002000,0
1.55,1.50,0.07,0.00,4.00,132940080,106939000,25985000,0
1.57,1.52,0.07,0.00,4.02,132286872,99199000,33066000,0
1.56,1.52,0.07,0.00,3.84,130255184,97456000,32817000,0
1.54,1.50,0.07,0.00,3.88,129947960,102885000,26970000,0
0.33,0.32,0.02,0.00,0.79,26296492,25228000,1009000,0
1.57,1.52,0.07,0.00,4.00,131538857,110453000,21086000,0
0.31,0.30,0.01,0.00,0.79,24659391,22687000,1972000,0
0.92,0.89,0.04,0.00,2.24,68158319,68013000,0,0
1.54,1.49,0.07,0.00,3.95,128779131,105740000,22943000,0
1.61,1.55,0.07,0.00,4.09,133386360,103298000,29797000,0
0.93,0.91,0.04,0.00,2.27,70979732,67974000,2998000,0
0.32,0.32,0.01,0.00,0.79,25589720,23664000,1972000,0
0.32,0.31,0.01,0.00,0.78,25446119,25443000,0,0
