file,L1-dcache-loads,L1-dcache-load-misses,branch-instructions,branch-load-misses,branch-loads,branch-misses,cache-misses,cache-references,cpu-cycles,dTLB-load-misses,dTLB-loads,iTLB-loads,iTLB-load-misses,instructions,page-faults,power/energy-psys/,power/energy-pkg/,power/energy-cores/,power/energy-ram/,power/energy-gpu/,duration_time,user_time,system_time,perf_time
2279764.exe,44710564,231971,6036137,181212,5999743,173030,103111,2031002,505677993,12545,44513261,1872,4216,125391242,133,3.13,1.44,1.4,0.07,0.0,137308318,136054000,1000000,151413238
2282083.exe,827527503,1115827,486061329,3930634,486151293,3928856,332660,11833949,3465265395,84943,829041957,25736,23361,5646821310,129,21.48,9.69,9.41,0.47,0.0,934470874,932245000,1998000,948712072
2344548.exe,25534394,106267,3524167,75011,3570767,69945,91341,983829,187180861,6167,25411317,1219,1821,124265414,132,1.21,0.56,0.54,0.03,0.0,51274334,49974000,999000,65286068
2373932.exe,765629291,1641747,243922869,1026895,243872747,1022752,380140,20222714,6099372000,149980,765799915,29008,40874,2020573173,127,37.98,17.51,17.01,0.83,0.0,1652114630,1651280000,1000000,1666247555
247789.exe,19750631,142960,4199638,229830,4194056,233800,94845,807888,99917294,2552,20101268,416,797,115808076,132,0.62,0.28,0.28,0.01,0.0,26756570,24516000,1961000,41167486
2492423.exe,1335133,168626,6361028,108536,6227004,115716,85668,1017538,182837669,5458,664822,1192,1768,122561044,132,1.14,0.51,0.49,0.03,0.0,49339342,48071000,1001000,63558224
2513196.exe,105528495,160461,30918322,107505,30857079,108876,104414,1825690,416737761,12125,105707218,1918,2694,698951600,127,2.67,1.25,1.21,0.06,0.0,113145456,112880000,0,127556772
2674105.exe,44622114,222405,5879104,183037,5976229,179760,124626,1972471,473836387,12215,44686765,1410,3125,117284979,133,2.94,1.37,1.34,0.06,0.0,127455700,126235000,1001000,141476773
2708553.exe,765981729,1612942,244279228,1052559,244451452,1041035,328496,20044213,6093212683,149502,765924800,26710,42428,2023370897,126,38.12,17.58,17.08,0.83,0.0,1647236181,1646123000,1000000,1661665003
303419.exe,28747634,147707,4714504,123682,4532471,125491,84133,794802,133176926,4405,29379716,923,1420,131789770,132,0.82,0.37,0.37,0.02,0.0,36130264,33872000,1992000,50586360
3104536.exe,35942745,141162,10172726,123354,10160567,127063,90581,809164,101968591,2852,37223536,301,668,145223148,131,0.65,0.3,0.3,0.01,0.0,27427837,26120000,1004000,41359520
3163004.exe,23597171,160955,3469665,73972,3449940,73973,99424,1129464,212694358,5944,23487742,970,1590,177413767,127,1.33,0.61,0.6,0.03,0.0,57319583,56063000,1001000,71369652
3231389.exe,385267422,818334,122852609,547886,122952805,550407,270240,10288861,3048177241,74800,384777727,12863,21016,1013766377,127,19.02,8.8,8.56,0.41,0.0,823040303,821787000,999000,837447230
3388688.exe,30579877,197604,4386639,104530,4432204,108712,107299,1452479,274145859,8906,30644494,1326,1870,76047326,133,1.77,0.8,0.78,0.04,0.0,73101670,71815000,997000,87158449
