file,L1-dcache-loads,L1-dcache-load-misses,branch-instructions,branch-load-misses,branch-loads,branch-misses,cache-misses,cache-references,cpu-cycles,dTLB-load-misses,dTLB-loads,iTLB-loads,iTLB-load-misses,instructions,page-faults,power/energy-psys/,power/energy-pkg/,power/energy-cores/,power/energy-ram/,power/energy-gpu/,duration_time,user_time,system_time,perf_time
1151909.exe,361886119,7357936,196136511,1002795,197641263,962672,8564626,18452319,908316132,620477,354273463,99486,284567,1113600417,18457,6.83,2.83,2.74,0.24,0.0,298919951,235303000,42233000,623592521
1200127.exe,370989172,7007012,193462141,892236,194094829,880844,7567691,18719038,896428970,741089,372240869,47004,34145,1143159725,8727,6.06,2.87,2.8,0.2,0.0,242232564,226845000,14989000,256453092
1259704.exe,544002848,4439056,307168551,926564,307621107,937798,4762828,13513486,959394583,462949,543137815,40027,34959,1620895831,6565,6.62,3.23,3.15,0.18,0.0,258570289,248271000,9970000,272784510
1288015.exe,657446559,5292898,293692785,1277572,293212637,1270003,4418190,15997857,1289970029,754942,657952812,24788,20273,1934602325,3463,8.74,4.19,4.09,0.23,0.0,348529196,347092000,1000000,362672440
1412740.exe,663712145,7392201,362425582,1225755,364160191,1231394,8244265,21056251,1302186233,749309,670832613,66016,44936,1986581282,8579,8.97,4.28,4.16,0.27,0.0,351564974,332229000,19013000,365427827
1420625.exe,705493612,7989056,356046793,891536,354221343,895293,10335882,22926135,1610195990,1170252,701705833,137161,68724,2183972719,13171,11.03,5.13,5.0,0.33,0.0,433924560,409595000,23976000,448219722
1661747.exe,651478571,6571278,340166227,1224908,339350676,1215861,6364023,17689131,1208963497,666169,643259216,44817,40335,1897896092,7555,8.49,3.9,3.8,0.24,0.0,326782388,316457000,9982000,340983660
1738849.exe,387661264,5171043,209951693,749402,206273711,744365,5866484,14973651,855747609,552243,378859282,38659,40221,1198716620,8873,5.85,2.74,2.67,0.18,0.0,231051537,212731000,17977000,245282937
1836986.exe,481724666,4223240,225811432,832056,224274851,826627,3849260,13086992,963928781,600649,479020401,21748,19363,1430742406,2874,6.55,3.07,3.0,0.18,0.0,262487653,252109000,10004000,276801186
1867909.exe,289774771,5017166,157993042,661916,156565922,642337,4588402,13772466,667898501,479799,286168206,26329,22651,907277420,6342,4.54,2.1,2.05,0.15,0.0,181657569,168232000,13017000,195807400
199194.exe,506163987,7713946,288938321,1102406,286359722,1094060,7716153,21741913,1015576726,915951,495676314,72555,29256,1510606097,6231,6.96,3.31,3.23,0.22,0.0,274895799,262415000,11973000,289238659
2010138.exe,351215855,5792671,182943864,722181,180857359,718824,5856744,18256270,842486923,770881,351420747,15216,28895,1078960298,3453,5.7,2.65,2.58,0.18,0.0,227674019,219346000,8012000,241779372
2026322.exe,522681300,7135406,297273532,1105135,297987674,1089636,7103632,19855366,1037582122,724305,520577961,52571,35989,1554260419,7059,7.2,3.4,3.31,0.22,0.0,279984856,270645000,9021000,294164862
2065049.exe,561972376,4897851,307415996,1023427,306308872,1015312,4819044,13949109,984002543,458498,556555472,47904,41026,1654451651,7805,6.84,3.28,3.2,0.19,0.0,266224195,242883000,22988000,280533145
2121340.exe,626925996,4897096,349801806,1041996,347170976,1040898,5086592,15170326,1102830706,490819,611138053,57535,44336,1863007953,7572,7.62,3.7,3.61,0.21,0.0,297698091,282434000,15023000,312084911
2143171.exe,284193695,4341807,158008627,652736,157010841,665767,4381360,13056688,659148260,432911,287884020,29732,28375,896349794,6341,4.47,2.09,2.03,0.14,0.0,178278769,165973000,11998000,192874132
2183639.exe,305085473,5424251,166162800,802276,165448943,804981,6193218,15048101,771545331,614809,306945471,37259,21194,952365523,6772,5.21,2.38,2.33,0.18,0.0,209194282,199749000,9033000,223329943
2186188.exe,652637595,7032149,362101320,1178797,362939225,1166594,8203025,20613024,1278148910,720321,654259504,59472,74960,1955218267,8806,8.87,4.16,4.05,0.27,0.0,344308224,328056000,16002000,358563548
2359897.exe,498261447,4226950,230774402,1001124,229128404,1001154,3971500,13027848,1003873482,581055,491643795,18284,16247,1491034582,2880,6.78,3.16,3.08,0.19,0.0,270031029,265942000,3999000,284096759
2401365.exe,306532838,5340374,166920183,695946,166744490,689556,5825220,14658121,732967299,582792,301857656,30143,47871,950597090,7351,5.02,2.29,2.24,0.16,0.0,197990054,188834000,8992000,212275661
