file,L1-dcache-loads,L1-dcache-load-misses,branch-instructions,branch-load-misses,branch-loads,branch-misses,cache-misses,cache-references,cpu-cycles,dTLB-load-misses,dTLB-loads,iTLB-loads,iTLB-load-misses,instructions,page-faults,power/energy-psys/,power/energy-pkg/,power/energy-cores/,power/energy-ram/,power/energy-gpu/,duration_time,user_time,system_time,perf_time
2255569.exe,35027379,201992,16656967,51159,17199590,53890,168881,806874,46209897,6069,37621930,566,414,114217333,524,0.31,0.13,0.12,0.01,0.0,13397228,12146000,1012000,27459027
2320041.exe,87780411,198001,47289133,62460,47260923,62082,164795,998103,101540883,4398,93169594,5556,1436,262912407,518,0.69,0.34,0.34,0.01,0.0,27155141,26868000,0,41327421
2543436.exe,40512086,273663,21553417,56717,21877589,57776,169302,931635,57182471,5178,40282255,6428,4716,129334192,1039,0.37,0.18,0.18,0.01,0.0,15128747,12866000,1979000,29462773
2595975.exe,33500451,198573,16183803,55519,16142337,54904,126090,617568,43903161,3063,35775121,979,1371,108958171,327,0.3,0.15,0.14,0.01,0.0,11568594,9259000,2057000,25526630
2605208.exe,37380793,197235,16946292,57429,16465548,58935,183371,771460,45539044,5600,37080918,460,561,114932080,523,0.33,0.15,0.15,0.01,0.0,12237824,10738000,1073000,26237177
2605331.exe,39691468,210800,18419625,51742,17819793,53415,170625,796217,49504711,2379,40759475,430,396,129811546,524,0.32,0.15,0.15,0.01,0.0,13447811,11160000,2029000,27361597
2607963.exe,30460635,145465,16666958,58489,16735108,58654,102698,514625,41511734,1421,34545181,740,785,101322806,133,0.28,0.14,0.14,0.01,0.0,10939316,9690000,969000,25089717
2712872.exe,31455002,105963,15762241,58947,15712046,55881,98141,488256,37172563,1649,33442651,634,806,99971870,133,0.28,0.13,0.13,0.01,0.0,10209315,8177000,1817000,24427050
2767461.exe,84953927,209684,45297042,64100,44642696,61485,152765,802515,90899778,6708,86282428,3919,1182,242131248,516,0.64,0.31,0.3,0.01,0.0,24770589,23489000,1021000,38991943
2768935.exe,37021619,202583,17351011,54451,16334596,54613,170782,805894,46643508,2406,38013606,422,679,120760870,524,0.3,0.13,0.13,0.01,0.0,13052211,9861000,2958000,27217991
2789652.exe,82365736,103119,45386330,61463,45408085,59293,100187,672533,88665570,3143,84622645,4386,1319,239033583,128,0.61,0.3,0.3,0.01,0.0,24291236,23059000,1002000,38504728
2793938.exe,123597976,802501,67415368,89052,65402640,89614,919411,2724802,207149126,14260,131018681,11988,9675,414196387,3259,1.41,0.66,0.65,0.04,0.0,56782656,49518000,6932000,71055873
2823544.exe,79359258,240824,45585736,60764,45515347,59574,127730,715137,91844729,3126,83775353,4084,2481,236585974,517,0.64,0.31,0.31,0.01,0.0,24845452,21668000,2954000,39009446
2942166.exe,88239653,218513,46593292,61484,46962229,61798,163465,1040174,97305788,4685,90531697,4535,876,256199741,517,0.65,0.27,0.27,0.02,0.0,29879319,27686000,1977000,44252158
2951975.exe,85452974,218245,44977486,63259,45288610,63279,167730,877604,93505776,7213,87746823,4200,1186,243166586,517,0.65,0.3,0.28,0.01,0.0,26235188,24014000,2001000,40136802
2974603.exe,38253190,183103,18317564,55022,18360623,55400,136825,721696,47913545,1729,40565558,561,430,122844534,328,0.33,0.16,0.16,0.01,0.0,12816412,9693000,2908000,26961300
3144096.exe,244977104,3322639,106963512,193361,103107199,194846,3519455,6150862,547834319,57175,235959382,169120,120280,615595334,39192,3.65,1.67,1.62,0.1,0.0,148193051,92937000,54963000,162508915
3300816.exe,37604284,207931,17143642,57489,16555059,57479,169306,695551,44416871,5399,36841706,462,595,114656550,525,0.29,0.14,0.14,0.01,0.0,12227563,9776000,2172000,26164939
3373883.exe,87783309,198249,47221324,62076,47236021,61811,180359,959899,100355265,3360,92802482,6091,822,257659397,518,0.7,0.34,0.34,0.01,0.0,27034996,24782000,1982000,41316313
3500180.exe,85554655,245852,45264561,74808,45255516,74131,169589,838499,93347144,6803,88745220,5233,1318,245343990,516,0.65,0.31,0.31,0.01,0.0,25120426,23902000,995000,39254915
3630111.exe,39850909,179298,19914089,53528,19218755,53447,132595,734344,49112842,1998,41410884,573,422,128676814,328,0.34,0.15,0.15,0.01,0.0,13763419,13485000,0,27896307
3636636.exe,33511447,362797,17299389,57688,17271266,57784,218097,868895,48785470,2764,40042246,1738,2327,114151509,915,0.33,0.16,0.16,0.01,0.0,12839263,11545000,1049000,26927356
3806795.exe,33151386,87136,17297310,59986,17283560,60552,131162,616146,40799628,2766,34609322,578,766,105279314,133,0.29,0.13,0.12,0.01,0.0,11540300,11339000,0,25673043
3868191.exe,335013317,5139135,176480222,662856,174590387,666326,763315,3790651,577548640,24098,331403517,10909,15032,1026504739,3258,3.87,1.8,1.75,0.09,0.0,160325604,156016000,4000000,174799501
3876123.exe,41224113,124556,18644408,56614,17446462,56880,133369,773854,47203188,2507,39306461,618,391,130230961,328,0.33,0.16,0.16,0.01,0.0,13056745,9751000,2925000,27510923
3941489.exe,92851595,168967,49736924,61840,48883488,61879,168747,942293,105159890,4375,95353318,4943,1120,276466185,518,0.72,0.35,0.35,0.01,0.0,28084911,26800000,1030000,42090698
405152.exe,80263810,254094,44299007,62894,44365481,58595,153069,796030,92128161,4309,85005252,3503,1244,236268252,517,0.64,0.31,0.31,0.01,0.0,24901401,23712000,988000,39011022
4061439.exe,86344433,234498,45086813,63382,45204701,65068,176806,866019,96838761,6216,88123270,5323,1234,246456945,516,0.69,0.33,0.32,0.01,0.0,26220716,23879000,1989000,40558515
4091019.exe,37030516,214783,17385817,58550,16690933,57263,191324,758768,46969851,2807,38559496,539,885,120002523,523,0.33,0.15,0.15,0.01,0.0,12397084,8088000,4044000,26485283
4137155.exe,80872154,214431,44895333,62297,44930648,58950,122608,730394,92118851,2603,85966603,4706,1189,242092027,321,0.63,0.31,0.31,0.01,0.0,24875271,23554000,1024000,39038897
4229381.exe,36068215,226836,16854760,54743,16836223,54874,164523,641758,46062477,1871,38822955,482,921,118573678,524,0.32,0.15,0.15,0.01,0.0,12348736,10109000,2021000,26498452
4246029.exe,42287686,291277,18677150,55611,16728573,55474,245458,931318,50082906,10205,38311952,601,591,127935627,914,0.35,0.16,0.16,0.01,0.0,13578192,10461000,2853000,27548887
4259947.exe,90229668,233406,47230967,63640,47130423,62946,179159,1013327,103631585,4113,96063244,5938,1058,268609035,519,0.72,0.35,0.34,0.02,0.0,28057113,25874000,1990000,42424081
4264435.exe,302530809,3310275,163640394,837501,162501430,839935,696994,3297677,518666582,20563,302355902,17087,11191,939153041,2867,3.53,1.7,1.65,0.08,0.0,140000302,135753000,4022000,154228122
4294775.exe,79543497,170038,44266851,62679,44335958,58645,132103,724768,90780799,4699,82821416,5770,1185,232939299,321,0.64,0.32,0.31,0.01,0.0,24434205,23198000,1008000,38376987
4327196.exe,84653892,198203,45718927,62814,45367691,61342,119937,765297,93241532,2854,87988682,4744,1330,249360098,322,0.65,0.31,0.3,0.01,0.0,25743145,24476000,1019000,39805279
4386985.exe,32945516,230647,17442229,56351,17453091,57132,149896,596188,44282107,1875,34369380,1903,2409,105873092,524,0.3,0.14,0.14,0.01,0.0,11807240,9658000,1931000,25787042
4388131.exe,36340023,222369,17184643,55400,16995963,55445,173898,720641,47227779,2296,38559560,427,640,118455794,525,0.33,0.15,0.15,0.01,0.0,12596450,11312000,1028000,26529423
