file,L1-dcache-loads,L1-dcache-load-misses,branch-instructions,branch-load-misses,branch-loads,branch-misses,cache-misses,cache-references,cpu-cycles,dTLB-load-misses,dTLB-loads,iTLB-loads,iTLB-load-misses,instructions,page-faults,power/energy-psys/,power/energy-pkg/,power/energy-cores/,power/energy-ram/,power/energy-gpu/,duration_time,user_time,system_time,perf_time
2929444.exe,280340950,3877765,161147017,732128,161435706,718546,2313097,10047937,566674704,63987,282755034,55907,12016,905259193,7413,3.96,1.89,1.84,0.1,0.0,153126343,144819000,8045000,167282007
295919.exe,447461886,2777180,251404395,1113126,250148210,1110115,1070174,9017417,668089221,61540,449580428,18234,45126,1323910388,1864,4.86,2.25,2.19,0.11,0.0,183600559,178331000,4981000,197817404
3179338.exe,460156305,3185067,260809153,1197674,261539031,1187236,1530003,10716093,696542537,64525,454199613,43664,14207,1362181973,3304,5.09,2.39,2.33,0.11,0.0,187897717,182610000,4989000,202097664
3216981.exe,424705229,2833085,240030678,1083807,241118327,1079355,1420424,9547468,642611981,58534,431303124,17947,24004,1256887456,2133,4.66,2.2,2.15,0.1,0.0,173516708,166184000,7007000,187705793
3225102.exe,282533905,3052324,141843697,738547,139447729,750571,1918181,8736378,530488290,125147,289525163,18734,16257,869970924,2673,3.71,1.77,1.72,0.1,0.0,143483391,140224000,3004000,157698652
3260092.exe,427520796,2958892,242342641,1099125,240401185,1085103,1563684,10213892,643419262,57165,430036771,22455,13462,1261881434,2128,4.7,2.2,2.15,0.1,0.0,174214917,167919000,5997000,188254488
3329733.exe,476866249,2944362,260874573,1201050,259484111,1190969,1276843,8961423,724573971,64440,479404033,23658,125281,1399377511,2157,5.3,2.48,2.42,0.12,0.0,195671933,187433000,7975000,209632439
3550778.exe,145055500,1193680,77944105,301354,78054591,296664,170787,3179043,209979446,6527,149657075,2762,1386,444950485,379,1.51,0.72,0.69,0.03,0.0,57046905,54789000,1992000,71020085
3609782.exe,277546702,2666088,140423717,710908,140725505,697649,1270230,7974385,500420409,62838,276751708,20993,10013,840643635,2228,3.47,1.64,1.6,0.09,0.0,136399082,129093000,7005000,150464882
3642247.exe,230773080,3026445,127461689,707077,126030805,692043,1476635,8778980,451697918,57129,231409963,21831,12716,724973946,2736,3.19,1.49,1.46,0.08,0.0,122368150,112946000,8995000,136622996
3645649.exe,276698643,3051825,139651001,753946,139623729,754501,2106889,9382174,539687854,123958,287008601,11232,19557,852898961,2764,3.93,1.76,1.71,0.1,0.0,145907680,134709000,10976000,160258861
367808.exe,297662054,3048410,152639917,751578,153015118,731733,1987417,8953735,568712442,151078,296201345,36747,17324,890952330,2698,3.95,1.81,1.76,0.1,0.0,156477724,147217000,9013000,170633446
3910390.exe,390139878,7602993,194554294,1668872,191812996,1689001,2732980,22472452,789789082,343490,389209661,15699,14098,1176974515,2658,5.44,2.57,2.51,0.14,0.0,213999987,208722000,5017000,228045072
3954995.exe,273499349,3199383,138831253,747511,139035244,748429,1896803,8592872,525081838,122878,284008956,19508,10454,846373486,2674,3.78,1.73,1.69,0.1,0.0,142140958,139814000,1997000,156569635
406642.exe,286690126,2843513,143961211,739547,141724724,751600,1973040,9251201,544760115,126836,290309467,20441,32536,871949813,2699,3.79,1.8,1.76,0.1,0.0,146997744,139717000,6985000,160973126
4244053.exe,224871899,3410637,123766970,754048,122072592,733378,2129693,9918144,451647978,121241,225538035,15181,11017,699572993,2693,3.17,1.49,1.46,0.09,0.0,121937610,118652000,2991000,136201339
4244951.exe,248495137,3658238,135817387,774253,137961307,769925,2223867,10165759,516818686,150851,250465052,29186,8529,774291844,3384,3.61,1.71,1.67,0.1,0.0,139101176,133821000,4993000,153344645
4263023.exe,259712912,7568590,196534680,2078994,197456776,2034586,4063290,19625722,792399445,120253,254264510,219208,140109,978209164,3673,3.81,1.93,1.89,0.1,0.0,116407782,109146000,7009000,132038231
4308214.exe,435037858,3028323,245343406,1120483,241056082,1101135,1378899,9579824,652819388,61000,428713131,22305,10728,1281521909,2132,4.72,2.23,2.18,0.11,0.0,177072242,168790000,7990000,191360400
437852.exe,226187287,3049055,122069161,707395,122682840,682264,1329619,9324244,433984049,64243,228742687,17508,13601,713490600,2188,2.99,1.4,1.37,0.08,0.0,120137718,110866000,8989000,134313350
444968.exe,450759468,3180121,253401535,1107521,254348376,1074168,1559127,10718871,685523940,90625,450022603,62751,7730,1331347515,2250,4.89,2.33,2.27,0.11,0.0,186528033,179256000,7010000,200550198
4454227.exe,219738480,3001620,124241600,652392,123037938,652075,1357642,8765821,417005015,66418,220215901,14357,7917,688387507,2284,3.0,1.36,1.33,0.07,0.0,112802174,110415000,2007000,126761515
4575538.exe,282204628,2434898,140799814,691793,141443895,668811,1205041,8114600,496120320,56574,274416384,19061,12121,850896108,2161,3.55,1.65,1.61,0.08,0.0,134024147,128810000,4992000,148434227
4687122.exe,314723914,3449939,155647905,787883,154217991,715342,1438067,8404947,560709488,66587,313223510,15722,7005,947893911,2342,3.99,1.85,1.79,0.1,0.0,151808416,144440000,6972000,165832795
