file,L1-dcache-loads,L1-dcache-load-misses,branch-instructions,branch-load-misses,branch-loads,branch-misses,cache-misses,cache-references,cpu-cycles,dTLB-load-misses,dTLB-loads,iTLB-loads,iTLB-load-misses,instructions,page-faults,power/energy-psys/,power/energy-pkg/,power/energy-cores/,power/energy-ram/,power/energy-gpu/,duration_time,user_time,system_time,perf_time
1135633.exe,381177166,2128053,215200869,1397927,211901185,1448137,1250653,7802293,709781635,51657,398460876,32640,23073,1219662962,2238,5.2,2.26,2.2,0.13,0.0,226033949,192563000,8979000,579666305
1247568.exe,773442666,1866094,419259383,1675258,415893468,1668500,815204,7570191,1035705793,44374,773575795,34145,18773,2274722061,1821,7.15,3.59,3.51,0.15,0.0,280814059,274651000,6014000,295183751
1265407.exe,397330432,2022808,207073784,1087204,205259574,1080873,1061010,6348285,679782646,47054,405621205,20198,13620,1253157424,2242,4.62,2.28,2.23,0.1,0.0,183724935,177538000,5984000,197926358
1290299.exe,398339670,1895306,227491211,1367718,221472929,1386815,1207650,7364272,694955768,49902,389910011,19218,21733,1263908429,2239,4.68,2.27,2.22,0.11,0.0,187666672,179456000,7975000,201805039
1291495.exe,304702163,1482208,145150890,1018714,145476765,1007598,650718,5976843,545345502,24242,303273041,16118,7711,969201660,1866,3.68,1.81,1.77,0.08,0.0,147287346,142064000,5002000,161309509
1316604.exe,521813018,2122313,276725711,1130538,278928581,1120306,1295926,7679538,986352806,52613,525782187,20179,20611,1627532001,2436,6.71,3.25,3.17,0.15,0.0,266593975,259272000,7007000,280993271
1376560.exe,386873274,1921225,209348584,1072308,210976995,1053165,1021713,6612872,660382954,46610,383083918,19734,10845,1197081689,2286,4.47,2.19,2.14,0.1,0.0,178399306,174135000,4003000,192716710
1407254.exe,270946809,1841131,203962547,1377442,205735697,1289336,1131395,6664651,497621009,42344,271538409,15007,6996,924167756,2242,3.4,1.66,1.62,0.08,0.0,134191096,129849000,3995000,148328818
1442933.exe,390238333,1995775,208996071,1084666,210082827,1073600,985701,6136243,667993382,49010,393120996,20871,10608,1207589928,2437,4.58,2.25,2.19,0.1,0.0,180376061,176183000,4004000,194538283
1477356.exe,414054294,2155090,216483174,1088817,219093546,1085231,970844,6666875,721175722,74461,423207296,31822,18120,1284302312,2244,4.93,2.41,2.36,0.11,0.0,194963881,192596000,2006000,209235714
1510302.exe,419588027,1861500,224285862,1044057,219730921,1056394,1231833,7195891,693192480,44245,410901190,20692,8748,1309610117,2340,4.77,2.34,2.28,0.11,0.0,187940954,185666000,2007000,202101833
1545872.exe,408790046,1975807,213641466,1059388,207851556,1081780,1308098,6892916,688606489,42925,403656529,23762,14222,1272724334,2240,4.7,2.29,2.23,0.11,0.0,186625864,182204000,3982000,200981410
1655898.exe,390075087,2169235,208256682,1081281,209131882,1079571,1085601,6385786,670118703,54988,396862664,17151,14905,1217291178,2435,4.57,2.23,2.19,0.1,0.0,181497593,177166000,4003000,195800826
1832846.exe,389585192,1623047,207380580,1055646,208681414,1015713,757203,6460962,651426033,27620,385407714,15098,14337,1205664044,1827,4.48,2.22,2.16,0.1,0.0,176184679,167847000,7992000,190446623
1867433.exe,417166269,1948371,219259292,1059976,212284256,1075240,1140858,6694731,685639563,42190,416445308,31861,13330,1300405016,2264,4.71,2.3,2.24,0.11,0.0,185314689,175105000,10006000,199516673
2004531.exe,773362170,2047495,431164694,1903731,430381262,1894329,1020683,7915012,1081415006,67758,765707881,42696,18924,2272174842,2239,7.48,3.69,3.61,0.16,0.0,292098246,287854000,3997000,306416587
2059675.exe,1119379374,8432556,623361389,3463195,624002646,3414457,3643719,14373851,1801146896,292710,1118451614,56190,19300,3281253769,5095,12.41,6.07,5.92,0.29,0.0,486364488,479153000,7002000,500639357
2126568.exe,415946597,1931907,216382354,1154281,209763425,1169020,1217937,7004011,690826035,44309,413518482,20198,14475,1315512218,2437,4.74,2.3,2.24,0.11,0.0,187890887,185632000,2006000,202219433
2147790.exe,415641071,1906079,221266035,1081745,214703802,1090472,1280646,7155296,694493390,42628,410705044,23764,15154,1310926161,2242,4.73,2.3,2.23,0.11,0.0,188189518,182854000,4996000,202276115
2267323.exe,822674163,2097506,444638281,1889652,440624338,1881735,1207198,8407277,1148469085,67724,820228425,30971,22409,2428671858,2239,7.97,3.98,3.88,0.17,0.0,310778873,301462000,9013000,324901091
