file,L1-dcache-loads,L1-dcache-load-misses,branch-instructions,branch-load-misses,branch-loads,branch-misses,cache-misses,cache-references,cpu-cycles,dTLB-load-misses,dTLB-loads,iTLB-loads,iTLB-load-misses,instructions,page-faults,power/energy-psys/,power/energy-pkg/,power/energy-cores/,power/energy-ram/,power/energy-gpu/,duration_time,user_time,system_time,perf_time
3149650.exe,402465455,4792967,188880073,4830270,193201512,4823923,1751737,11353136,656779241,109762,409440949,23500,12899,1191851998,2571,4.53,2.26,2.21,0.11,0.0,176906776,172694000,3992000,191388504
3242376.exe,541149826,5209599,228844282,5821048,228212665,5806317,1787703,12631258,843041510,167458,542489743,45443,13876,1594150781,3586,5.9,2.91,2.85,0.13,0.0,228011466,223713000,3994000,242378798
3324029.exe,637083975,6905992,293941149,5551128,295154061,5525576,2017646,17067973,1083380163,154207,639551645,21402,11427,1860213488,2184,7.52,3.69,3.6,0.17,0.0,292415262,287220000,5003000,306614570
3456840.exe,1808955933,23446566,627198861,9663275,628494968,9638146,8615417,54629392,2518334320,1112225,1808671537,44599,25560,5030248359,5214,17.57,8.66,8.44,0.44,0.0,680136331,674027000,6009000,694429490
3551847.exe,1042144492,4713416,445288371,7273959,445651303,7228324,1554618,14518303,1596302475,99077,1047506193,27351,15559,3092877961,2574,10.89,5.39,5.27,0.23,0.0,433248254,427120000,6001000,447567910
3583821.exe,499655710,5280584,217481660,5215041,221833280,5207484,1752868,12880112,965926052,191523,502915639,23864,112587,1408844668,2571,6.62,3.28,3.19,0.15,0.0,260967228,236851000,23984000,274972620
3645873.exe,734783601,11076067,266153449,6227954,267701043,6205134,3126612,24332045,1082079532,324120,735547403,41713,21726,2112722716,4527,7.56,3.71,3.61,0.19,0.0,292858482,286580000,6012000,307072276
3660770.exe,465528162,4135797,203523754,4987272,207656364,4974027,1273468,10858129,753991162,80620,471547909,21528,8928,1357892008,2379,5.21,2.6,2.53,0.12,0.0,203601609,197351000,5980000,217828717
3722205.exe,1032298938,13628260,534589613,7394370,537697194,7371562,11307554,34333602,1786183037,835281,1042076378,85300,120813,2822925899,7159,12.5,6.15,6.0,0.32,0.0,484316732,445131000,39011000,498586805
3795140.exe,1159009097,12200923,376702586,8435596,376560006,8455373,2734835,29580441,1588201111,336540,1164695284,56573,24706,3334400946,4426,11.16,5.52,5.39,0.25,0.0,430579400,422420000,7989000,444817958
3806326.exe,458786254,15601038,257734932,4168925,259896792,4151822,5738379,32329161,945585872,951035,460511463,26505,13202,1554771817,3401,6.65,3.27,3.2,0.18,0.0,255202474,249047000,6001000,269303509
3843447.exe,645589925,6921263,249119935,6146575,252711417,6115069,1886482,16486204,982597963,169346,657547192,24039,12530,2068068736,2962,6.75,3.33,3.25,0.16,0.0,264969244,255750000,8991000,279284914
3930860.exe,302635542,4278362,197111327,4974002,200796936,4957405,1230742,10085506,594092988,78353,310141680,27182,10190,1039316054,2576,4.13,2.02,1.98,0.1,0.0,161028787,152788000,7988000,175176058
3950897.exe,1172356797,7679757,458537300,7564383,459676864,7583518,1902743,19847665,1593306442,177219,1167647995,36102,34652,3264060810,4622,11.14,5.57,5.43,0.24,0.0,430065646,418786000,10994000,444145243
4006798.exe,429972488,4945054,185809079,4895115,188362768,4870461,1488027,11625998,673360672,78906,434985692,18463,9258,1213042704,2576,4.7,2.3,2.25,0.11,0.0,183686525,180415000,3006000,198064277
4176362.exe,589562271,6084924,264507748,4763575,266466136,4800591,2982371,14894062,1172632061,241383,598703030,67229,511321,1731338338,11861,7.95,3.82,3.72,0.19,0.0,319155287,267865000,50974000,333260420
4210829.exe,739115288,13332920,282619650,8657300,283061160,8603595,6155995,30130240,1332517615,724427,743743446,85954,28710,2352599412,8479,9.24,4.49,4.38,0.25,0.0,361615700,347388000,14015000,375845665
4238522.exe,583242278,6027965,270700970,6708391,273479540,6703598,2276051,15106410,1151082186,393130,589387194,21341,154676,1731208921,2963,7.96,3.97,3.87,0.18,0.0,311766793,279483000,32055000,325917847
4239983.exe,1109496349,8190827,545731428,8113467,541667436,8078217,5079707,22239328,1800394180,390964,1104502290,74621,117957,3322223768,6619,12.55,6.29,6.15,0.29,0.0,485990893,453681000,31977000,500439576
4267993.exe,1374918668,4933797,650907223,7230500,650224564,7203300,1885180,16889744,2289303441,148398,1372420754,37147,43467,4020476708,4040,15.55,7.65,7.46,0.33,0.0,619401640,615223000,4001000,633728147
4371445.exe,1946538832,13443922,780618145,7838814,776950189,7800981,3713473,33625386,2720872497,552891,1948435636,55869,125760,5391590496,4035,19.26,9.26,9.04,0.41,0.0,734729188,697575000,36977000,749192146
4526562.exe,1231642048,14602542,511075194,7614603,513507932,7672643,3818656,32301729,1816080894,547829,1252256101,61296,116068,3417259709,4033,12.77,6.32,6.18,0.29,0.0,491641168,459424000,32029000,505793184
4558965.exe,999322833,13717851,384411494,6982282,385729457,6945645,3043718,30741136,1702809298,449829,1007209760,31908,113147,2828909177,3847,12.07,5.84,5.7,0.27,0.0,460523469,417283000,43029000,474841027
4561699.exe,1374961402,25778305,511301613,7839959,508640179,7845919,9065199,56020406,2091367300,1159055,1378704441,35910,22576,3860634748,5605,14.44,7.1,6.92,0.37,0.0,563599367,553250000,10004000,577860074
4577882.exe,1003133540,6321093,399542145,8538792,403256712,8491383,3171141,18139195,1830284422,395102,1006076368,49915,122147,2742060206,4619,12.59,6.22,6.07,0.28,0.0,494714676,466496000,28029000,509290556
4619221.exe,578089663,4807426,235614724,3938511,235128205,3912799,1311458,11571303,798534496,56108,568550463,23970,9662,1688751208,2964,5.69,2.71,2.65,0.12,0.0,215806115,211616000,4011000,229938398
4649754.exe,645157080,3946394,259230764,6011184,257406042,5992389,1248560,11054845,911732658,51055,634767235,13571,9428,1908467688,2184,6.58,3.13,3.06,0.14,0.0,246861272,241657000,4992000,260858343
4698440.exe,787439700,7654597,432368158,4893141,428316868,4876576,1622945,18331829,1222847160,182884,778554049,51776,436289,2216907076,1690,8.66,4.28,4.18,0.18,0.0,330335016,287951000,41992000,344535683
