file,L1-dcache-loads,L1-dcache-load-misses,branch-instructions,branch-load-misses,branch-loads,branch-misses,cache-misses,cache-references,cpu-cycles,dTLB-load-misses,dTLB-loads,iTLB-loads,iTLB-load-misses,instructions,page-faults,power/energy-psys/,power/energy-pkg/,power/energy-cores/,power/energy-ram/,power/energy-gpu/,duration_time,user_time,system_time,perf_time
1168229.exe,765091429,2648446,442955093,3496795,440688193,3620904,1211843,8137449,963145300,45955,772253883,43394,21906,2333175090,3253,7.12,3.35,3.23,0.18,0.0,294469165,262465000,11019000,620549172
1239379.exe,646417838,1165020,399856302,3047973,397889825,3161401,399530,3814756,746035474,23459,651198318,23610,13245,1902733504,1557,5.19,2.69,2.61,0.11,0.0,202353394,199113000,3001000,216695019
1253440.exe,208638508,2365459,134335526,1538905,124770809,1689969,607742,3512258,303885788,23003,206910099,7569,5763,648659355,1694,2.09,1.02,0.99,0.05,0.0,82582358,77251000,5016000,97481722
1363825.exe,278211073,16632382,210547724,9736614,211204756,9574442,14374357,40892003,1322552944,1628645,276583690,46727,39669,930746283,9843,8.64,3.94,3.79,0.33,0.0,356269486,336893000,18993000,370703898
1373378.exe,325860759,15799048,234933045,11602994,232989306,11387783,12477206,36044507,1347743621,1492533,322304015,86081,51898,1041985075,9821,8.73,4.03,3.88,0.32,0.0,364708295,350379000,14015000,379377887
1380046.exe,684108753,10003377,465939168,2777264,467245288,2542924,970525,10270544,1001948061,35292,694855099,42362,21998,2139393340,3838,6.82,3.45,3.34,0.16,0.0,270453625,266093000,4001000,284886897
1405031.exe,662147360,2914017,421933057,5103889,417720635,5206140,589921,5668853,846849421,35079,656648594,48177,18779,1960938934,4280,5.85,3.01,2.92,0.13,0.0,229225244,221979000,6967000,243934999
1484788.exe,241842106,7189839,170397449,2475996,167136660,2601924,5496720,17281805,537651524,165224,241963124,36870,30451,838021767,8067,3.7,1.77,1.71,0.12,0.0,145673336,130330000,15038000,160332671
1651759.exe,381733687,6952626,248390098,6628428,247558627,6727259,6110883,13593196,979512196,119238,385917621,155128,130487,1396887121,41426,6.57,3.2,3.09,0.2,0.0,263823684,197321000,66107000,278512587
1757160.exe,227159725,9229901,189715999,2299841,189077310,2317975,683209,4404566,511728472,22083,231507274,21068,13875,859915109,3844,3.33,1.61,1.55,0.08,0.0,138508854,131178000,7009000,152799357
1794636.exe,689084270,10165753,465175527,2914762,465933099,2908272,759971,5768580,958331257,36815,698441712,39463,19672,2151966922,3839,6.53,3.25,3.15,0.15,0.0,261507734,251167000,10006000,276039721
1841293.exe,202587910,10106208,155656968,6484915,154307562,6555745,4251451,26456710,611597356,238427,200760185,23402,22313,746203685,7618,4.04,1.93,1.86,0.13,0.0,165568148,150255000,15025000,179948711
208193.exe,220483372,9848364,173738036,2134964,168876080,2165695,1019372,5539012,506382806,24471,215484344,21432,56113,747754592,4429,3.32,1.59,1.52,0.09,0.0,136969388,127661000,8976000,151462884
208205.exe,144839916,2052489,150412871,3183954,146248704,3153515,767247,4641606,315364143,12627,141075748,11821,4406,679071530,1887,2.15,1.06,1.02,0.05,0.0,85412169,81084000,4004000,99867395
2116056.exe,222016162,2334156,144127648,3616026,140217224,3951100,1434496,5078831,407812376,20979,217880070,15771,15705,708809070,4944,2.76,1.36,1.31,0.08,0.0,110547418,100313000,9932000,125143187
213413.exe,633181434,1046425,393238018,3574739,393485252,3343597,426796,3845252,742066338,25415,643342992,26068,8792,1883436375,1105,5.21,2.67,2.59,0.11,0.0,200579454,193115000,7004000,215298529
2265253.exe,721066842,28044355,458140730,2807855,453835138,3043469,1065552,6873495,1101570536,42007,724480369,40604,24140,2122432196,4578,7.38,3.65,3.53,0.17,0.0,297337223,287950000,8998000,312069837
2289173.exe,174911128,1860026,132958922,2536910,130969555,2545375,966104,4490850,331412440,21251,174569741,30597,21311,609307915,4796,2.22,1.09,1.06,0.06,0.0,89179967,78885000,9985000,103669651
2354500.exe,313657701,25427915,243569331,7331566,242960651,7324890,5033827,19631272,1151939517,482461,315772607,51086,38017,1021222731,8552,7.4,3.47,3.34,0.22,0.0,309461925,289194000,19944000,324276878
2363790.exe,656657412,5847086,420131373,3473455,424143509,3434793,3471497,15742264,1072964024,436901,660342241,46730,31532,1948069819,4425,7.26,3.58,3.47,0.2,0.0,288763899,278368000,10013000,303272285
