file,L1-dcache-loads,L1-dcache-load-misses,branch-instructions,branch-load-misses,branch-loads,branch-misses,cache-misses,cache-references,cpu-cycles,dTLB-load-misses,dTLB-loads,iTLB-loads,iTLB-load-misses,instructions,page-faults,power/energy-psys/,power/energy-pkg/,power/energy-cores/,power/energy-ram/,power/energy-gpu/,duration_time,user_time,system_time,perf_time
275342.exe,144752860,173812,75166319,72149,75164433,72032,143395,1084886,148211301,5373,144831888,1356,1515,368136373,374,1.04,0.52,0.51,0.02,0.0,40610545,38400000,1969000,55236650
2802363.exe,143245374,230270,74893063,78071,74944412,73848,161681,1153058,152850802,4793,149110970,1237,1226,371337911,381,1.07,0.53,0.51,0.02,0.0,41377527,40023000,1000000,55829859
2823661.exe,43437675,150950,20613818,61189,21201973,62553,146589,810193,51604468,3377,60628181,855,1515,132465002,2338,0.37,0.16,0.15,0.01,0.0,15090091,14837000,0,29889976
293813.exe,161392250,1858031,104071197,113626,99643903,114464,2405128,4775243,215429482,53720,164178124,35656,8152,551798341,6233,1.54,0.77,0.73,0.05,0.0,58065591,46833000,10960000,72633675
3040402.exe,46602933,502574,24241381,63759,24181979,62424,407211,1238235,58421015,5479,49113016,10387,3212,133400383,2086,0.4,0.19,0.19,0.01,0.0,15751791,9662000,5797000,30280087
3095970.exe,64768503,287463,30293196,62880,26433239,65559,619158,1493899,65599301,12360,39039342,12602,4014,154472230,3122,0.48,0.23,0.22,0.01,0.0,18169578,12908000,4964000,32787945
321299.exe,39035703,216159,20931745,70104,20885009,67269,141026,604457,40327907,2159,45264675,2669,1124,118794641,382,0.28,0.14,0.13,0.01,0.0,10565218,8469000,1882000,24995761
3644759.exe,2143194,155512,4143206,35353,5791006,35811,117262,507315,14566549,2667,6664353,1703,<not counted>,<not counted>,453,0.1,0.05,0.05,0.0,0.0,3762599,888000,2664000,18338563
3648700.exe,142905899,202928,75855534,78544,75833289,78927,162364,1145347,154781803,5648,144061491,1857,1505,370488409,370,1.08,0.54,0.54,0.02,0.0,42293940,40912000,997000,57023362
391684.exe,148254615,328607,77958674,75277,75825819,75242,342928,1430181,158304144,8189,146368782,2858,1593,387032454,1373,1.11,0.55,0.53,0.03,0.0,43068014,38825000,3982000,57738821
4011765.exe,2233761,183839,5020195,41333,7003746,36722,117274,531244,18687178,2499,11566001,1135,3036,14275433,450,0.16,0.07,0.06,0.0,0.0,4747481,1808000,2713000,19045400
4055920.exe,38943306,413273,19405632,62978,19328771,62280,249602,801688,48351166,3394,56467484,7387,2206,119134118,1353,0.36,0.18,0.16,0.01,0.0,13117539,8854000,3935000,27482623
4076325.exe,39821666,222765,21321086,64255,21957160,63619,171187,780188,44934737,2035,51702353,1271,1028,119483588,431,0.32,0.14,0.13,0.01,0.0,12998902,8819000,3919000,27755749
4162451.exe,940216,124205,4464776,40804,7277687,37084,80190,377328,14861971,3837,7347278,3757,<not counted>,<not counted>,381,0.1,0.05,0.04,0.0,0.0,3889824,3674000,0,18261958
4162787.exe,139338051,231158,75891265,78953,75911814,79466,145291,1160564,160587664,5799,151073464,2517,2187,374603985,2348,1.11,0.55,0.54,0.02,0.0,43782565,42482000,1011000,58235224
4234660.exe,143116941,217958,74991177,74843,75047417,75073,161749,1135996,153556162,5263,146945546,1708,1237,373634897,381,1.05,0.53,0.52,0.02,0.0,40915962,38651000,1982000,55435846
4310645.exe,66708026,234201,36402526,69923,36299918,72597,168115,902195,64922176,4349,68214132,5374,3807,190268129,610,0.47,0.24,0.23,0.01,0.0,17252998,14974000,1996000,31683288
4353494.exe,139610851,450746,76189390,76625,76127673,79977,331934,1487933,160735273,5072,150922683,2522,2171,369804408,1359,1.13,0.56,0.54,0.03,0.0,43200107,40914000,1995000,57816586
4359088.exe,960190,157083,3851428,33690,5508109,33674,102389,460364,13899699,2160,8517044,1841,<not counted>,<not counted>,405,0.1,0.05,0.04,0.0,0.0,3718408,2578000,859000,18411128
4401483.exe,144242711,300192,77157775,80020,77163271,79034,168546,1233815,156041713,5103,148157648,4870,1890,376534172,625,1.09,0.54,0.53,0.02,0.0,41827170,38574000,2967000,56727996
4445110.exe,137563085,267930,75878144,77565,76063172,79192,177674,1215397,152404091,5211,142115212,3413,1775,365044763,622,1.05,0.52,0.51,0.02,0.0,41251804,38012000,3001000,55676222
4547513.exe,71684353,214208,36518454,70619,36124440,71217,161243,919201,64707129,4596,67579590,4942,1524,195013019,653,0.47,0.24,0.23,0.01,0.0,17633060,17345000,0,32254773
4661444.exe,73512069,234749,40259459,78219,35916897,73242,362881,1253979,71801222,8197,64600347,10888,2211,203030511,1597,0.49,0.23,0.23,0.01,0.0,19842974,16556000,3104000,34426838
481317.exe,141093009,209626,75606712,76016,75484063,75925,188696,1193151,152898489,6110,143883407,3021,2385,371794152,619,1.08,0.54,0.52,0.02,0.0,41471455,40159000,1003000,55922506
4842228.exe,139791332,619184,100453820,82504,99943212,81363,422556,1474320,168070187,8300,162814672,8043,4168,499427187,2331,1.21,0.62,0.59,0.03,0.0,45452974,40120000,5015000,60118196
4871001.exe,76010361,260506,38535273,73110,37353331,71706,362154,1256078,71469965,7967,69413773,6498,2362,201398617,1598,0.5,0.25,0.25,0.01,0.0,19330760,15022000,4005000,33969625
4895496.exe,140577407,226331,75741982,81494,75755891,83316,168096,1165811,150158031,5446,143741887,1830,1641,369852346,373,1.05,0.52,0.51,0.02,0.0,40965477,39613000,990000,55310888
5061073.exe,71794242,144496,37079225,66636,36486771,70311,108846,723769,66472897,3446,72620727,1832,2015,207544196,173,0.47,0.24,0.24,0.01,0.0,17782405,15556000,1944000,32545375
