file,pkg,cores,ram,gpu,psys,duration_time,user_time,system_time,perf_time
2307838.exe , 25.31, 20.59,  0.00,  0.39,  0.00, 1158748365, 1151432000,    7002000, 1179656795
2409014.exe , 28.35, 23.46,  0.00,  0.42,  0.00, 1238826457, 1230808000,    7998000, 1257752273
2451062.exe , 26.45, 21.65,  0.00,  0.41,  0.00, 1217550130, 1208539000,    8996000, 1234534885
2516802.exe ,  2.89,  2.25,  0.00,  0.05,  0.00,  160625453,    8750000,          0,  181513675
2538223.exe , 66.91, 54.84,  0.00,  1.03,  0.00, 3044514955, 3042180000,    1999000, 3062316596
2838507.exe , 13.78, 11.33,  0.00,  0.21,  0.00,  619727959,  612689000,    6996000,  637114618
3425234.exe , 23.54, 19.28,  0.00,  0.37,  0.00, 1075468597, 1070478000,    4997000, 1092560128
3760856.exe , 18.22, 14.92,  0.00,  0.28,  0.00,  831501972,  827449000,    3997000,  848537727
3881005.exe , 38.11, 31.26,  0.00,  0.58,  0.00, 1723308664, 1721022000,    2000000, 1742378573
421866.exe  , 21.54, 17.63,  0.00,  0.34,  0.00,  988035154,  984013000,    4000000, 1008482619
4782128.exe , 51.19, 42.00,  0.00,  0.79,  0.00, 2317913737, 2311659000,    5996000, 2338741391
5172847.exe , 56.28, 46.08,  0.00,  0.87,  0.00, 2559738283, 2555414000,    3999000, 2579546532
5945339.exe , 22.38, 18.31,  0.00,  0.35,  0.00, 1025088929, 1021938000,    2999000, 1042221232
6012416.exe , 18.05, 14.80,  0.00,  0.27,  0.00,  794032357,  673127000,  120843000,  810994503
6086206.exe , 42.05, 34.49,  0.00,  0.64,  0.00, 1898617545, 1890419000,    7997000, 1918005079
6111112.exe , 34.77, 28.49,  0.00,  0.54,  0.00, 1575771845, 1572502000,    2999000, 1593233713
6114886.exe , 23.96, 19.65,  0.00,  0.37,  0.00, 1083204409, 1081055000,    2000000, 1100089935
6677723.exe , 39.67, 32.74,  0.00,  0.59,  0.00, 1741449230, 1738126000,    3000000, 1758621543
7474778.exe , 45.32, 37.13,  0.00,  0.70,  0.00, 2047957230, 2043928000,    3999000, 2067944414
8445631.exe , 19.53, 15.99,  0.00,  0.30,  0.00,  887471500,  883310000,    3996000,  904918720
