file,pkg,cores,ram,gpu,psys,duration_time,user_time,system_time
1097798.exe ,  4.44,  3.62,  0.00,  0.07,  0.00,  208104781,  204785000,    2996000
2710332.exe ,  6.75,  5.52,  0.00,  0.11,  0.00,  312531096,  308519000,    3993000
282754.exe  ,  4.74,  3.87,  0.00,  0.07,  0.00,  218776339,  214729000,    3994000
2877258.exe ,  6.30,  5.12,  0.00,  0.10,  0.00,  296204618,  288232000,    7978000
3551732.exe ,  7.25,  5.89,  0.00,  0.12,  0.00,  338877576,  330861000,    8020000
3639330.exe ,  5.18,  4.21,  0.00,  0.08,  0.00,  243762828,  233641000,    9984000
3726166.exe ,  5.61,  4.56,  0.00,  0.09,  0.00,  262579628,  256558000,    6013000
4232119.exe ,  5.84,  4.76,  0.00,  0.09,  0.00,  271333329,  259373000,   12017000
4736614.exe ,  7.42,  6.05,  0.00,  0.12,  0.00,  343297387,  334134000,    9003000
5365488.exe ,  8.67,  7.01,  0.00,  0.14,  0.00,  408224611,  396204000,   12006000
5605071.exe ,  5.92,  4.84,  0.00,  0.09,  0.00,  272243358,  267194000,    5003000
5747101.exe ,  5.85,  4.79,  0.00,  0.09,  0.00,  268529047,  260420000,    7982000
5996947.exe ,  6.24,  5.09,  0.00,  0.10,  0.00,  284397446,  272332000,   12014000
6811790.exe ,  5.90,  4.81,  0.00,  0.09,  0.00,  271217033,  256190000,   15011000
6965093.exe ,  7.20,  5.88,  0.00,  0.11,  0.00,  327728539,  313697000,   13986000
7259642.exe ,  8.32,  6.81,  0.00,  0.13,  0.00,  378262020,  369205000,    8980000
7663838.exe ,  9.15,  7.48,  0.00,  0.14,  0.00,  413595179,  395584000,   17981000
7731830.exe ,  4.44,  3.63,  0.00,  0.07,  0.00,  203575225,  196498000,    7017000
8513722.exe ,  5.85,  4.80,  0.00,  0.09,  0.00,  261891173,  255809000,    5995000
943025.exe  ,  5.63,  4.59,  0.00,  0.09,  0.00,  258206356,  250160000,    8005000
