file,pkg,cores,ram,gpu,psys,duration_time,user_time,system_time
1315752.exe ,  1.80,  1.42,  0.00,  0.03,  0.00,   95568782,   94388000,    1004000
1571671.exe ,  3.43,  2.77,  0.00,  0.06,  0.00,  168742456,  156748000,   11980000
1992683.exe , 26.73, 22.00,  0.00,  0.41,  0.00, 1199076410, 1196986000,    1999000
2696383.exe , 66.08, 54.54,  0.00,  0.99,  0.00, 2921066413, 2919564000,     999000
2706187.exe ,  1.83,  1.46,  0.00,  0.03,  0.00,   92197756,   91209000,    1002000
344718.exe  , 110.17, 90.79,  0.00,  1.65,  0.00, 4860215227, 4858720000,     999000
3594696.exe ,  2.06,  1.64,  0.00,  0.04,  0.00,  104389380,  103302000,    1002000
4301671.exe , 25.56, 20.95,  0.00,  0.39,  0.00, 1160854214, 1158872000,    1998000
4303820.exe ,  3.50,  2.82,  0.00,  0.06,  0.00,  169087415,  160072000,    9004000
4663650.exe , 40.13, 32.97,  0.00,  0.61,  0.00, 1807647143, 1805443000,    1999000
5032811.exe ,  2.70,  2.16,  0.00,  0.05,  0.00,  134792386,  125744000,    8981000
5108067.exe , 39.97, 32.85,  0.00,  0.61,  0.00, 1796506435, 1795195000,    1000000
5372423.exe ,  1.92,  1.54,  0.00,  0.03,  0.00,   96694523,   96691000,          0
5624865.exe ,  3.30,  2.69,  0.00,  0.05,  0.00,  153987015,  146033000,    7947000
5804862.exe ,  2.61,  2.10,  0.00,  0.04,  0.00,  126199584,  124167000,    2002000
6470436.exe ,  1.98,  1.59,  0.00,  0.03,  0.00,   98304869,   97358000,    1003000
6627581.exe ,  2.16,  1.72,  0.00,  0.04,  0.00,  112177932,  111186000,    1001000
713282.exe  , 81.59, 66.70,  0.00,  1.26,  0.00, 3725409581, 3725265000,          0
835034.exe  , 71.24, 58.84,  0.00,  1.06,  0.00, 3111443683, 3110125000,    1000000
907195.exe  ,  6.47,  5.29,  0.00,  0.10,  0.00,  295564673,  285510000,   10017000
