file,pkg,cores,ram,gpu,psys,duration_time,user_time,system_time
1358987.exe ,  3.35,  2.68,  0.00,  0.06,  0.00,  163860779,  157581000,    5984000
2432135.exe ,  1.61,  1.25,  0.00,  0.03,  0.00,   86804841,   74899000,   11826000
3260092.exe ,  3.20,  2.59,  0.00,  0.05,  0.00,  151109090,  144073000,    7003000
3609782.exe ,  1.40,  1.11,  0.00,  0.02,  0.00,   71727161,   66707000,    4978000
3645649.exe ,  1.81,  1.45,  0.00,  0.03,  0.00,   85496437,   78563000,    6961000
4263023.exe ,  1.48,  1.15,  0.00,  0.03,  0.00,   80626615,   75533000,    4969000
5372036.exe ,  1.71,  1.36,  0.00,  0.03,  0.00,   83677711,   68454000,   15100000
5633224.exe ,  3.24,  2.58,  0.00,  0.06,  0.00,  163417455,  157404000,    6015000
5940692.exe ,  3.20,  2.60,  0.00,  0.05,  0.00,  149457744,  143347000,    5972000
6225030.exe ,  3.26,  2.64,  0.00,  0.05,  0.00,  153900746,  141840000,   12071000
6620990.exe ,  1.42,  1.11,  0.00,  0.03,  0.00,   76433175,   72398000,    4022000
6742873.exe ,  3.35,  2.68,  0.00,  0.06,  0.00,  165582825,  159567000,    5983000
6908878.exe ,  1.64,  1.29,  0.00,  0.03,  0.00,   86156200,   81113000,    5006000
7442336.exe ,  1.71,  1.35,  0.00,  0.03,  0.00,   86076405,   79042000,    7003000
7738068.exe ,  3.35,  2.72,  0.00,  0.05,  0.00,  157082051,  148051000,    9003000
8036932.exe ,  1.49,  1.17,  0.00,  0.03,  0.00,   75818690,   67985000,    7882000
8122852.exe ,  1.40,  1.08,  0.00,  0.03,  0.00,   75468149,   73386000,    2010000
8193334.exe ,  1.46,  1.14,  0.00,  0.03,  0.00,   80071243,   71041000,    9005000
8322422.exe ,  1.56,  1.23,  0.00,  0.03,  0.00,   80998289,   73989000,    6999000
8430040.exe ,  3.30,  2.68,  0.00,  0.05,  0.00,  153498942,  145410000,    7967000
