file,pkg,cores,ram,gpu,psys,duration_time,user_time,system_time
2267323.exe ,  4.95,  3.99,  0.00,  0.08,  0.00,  238822789,  229557000,    9021000
3323785.exe ,  4.85,  3.92,  0.00,  0.08,  0.00,  231764070,  225750000,    6020000
3587345.exe ,  1.93,  1.54,  0.00,  0.03,  0.00,   96232840,   89304000,    6945000
3827594.exe ,  4.93,  4.00,  0.00,  0.08,  0.00,  232879697,  225793000,    6962000
4646477.exe ,  1.94,  1.54,  0.00,  0.03,  0.00,   96863366,   94852000,    2018000
4656918.exe ,  1.91,  1.51,  0.00,  0.03,  0.00,   98948161,   94832000,    4035000
4870731.exe ,  2.76,  2.32,  0.00,  0.04,  0.00,  104132024,   97992000,    5999000
4990217.exe ,  5.16,  4.21,  0.00,  0.08,  0.00,  237242723,  232256000,    4984000
5120159.exe ,  5.14,  4.18,  0.00,  0.08,  0.00,  236678736,  227628000,    9024000
5768294.exe ,  1.93,  1.54,  0.00,  0.03,  0.00,   95317634,   87350000,    7940000
6207480.exe ,  1.90,  1.50,  0.00,  0.03,  0.00,   97371338,   89342000,    8030000
6345129.exe ,  4.96,  4.02,  0.00,  0.08,  0.00,  235857551,  227890000,    7996000
6761058.exe ,  5.10,  4.15,  0.00,  0.08,  0.00,  235221911,  230206000,    5004000
6947711.exe ,  1.92,  1.53,  0.00,  0.03,  0.00,   96295392,   91251000,    5013000
6963176.exe ,  1.91,  1.51,  0.00,  0.03,  0.00,   97989886,   90989000,    6999000
7254933.exe ,  5.00,  4.05,  0.00,  0.08,  0.00,  235402437,  231376000,    4006000
7256574.exe ,  5.15,  4.19,  0.00,  0.08,  0.00,  237880748,  231718000,    5992000
7857074.exe ,  1.87,  1.51,  0.00,  0.03,  0.00,   89210011,   83081000,    6005000
7954781.exe ,  1.95,  1.55,  0.00,  0.03,  0.00,   96383383,   92374000,    4016000
8388087.exe ,  2.00,  1.59,  0.00,  0.03,  0.00,  101190396,   94174000,    7013000
