file,pkg,cores,ram,gpu,psys,duration_time,user_time,system_time
1370800.exe ,  0.29,  0.21,  0.00,  0.01,  0.00,   20172001,   16990000,    2998000
1671790.exe ,  0.10,  0.07,  0.00,  0.00,  0.00,    5510134,    2775000,    2775000
1845510.exe ,  1.23,  0.97,  0.00,  0.02,  0.00,   63972029,   60097000,    3940000
2358896.exe ,  0.10,  0.08,  0.00,  0.00,  0.00,    4448277,    2209000,    2209000
2578170.exe ,  0.47,  0.35,  0.00,  0.01,  0.00,   29001699,   25043000,    4006000
293813.exe  ,  2.96,  2.31,  0.00,  0.05,  0.00,  158959935,     941000,    8234000
3040402.exe ,  0.37,  0.28,  0.00,  0.01,  0.00,   20729147,   13814000,    6907000
321299.exe  ,  0.28,  0.21,  0.00,  0.01,  0.00,   16469946,   13558000,    2905000
391684.exe  ,  1.72,  1.37,  0.00,  0.03,  0.00,   88286563,   84278000,    4013000
4055920.exe ,  0.33,  0.25,  0.00,  0.01,  0.00,   22066143,   18939000,    3156000
4310645.exe ,  0.47,  0.37,  0.00,  0.01,  0.00,   24995657,   23104000,    1925000
4547513.exe ,  0.48,  0.37,  0.00,  0.01,  0.00,   26054054,   24057000,    1924000
4895496.exe ,  1.08,  0.86,  0.00,  0.02,  0.00,   55448176,   54336000,    1006000
6136209.exe ,  0.10,  0.08,  0.00,  0.00,  0.00,    5383480,    3564000,    1782000
6138596.exe ,  0.31,  0.23,  0.00,  0.01,  0.00,   20244478,   16401000,    3859000
6390372.exe ,  0.31,  0.24,  0.00,  0.01,  0.00,   17459631,   15497000,    1937000
7209300.exe ,  1.05,  0.81,  0.00,  0.02,  0.00,   59618248,   57607000,    2021000
743173.exe  ,  0.29,  0.21,  0.00,  0.01,  0.00,   19919738,   18926000,     996000
7617595.exe ,  0.43,  0.31,  0.00,  0.01,  0.00,   27624045,   25677000,    1975000
7736428.exe ,  0.11,  0.08,  0.00,  0.00,  0.00,    6635595,    3771000,    2828000
