file,pkg,cores,ram,gpu,psys,duration_time,user_time,system_time
1196025.exe ,  1.37,  1.07,  0.00,  0.02,  0.00,   72385281,   60081000,   12016000
1514231.exe ,  1.56,  1.24,  0.00,  0.03,  0.00,   78177195,   68150000,   10022000
2098233.exe ,  1.57,  1.24,  0.00,  0.03,  0.00,   81446785,   72517000,    8940000
2134751.exe ,  1.92,  1.52,  0.00,  0.03,  0.00,   97582563,   89633000,    7967000
2190864.exe ,  3.15,  2.54,  0.00,  0.05,  0.00,  151467316,  145494000,    5979000
2947894.exe ,  1.30,  1.02,  0.00,  0.02,  0.00,   67141438,   60123000,    7014000
3128348.exe ,  4.77,  4.06,  0.00,  0.06,  0.00,  163726883,  159736000,    3968000
3705374.exe ,  1.70,  1.34,  0.00,  0.03,  0.00,   86446852,   82413000,    4020000
4162488.exe ,  1.52,  1.20,  0.00,  0.03,  0.00,   77330529,   70307000,    7030000
4619197.exe ,  3.24,  2.61,  0.00,  0.05,  0.00,  156185172,  151035000,    5001000
5140609.exe ,  3.08,  2.49,  0.00,  0.05,  0.00,  146832330,  141799000,    4992000
5940700.exe ,  1.38,  1.09,  0.00,  0.02,  0.00,   72146026,   68137000,    4008000
6059959.exe ,  1.32,  1.05,  0.00,  0.02,  0.00,   67102983,   59214000,    7895000
6196910.exe ,  1.55,  1.21,  0.00,  0.03,  0.00,   80864893,   73850000,    6985000
6268068.exe ,  3.08,  2.47,  0.00,  0.05,  0.00,  146879435,  140836000,    6035000
6629192.exe ,  3.14,  2.54,  0.00,  0.05,  0.00,  149632579,  141629000,    7979000
6669955.exe ,  1.53,  1.21,  0.00,  0.03,  0.00,   77364621,   67309000,   10046000
7371342.exe ,  3.08,  2.48,  0.00,  0.05,  0.00,  147559616,  141572000,    5981000
7393459.exe ,  1.81,  1.43,  0.00,  0.03,  0.00,   91169172,   85177000,    6012000
8651252.exe ,  3.08,  2.49,  0.00,  0.05,  0.00,  145950151,  139996000,    5999000
