@relation problema-weka.filters.unsupervised.attribute.Remove-R3-5

@attribute pkg numeric
@attribute cores numeric
@attribute duration_time numeric
@attribute user_time numeric
@attribute system_time numeric
@attribute class {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31}

@data
3.23,2.61,154533579,112468000,41802000,0
3.22,2.62,147359768,115480000,31856000,0
3.21,2.6,151667094,123538000,28122000,0
3.1,2.47,155180298,131110000,24020000,0
0.19,0.15,9744309,7747000,1936000,0
1.79,1.43,88621303,61430000,27190000,0
3.12,2.53,146768147,125815000,20969000,0
3.23,2.62,149280185,127221000,22038000,0
0.64,0.49,36614978,35583000,1016000,0
0.6,0.45,37603825,34647000,2969000,0
1.71,1.35,88611851,62729000,25888000,0
0.62,0.48,35381639,34422000,1012000,0
3.02,2.43,145700894,120803000,24959000,0
0.64,0.5,34938664,34926000,0,0
3.16,2.56,148405047,125369000,23067000,0
0.66,0.51,36176256,35171000,1004000,0
3.13,2.53,147920813,123874000,23975000,0
1.69,1.34,86186237,52126000,34082000,0
3.07,2.47,148593775,119720000,28932000,0
1.72,1.36,87159574,58114000,29057000,0
0.38,0.28,25700413,24475000,1019000,1
5.39,4.26,283012289,281023000,2000000,1
5.02,4.14,216454227,216402000,0,1
1.3,1.02,70168953,69201000,988000,1
1.23,0.97,65690610,64746000,1011000,1
1.16,0.89,67884443,65953000,1968000,1
1.78,1.44,85789032,85768000,0,1
0.83,0.69,33598010,31529000,1970000,1
3.45,2.74,176663169,174665000,2007000,1
1.25,0.98,67798501,66820000,997000,1
0.66,0.5,37981200,36027000,2001000,1
1.35,1.07,68076442,67061000,1016000,1
9.84,7.84,500876276,498808000,1999000,1
0.37,0.28,22548450,21596000,981000,1
1.24,0.98,64679315,63688000,995000,1
5.08,4.13,236130902,235203000,1000000,1
1.36,1.08,69729848,66826000,2948000,1
1.23,0.97,64702647,63731000,995000,1
10.86,8.61,557380105,555240000,2000000,1
0.76,0.59,42852257,41853000,996000,1
1.77,1.41,91747478,88496000,3016000,2
0.75,0.58,42987759,39032000,4003000,2
1.75,1.4,87390821,82417000,4964000,2
0.81,0.66,39031071,33993000,4999000,2
1.77,1.42,87251343,80303000,6939000,2
1.79,1.44,88723874,86742000,1994000,2
0.73,0.55,45787717,42617000,3044000,2
0.72,0.55,42798613,39695000,3053000,2
0.78,0.6,44035203,41037000,3002000,2
1.81,1.45,87933114,86962000,1011000,2
0.76,0.59,42594476,39670000,2975000,2
1.77,1.42,86798775,83807000,2993000,2
1.73,1.38,87068129,82113000,5006000,2
1.84,1.48,89543440,86474000,3016000,2
0.73,0.56,42430706,40483000,1974000,2
1.76,1.41,85815378,84799000,1009000,2
1.8,1.44,88822268,85814000,2993000,2
1.75,1.41,85784748,82803000,2992000,2
0.83,0.65,44839802,39746000,5095000,2
0.75,0.58,42062056,41070000,1001000,2
2.7,2.14,140744040,135436000,5016000,3
4.07,3.28,199189736,189190000,9957000,3
4.86,3.92,237143389,180108000,57034000,3
2.43,1.94,121228658,116274000,4968000,3
3.93,3.15,191552874,187521000,4011000,3
6.29,5.07,305954930,253002000,53000000,3
6.46,5.21,314272179,260222000,54046000,3
4.66,3.74,227939740,177707000,50199000,3
6.45,5.2,309703986,251465000,58107000,3
2.32,1.84,120251748,112359000,7954000,3
6.39,5.15,308388538,259540000,48913000,3
4.83,3.86,240039351,195830000,44187000,3
2.22,1.74,117273398,113196000,4006000,3
6.64,5.37,317649168,260569000,57124000,3
2.41,1.91,122054133,114032000,8002000,3
6.67,5.39,317206558,273177000,44028000,3
2.57,2.04,130545727,124585000,6028000,3
4.63,3.73,223661949,175706000,47919000,3
6.95,5.63,328810879,263688000,65170000,3
2.09,1.64,111094611,106010000,5000000,3
4.69,3.64,259266910,87633000,20115000,4
6.1,4.87,303024856,171356000,13947000,4
4.37,3.46,221160488,93050000,11228000,4
6.22,4.98,303534517,169549000,14045000,4
4.57,3.65,224995661,92740000,12963000,4
6.37,5.1,311055906,179503000,12452000,4
2.64,2.07,135184674,131072000,4002000,4
4.48,3.57,221726766,95663000,7048000,4
3,2.37,153156117,143100000,10007000,4
4.58,3.69,218781540,212754000,5993000,4
4.5,3.58,223135974,94068000,10216000,4
4.39,3.48,221334608,91081000,11009000,4
4.38,3.46,220555628,88864000,12593000,4
2.85,2.24,144931157,136895000,7993000,4
4.5,3.57,225173359,98140000,7311000,4
10.65,8.52,517585331,381808000,16674000,4
4.28,3.41,212986993,82584000,10896000,4
4.42,3.5,220253074,87709000,14782000,4
6.37,5.11,305985613,169142000,17230000,4
4.42,3.55,211472677,204500000,6982000,4
6.46,5.08,342873192,172521000,14137000,5
6.29,5.03,310603474,181855000,11051000,5
3.78,2.98,191658216,178650000,12974000,5
4.35,3.43,223259092,96063000,8005000,5
6.26,5,308794970,179183000,11073000,5
4.36,3.46,220166743,92104000,10011000,5
4.39,3.53,211146646,89725000,11089000,5
7.91,6.35,381411612,241300000,21026000,5
6.42,5.18,304372213,170990000,14390000,5
4.36,3.45,220482874,89996000,11999000,5
4.56,3.63,226607977,89580000,17110000,5
6.82,5.38,344216294,213130000,12461000,5
3.94,3.11,197275186,185211000,12013000,5
4.49,3.57,221298862,90362000,12048000,5
5.53,4.36,276775302,261728000,15041000,5
5.12,4.05,258335757,125591000,14418000,5
4.49,3.56,226024331,93502000,14920000,5
6.22,4.98,303952489,176940000,9440000,5
3.82,3.04,186074384,178009000,8000000,5
6.37,5.12,305226664,179144000,8051000,5
6.04,4.88,286040981,224644000,59640000,6
7.72,6.18,381030973,364022000,17001000,6
1.6,1.28,79712633,74730000,4982000,6
9.07,7.24,449507542,272058000,17199000,6
2,1.61,98122403,94073000,4003000,6
6.67,5.27,337266097,321342000,15967000,6
4.45,3.55,218859655,92155000,8013000,6
2.17,1.73,108436028,103462000,5022000,6
5.78,4.7,267624189,264591000,2995000,6
2,1.6,97159923,91143000,6009000,6
1.95,1.55,98761326,88789000,9976000,6
1.93,1.55,92543332,84531000,8050000,6
7.21,5.83,342319118,331290000,11009000,6
7.89,6.32,381910435,365905000,15995000,6
3.23,2.57,163113553,155104000,8005000,6
2.98,2.37,145185845,137169000,8009000,6
5.74,4.67,265431046,256271000,9009000,6
5.7,4.63,265705828,260588000,4992000,6
