file,pkg,cores,ram,gpu,psys,duration_time,user_time,system_time,perf_time
1289148.exe ,  2.98,  2.39,  0.00,  0.05,  0.00,  148887459,  120529000,   28123000,  165501443
1751629.exe ,  0.66,  0.52,  0.00,  0.01,  0.00,   35935594,   32861000,    3080000,   52943779
2160567.exe ,  3.14,  2.53,  0.00,  0.05,  0.00,  152487303,  120530000,   31875000,  170165171
2219242.exe ,  3.07,  2.47,  0.00,  0.05,  0.00,  150195751,  129180000,   21029000,  168263916
2346376.exe ,  3.14,  2.54,  0.00,  0.05,  0.00,  148846381,  123864000,   24972000,  164613893
2806108.exe ,  1.87,  1.50,  0.00,  0.03,  0.00,   93332316,   64559000,   28803000,  110495823
286654.exe  ,  3.08,  2.50,  0.00,  0.05,  0.00,  147002449,  110757000,   36247000,  162950863
2920460.exe ,  3.15,  2.57,  0.00,  0.05,  0.00,  150748341,  126793000,   23960000,  168513938
302205.exe  ,  3.08,  2.49,  0.00,  0.05,  0.00,  146973086,  125689000,   20948000,  162995183
3135280.exe ,  0.63,  0.48,  0.00,  0.01,  0.00,   36210446,   33351000,    2942000,   55596250
3439806.exe ,  3.09,  2.50,  0.00,  0.05,  0.00,  147888199,  133942000,   13994000,  163457368
346060.exe  ,  0.61,  0.47,  0.00,  0.01,  0.00,   35115299,   34116000,    1003000,   54096163
3974796.exe ,  3.15,  2.55,  0.00,  0.05,  0.00,  150519383,  123332000,   27072000,  167357621
4656783.exe ,  3.21,  2.59,  0.00,  0.05,  0.00,  154567006,  126556000,   27902000,  171890198
4925138.exe ,  0.63,  0.48,  0.00,  0.01,  0.00,   35725136,   33688000,    2041000,   56045209
5013886.exe ,  1.94,  1.55,  0.00,  0.03,  0.00,   97397531,   92388000,    5021000,  117964369
5204022.exe ,  0.66,  0.52,  0.00,  0.01,  0.00,   34125506,   33104000,    1003000,   50082486
640956.exe  ,  3.14,  2.56,  0.00,  0.05,  0.00,  149619010,  113386000,   36123000,  166512433
668883.exe  ,  3.14,  2.54,  0.00,  0.05,  0.00,  148668627,  124426000,   24082000,  165570066
81481.exe   ,  3.12,  2.52,  0.00,  0.05,  0.00,  151760813,  117599000,   34174000,  170380907
